Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,33759,0.5%,3945,6.6%,2889,1.5%,501,1.6%,41094,1.2%,
Gender,Male,17291,-1.2%,2369,7.3%,1868,2.6%,163,0.6%,21691,0.0%,
,Female,16468,2.3%,1576,5.6%,1021,-0.5%,338,2.1%,19403,2.4%,
Ethnic,White,27547,0.7%,2110,0.7%,1317,-7.3%,449,0.2%,31423,0.4%,
Origin,Black,805,-9.3%,84,-3.4%,97,18.3%,,,986,-6.7%,
,Hispanic,3019,-1.4%,191,8.5%,140,-6.7%,24,14.3%,3374,-1.0%,
,Asian,1163,4.8%,73,-18.0%,50,6.4%,18,0.0%,1304,3.2%,
,American Indian,158,0.0%,7,0.0%,9,50.0%,4,0.0%,178,1.7%,
,International,475,-7.6%,1443,19.4%,1247,11.8%,,,3165,11.5%,
,Unknown/Other,592,17.2%,37,-2.6%,29,16.0%,6,200.0%,664,16.5%,
TAMU Age,<18,1,-85.7%,,,,,,,1,-85.7%,
Categories,18-21,18806,0.4%,10,66.7%,,,3,200.0%,18819,0.4%,
,22-25,13654,1.2%,1766,7.2%,117,4.5%,238,-0.4%,15775,1.9%,
,26-30,867,-2.8%,1277,4.1%,974,-2.2%,191,2.7%,3309,0.2%,
,31-39,307,-5.0%,583,2.8%,1188,7.5%,57,-6.6%,2135,3.8%,
,40+,124,-12.1%,309,22.1%,610,-3.6%,12,100.0%,1055,2.1%,
Enrollment,1st Time in College,89,-46.1%,,,,,,,89,-46.1%,
Status,1st Time PB,29,n/a,,,,,,,29,n/a,
,1st Time Graduate,,,238,-23.7%,76,-25.5%,,,314,-24.2%,
,1st Time Transfer,827,4.4%,,,,,,,827,4.4%,
,Re Admitted,253,-18.1%,3,n/a,4,n/a,,,260,-15.9%,
,Continuing,32561,0.7%,3704,9.3%,2809,2.4%,501,1.6%,39575,1.6%,
Tuition,Resident Tuition,31939,2.0%,1849,9.3%,1095,4.3%,477,2.4%,35360,2.4%,
Status,Non-Resident Tuition,991,-7.0%,520,14.0%,405,1.8%,7,-22.2%,1923,-0.3%,
,Tuition Exemption/Waiver,829,-31.0%,1576,1.4%,1389,-0.6%,17,-5.6%,3811,-8.7%,
Residency,Texas Resident,31963,1.2%,1849,0.7%,1099,0.1%,477,4.4%,35388,1.2%,
Status,"Non-TX, US Resident",1314,-10.4%,652,-0.2%,537,-15.0%,24,-33.3%,2527,-9.4%,
,"Non-TX, Non-US Resident",482,-9.6%,1444,19.5%,1253,12.4%,,,3179,11.3%,
SCH,< 6 SCH,545,-7.2%,609,-2.4%,782,-2.5%,,,1936,-3.8%,
Categories,6-8 SCH,915,2.2%,302,15.7%,137,2.2%,,,1354,5.0%,
,9-11 SCH,1689,3.1%,2150,8.0%,1837,4.3%,,,5676,5.3%,
,12-14 SCH,19948,4.1%,644,0.5%,108,-12.2%,,,20700,3.9%,
,15-17 SCH,9916,-5.5%,228,35.7%,22,4.8%,35,0.0%,10201,-4.8%,
,>17 SCH,746,-8.9%,12,-25.0%,3,-25.0%,466,1.7%,1227,-5.4%,
Ft/Pt:,Less Than Half Time,545,65.7%,537,0.6%,661,-4.6%,,,1743,12.0%,
TAMU,Half-Time,915,16.9%,373,6.6%,258,7.1%,,,1546,12.5%,
Status,Three-Quarter Time,1689,6.6%,,,,,,,1689,6.6%,
,Full-Time,30610,-0.9%,3035,7.7%,1970,3.0%,501,1.6%,36116,0.0%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
