Spring 2001,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,25,525.0%,3,50.0%,2,0.0%,3,0.0%,2,-33.3%,12,500.0%,1,100.0%,38,533.3%,
,ESCI,14,27.3%,,,,,,,,,,,,,16,23.1%,
,GEOG,152,-3.8%,,,14,0.0%,,,,,5,0.0%,2,100.0%,181,-2.7%,
,GEOL,127,3.3%,,,9,-30.8%,3,0.0%,1,100.0%,32,28.0%,2,-33.3%,174,4.2%,
,GEOP,25,0.0%,0,-100.0%,1,0.0%,,,1,100.0%,33,26.9%,1,0.0%,61,13.0%,
,GEOS,3,0.0%,,,,,,,,,1,100.0%,1,100.0%,5,66.7%,
,METR,123,-17.4%,1,-50.0%,6,20.0%,1,100.0%,,,7,-46.2%,2,100.0%,140,-17.2%,
,OCNG,43,7.5%,,,2,-33.3%,1,0.0%,,,26,-10.3%,2,-33.3%,74,-2.6%,
,SubTotal,512,-0.2%,4,-20.0%,34,-10.5%,8,14.3%,4,33.3%,116,16.0%,11,37.5%,689,2.2%,
G. Bush School,BUSH,44,51.7%,2,-60.0%,3,-25.0%,1,-50.0%,,,2,0.0%,,,52,23.8%,
of Govt,SubTotal,44,51.7%,2,-60.0%,3,-25.0%,1,-50.0%,,,2,0.0%,,,52,23.8%,
Liberal Arts,ANTH,180,-1.6%,1,100.0%,20,53.8%,5,25.0%,,,13,18.2%,5,25.0%,224,4.2%,
,ANTL,1,100.0%,,,,,,,,,,,,,1,100.0%,
,ECOL,,,,,,,,,,,1,0.0%,,,1,0.0%,
,ECON,430,32.3%,6,-53.8%,41,-2.4%,17,30.8%,3,-25.0%,77,8.5%,9,12.5%,583,22.5%,
,ENGL,592,3.0%,11,57.1%,56,-3.4%,6,-14.3%,1,100.0%,20,0.0%,10,-9.1%,696,2.7%,
,ENLL,1,100.0%,,,0,-100.0%,,,,,,,,,1,0.0%,
,FREN,9,-25.0%,1,0.0%,1,100.0%,,,,,,,,,11,-15.4%,
,GERM,6,-45.5%,,,,,1,100.0%,1,100.0%,,,1,0.0%,9,-25.0%,
,HIST,452,6.9%,13,116.7%,58,0.0%,10,25.0%,6,200.0%,,,14,-22.2%,553,7.4%,
,INTL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,INTS,178,9.2%,8,14.3%,43,2.4%,7,-30.0%,0,-100.0%,4,100.0%,3,100.0%,243,8.0%,
,JOUL,7,-53.3%,,,1,-75.0%,,,,,,,1,100.0%,9,-52.6%,
,JOUR,639,7.0%,21,-27.6%,60,1.7%,15,0.0%,3,-25.0%,1,-50.0%,12,71.4%,751,5.3%,
,MODL,6,-33.3%,,,4,-55.6%,,,,,3,200.0%,,,13,-31.6%,
,MOLL,1,100.0%,,,1,100.0%,,,,,,,,,2,100.0%,
,PHIL,74,1.4%,,,2,-50.0%,4,0.0%,,,0,-100.0%,6,50.0%,86,-3.4%,
,POLL,1,100.0%,,,1,100.0%,,,,,0,-100.0%,,,2,100.0%,
,POLS,674,6.0%,22,0.0%,77,-10.5%,13,30.0%,6,100.0%,13,-7.1%,11,-15.4%,816,4.1%,
,PSYC,1058,6.7%,49,2.1%,152,4.1%,46,39.4%,7,0.0%,9,12.5%,30,42.9%,1351,7.6%,
,PSYL,3,100.0%,,,2,0.0%,,,,,,,,,5,150.0%,
,RUSS,6,-25.0%,,,,,,,,,,,1,0.0%,7,-22.2%,
,SCOL,2,100.0%,,,,,,,,,,,,,2,100.0%,
,SCOM,555,18.3%,18,-10.0%,59,51.3%,13,44.4%,5,0.0%,3,50.0%,14,55.6%,667,20.6%,
,SOCI,202,1.0%,12,-33.3%,33,0.0%,9,0.0%,1,100.0%,24,41.2%,4,33.3%,285,1.8%,
,SOCL,1,0.0%,,,,,,,,,,,,,1,0.0%,
,SPAN,48,23.1%,,,24,4.3%,1,0.0%,0,-100.0%,1,0.0%,1,-50.0%,75,11.9%,
,STJR,8,-27.3%,,,,,1,0.0%,1,0.0%,6,100.0%,1,-50.0%,17,-5.6%,
,THAR,40,-2.4%,2,0.0%,10,0.0%,1,0.0%,0,-100.0%,0,-100.0%,,,53,-5.4%,
,SubTotal,5174,8.1%,164,-5.2%,645,2.5%,149,19.2%,34,17.2%,175,10.1%,123,18.3%,6464,7.6%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,,,,,,,
