Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,4952,-12.0%,645,12.2%,75,-7.4%,,,5672,-9.7%,
Gender,Male,2334,-16.8%,408,17.9%,47,-6.0%,,,2789,-12.8%,
,Female,2618,-7.2%,237,3.5%,28,-9.7%,,,2883,-6.4%,
Ethnic,White,4229,-11.0%,448,7.4%,36,-12.2%,,,4713,-9.5%,
Origin,Black,84,-27.0%,12,100.0%,4,-20.0%,,,100,-20.6%,
,Hispanic,348,-17.3%,35,9.4%,5,0.0%,,,388,-15.3%,
,Asian,141,-7.2%,11,-8.3%,0,-100.0%,,,152,-7.9%,
,American Indian,23,0.0%,1,-50.0%,2,100.0%,,,26,0.0%,
,International,54,-40.7%,132,30.7%,27,0.0%,,,213,-2.7%,
,Unknown/Other,73,1.4%,6,20.0%,1,0.0%,,,80,2.6%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,2751,-10.7%,2,100.0%,,,,,2753,-10.7%,
,22-25,2099,-12.1%,269,-9.4%,2,0.0%,,,2370,-11.8%,
,26-30,64,-31.2%,204,39.7%,19,-5.0%,,,287,10.8%,
,31-39,23,-43.9%,113,15.3%,34,-5.6%,,,170,-2.9%,
,40+,15,-28.6%,57,67.6%,20,-13.0%,,,92,17.9%,
Enrollment,1st Time in College,5,-66.7%,,,,,,,5,-66.7%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,27,8.0%,0,-100.0%,,,27,0.0%,
,1st Time Transfer,1,-95.8%,,,,,,,1,-95.8%,
,Re Admitted,28,-6.7%,,,,,,,28,-6.7%,
,Continuing,4918,-11.5%,618,12.4%,75,-5.1%,,,5611,-9.3%,
Tuition,Resident Tuition,4756,-11.0%,436,10.1%,29,-3.3%,,,5221,-9.5%,
Status,Non-Resident Tuition,108,-33.7%,51,45.7%,12,20.0%,,,171,-17.8%,
,Tuition Exemption/Waiver,88,-26.7%,158,9.7%,34,-17.1%,,,280,-8.2%,
Residency,Texas Resident,4757,-11.2%,436,5.6%,31,6.9%,,,5224,-9.9%,
Status,"Non-TX, US Resident",140,-21.3%,77,28.3%,17,-34.6%,,,234,-11.4%,
,"Non-TX, Non-US Resident",55,-40.2%,132,29.4%,27,3.8%,,,214,-2.7%,
SCH,< 6 SCH,42,-27.6%,19,18.8%,23,43.8%,,,84,-6.7%,
Categories,6-8 SCH,122,-6.9%,30,-3.2%,0,-100.0%,,,152,-6.7%,
,9-11 SCH,247,0.0%,166,9.9%,44,-10.2%,,,457,2.2%,
,12-14 SCH,2942,-6.4%,251,8.7%,7,-46.2%,,,3200,-5.5%,
,15-17 SCH,1537,-20.9%,174,26.1%,1,-50.0%,,,1712,-17.8%,
,>17 SCH,62,-41.0%,5,-37.5%,,,,,67,-40.7%,
Ft/Pt:,Less Than Half Time,42,-4.5%,19,26.7%,21,90.9%,,,82,17.1%,
TAMU,Half-Time,122,-6.2%,30,-6.3%,2,-66.7%,,,154,-8.3%,
Status,Three-Quarter Time,247,-1.6%,,,,,,,247,-1.6%,
,Full-Time,4541,-12.7%,596,12.9%,52,-18.8%,,,5189,-10.4%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
