Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1643,2.4%,236,-1.7%,352,6.3%,,,2231,2.5%,
Gender,Male,664,-4.0%,159,6.7%,242,4.3%,,,1065,-0.7%,
,Female,979,7.2%,77,-15.4%,110,11.1%,,,1166,5.7%,
Ethnic,White,1250,2.9%,112,-6.7%,130,3.2%,,,1492,2.1%,
Origin,Black,46,-11.5%,6,-25.0%,5,66.7%,,,57,-9.5%,
,Hispanic,186,-2.1%,4,-33.3%,9,-18.2%,,,199,-3.9%,
,Asian,109,5.8%,9,-10.0%,7,40.0%,,,125,5.9%,
,American Indian,1,-50.0%,,,2,100.0%,,,3,0.0%,
,International,9,12.5%,102,9.7%,198,8.2%,,,309,8.8%,
,Unknown/Other,42,20.0%,3,0.0%,1,-50.0%,,,46,15.0%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,1109,7.4%,3,0.0%,,,,,1112,7.3%,
,22-25,499,-6.4%,113,-13.1%,44,41.9%,,,656,-5.5%,
,26-30,25,8.7%,74,-2.6%,185,-0.5%,,,284,-0.4%,
,31-39,7,-22.2%,34,61.9%,110,6.8%,,,151,13.5%,
,40+,3,-50.0%,12,20.0%,13,18.2%,,,28,3.7%,
Enrollment,1st Time in College,7,-41.7%,,,,,,,7,-41.7%,
Status,1st Time PB,2,n/a,,,,,,,2,n/a,
,1st Time Graduate,,,14,75.0%,4,300.0%,,,18,100.0%,
,1st Time Transfer,31,29.2%,,,,,,,31,29.2%,
,Re Admitted,4,-66.7%,,,,,,,4,-66.7%,
,Continuing,1599,2.7%,222,-4.3%,348,5.5%,,,2169,2.4%,
Tuition,Resident Tuition,1538,5.2%,68,112.5%,61,165.2%,,,1667,9.9%,
Status,Non-Resident Tuition,38,-13.6%,25,150.0%,46,21.1%,,,109,18.5%,
,Tuition Exemption/Waiver,67,-32.3%,143,-27.8%,245,-9.3%,,,455,-19.8%,
Residency,Texas Resident,1541,3.1%,68,-6.8%,61,15.1%,,,1670,3.0%,
Status,"Non-TX, US Resident",93,-7.9%,66,-10.8%,92,-3.2%,,,251,-7.0%,
,"Non-TX, Non-US Resident",9,0.0%,102,9.7%,199,8.7%,,,310,8.8%,
SCH,< 6 SCH,18,20.0%,22,29.4%,33,-10.8%,,,73,5.8%,
Categories,6-8 SCH,25,-13.8%,5,0.0%,2,-50.0%,,,32,-15.8%,
,9-11 SCH,54,1.9%,189,21.2%,312,13.0%,,,555,14.4%,
,12-14 SCH,1018,11.4%,20,-67.2%,2,-84.6%,,,1040,5.3%,
,15-17 SCH,489,-12.8%,0,-100.0%,3,200.0%,,,492,-12.6%,
,>17 SCH,39,18.2%,,,,,,,39,18.2%,
Ft/Pt:,Less Than Half Time,18,28.6%,18,12.5%,30,-3.2%,,,66,8.2%,
TAMU,Half-Time,25,-13.8%,9,50.0%,5,-50.0%,,,39,-13.3%,
Status,Three-Quarter Time,54,1.9%,,,,,,,54,1.9%,
,Full-Time,1546,2.5%,209,-4.1%,317,9.3%,,,2072,2.7%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
