Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,5788,9.0%,312,-4.0%,364,-1.1%,,,6464,7.6%,
Gender,Male,2212,11.3%,145,-9.9%,216,3.8%,,,2573,9.2%,
,Female,3576,7.6%,167,1.8%,148,-7.5%,,,3891,6.7%,
Ethnic,White,4723,9.7%,211,-5.0%,240,-6.6%,,,5174,8.1%,
Origin,Black,151,-3.2%,8,-20.0%,5,-28.6%,,,164,-5.2%,
,Hispanic,606,3.2%,19,-24.0%,20,17.6%,,,645,2.5%,
,Asian,136,25.9%,6,-33.3%,7,-12.5%,,,149,19.2%,
,American Indian,32,18.5%,1,0.0%,1,0.0%,,,34,17.2%,
,International,36,-14.3%,54,20.0%,85,18.1%,,,175,10.1%,
,Unknown/Other,104,22.4%,13,0.0%,6,0.0%,,,123,18.3%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,2942,10.9%,0,-100.0%,,,,,2942,10.8%,
,22-25,2603,8.1%,117,7.3%,12,-14.3%,,,2732,8.0%,
,26-30,151,-3.2%,96,-15.0%,128,3.2%,,,375,-4.6%,
,31-39,61,1.7%,61,-12.9%,152,2.0%,,,274,-1.8%,
,40+,31,-8.8%,38,18.8%,72,-11.1%,,,141,-4.1%,
Enrollment,1st Time in College,16,-33.3%,,,,,,,16,-33.3%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,8,-52.9%,4,-33.3%,,,12,-47.8%,
,1st Time Transfer,188,3.3%,,,,,,,188,3.3%,
,Re Admitted,45,-27.4%,,,1,n/a,,,46,-25.8%,
,Continuing,5539,9.8%,304,-1.3%,359,-0.8%,,,6202,8.5%,
Tuition,Resident Tuition,5523,10.3%,149,2.8%,158,1.9%,,,5830,9.8%,
Status,Non-Resident Tuition,143,0.7%,44,-6.4%,61,22.0%,,,248,3.8%,
,Tuition Exemption/Waiver,122,-24.2%,119,-10.5%,145,-11.0%,,,386,-15.5%,
Residency,Texas Resident,5527,9.7%,149,-6.3%,158,0.0%,,,5834,9.0%,
Status,"Non-TX, US Resident",225,-2.6%,109,-9.9%,121,-12.3%,,,455,-7.1%,
,"Non-TX, Non-US Resident",36,-16.3%,54,25.6%,85,18.1%,,,175,10.8%,
SCH,< 6 SCH,75,-1.3%,72,-10.0%,133,-0.7%,,,280,-3.4%,
Categories,6-8 SCH,176,18.9%,18,-21.7%,13,-13.3%,,,207,11.3%,
,9-11 SCH,302,-2.9%,201,-4.7%,204,-3.3%,,,707,-3.5%,
,12-14 SCH,3147,16.0%,19,72.7%,10,150.0%,,,3176,16.4%,
,15-17 SCH,1921,2.1%,2,100.0%,3,-25.0%,,,1926,2.2%,
,>17 SCH,167,-8.2%,,,1,100.0%,,,168,-7.7%,
Ft/Pt:,Less Than Half Time,75,4.2%,59,-10.6%,104,-3.7%,,,238,-3.3%,
TAMU,Half-Time,176,20.5%,30,-18.9%,42,2.4%,,,248,10.7%,
Status,Three-Quarter Time,302,-5.3%,,,,,,,302,-5.3%,
,Full-Time,5235,9.6%,223,0.5%,218,-0.5%,,,5676,8.8%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
