Graduate Students,,,,,,,
Spring 2001,,,,,,,
Spring 2001,,"PB
Non-Degreed",Masters,Doctoral,"GR
Conditional","GRAND
Total",
Head Count,Total,325,3605,2889,15,6834,
Gender,Male,135,2222,1868,12,4237,
,Female,190,1383,1021,3,2597,
Ethnic Origin,White,185,1915,1317,10,3427,
,Black,32,52,97,,181,
,Hispanic,34,156,140,1,331,
,Asian,3,70,50,,123,
,American Indian,,7,9,,16,
,International,64,1375,1247,4,2690,
,Unknown/Other,7,30,29,,66,
TAMU Age,18-21,1,9,,,10,
Categories,22-25,70,1691,117,5,1883,
,26-30,66,1205,974,6,2251,
,31-39,80,499,1188,4,1771,
,40+,108,201,610,,919,
College,Agriculture,22,586,476,,1084,
,Architecture,8,246,82,,336,
,Business Admin,13,632,75,,720,
,Education,160,317,611,,1088,
,Engineering,40,1075,729,6,1850,
,Geosciences,14,165,111,2,292,
,G. Bush School of Govt,9,43,,,52,
,Liberal Arts,26,285,364,1,676,
,Science,16,215,352,5,588,
,Veterinary Medicine,12,39,89,1,141,
,Distance Education,1,2,,,3,
,Exchange,4,,,,4,
Enrollment,1st Time Graduate,,235,76,3,314,
Status,Re Admitted,,3,4,,7,
,Continuing,325,3367,2809,12,6513,
Tuition Status,Resident Tuition,232,1612,1095,5,2944,
,Non-Resident Tuition,35,483,405,2,925,
,Tuition  Exemption/Waiver,58,1510,1389,8,2965,
Residency,Texas Resident,232,1612,1099,5,2948,
Status,"Non-TX, US Resident",29,617,537,6,1189,
,"Non-TX, Non-US Resident",64,1376,1253,4,2697,
SCH,< 6 SCH,145,460,782,4,1391,
Categories,6-8 SCH,101,200,137,1,439,
,9-11 SCH,49,2094,1837,7,3987,
,12-14 SCH,21,621,108,2,752,
,15-17 SCH,4,223,22,1,250,
,>17 SCH,5,7,3,,15,
Ft/Pt: TAMU,Less Than Half Time,132,404,661,1,1198,
Status,Half-Time,114,255,258,4,631,
,Full-Time,79,2946,1970,10,5005,
"Prepared by OISP, 06 Mar 01",,,,,,,
