Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,52,23.8%,,,,,52,23.8%,
Gender,Male,,,27,35.0%,,,,,27,35.0%,
,Female,,,25,13.6%,,,,,25,13.6%,
Ethnic,White,,,44,51.7%,,,,,44,51.7%,
Origin,Black,,,2,-60.0%,,,,,2,-60.0%,
,Hispanic,,,3,-25.0%,,,,,3,-25.0%,
,Asian,,,1,-50.0%,,,,,1,-50.0%,
,American Indian,,,,,,,,,,,
,International,,,2,0.0%,,,,,2,0.0%,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,32,14.3%,,,,,32,14.3%,
,26-30,,,13,0.0%,,,,,13,0.0%,
,31-39,,,3,200.0%,,,,,3,200.0%,
,40+,,,4,100.0%,,,,,4,100.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,,,52,23.8%,,,,,52,23.8%,
Tuition,Resident Tuition,,,28,33.3%,,,,,28,33.3%,
Status,Non-Resident Tuition,,,,,,,,,,,
,Tuition Exemption/Waiver,,,24,14.3%,,,,,24,14.3%,
Residency,Texas Resident,,,28,27.3%,,,,,28,27.3%,
Status,"Non-TX, US Resident",,,22,22.2%,,,,,22,22.2%,
,"Non-TX, Non-US Resident",,,2,0.0%,,,,,2,0.0%,
SCH,< 6 SCH,,,6,100.0%,,,,,6,100.0%,
Categories,6-8 SCH,,,1,100.0%,,,,,1,100.0%,
,9-11 SCH,,,2,100.0%,,,,,2,100.0%,
,12-14 SCH,,,34,-17.1%,,,,,34,-17.1%,
,15-17 SCH,,,9,100.0%,,,,,9,100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,6,100.0%,,,,,6,100.0%,
TAMU,Half-Time,,,1,100.0%,,,,,1,100.0%,
Status,Three-Quarter Time,,,,,,,,,,,
,Full-Time,,,45,7.1%,,,,,45,7.1%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
