Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,020",-8.4%,758,-4.1%,74,-3.9%,,,"4,852",-7.7%,
Gender,Female,"2,201",-8.9%,303,5.9%,34,0.0%,,,"2,538",-7.2%,
,Male,"1,819",-7.8%,455,-9.7%,40,-7.0%,,,"2,314",-8.1%,
Ethnicity,White,"3,499",-8.1%,533,-8.1%,29,-12.1%,,,"4,061",-8.1%,
,Black,69,-6.8%,21,110.0%,2,0.0%,,,92,7.0%,
,Hispanic,258,-5.1%,33,10.0%,4,300.0%,,,295,-2.6%,
,Asian,131,-10.3%,32,45.5%,,,,,163,-3.0%,
,American Indian,17,-19.0%,1,100.0%,0,-100.0%,,,18,-18.2%,
,International,27,-25.0%,130,-5.1%,37,-2.6%,,,194,-8.1%,
,Unknown/Other,19,-38.7%,8,-27.3%,2,0.0%,,,29,-34.1%,
TAMU Age,<18,5,-28.6%,,,,,,,5,-28.6%,
Categories,18-21,"3,220",-7.9%,27,17.4%,,,,,"3,247",-7.8%,
,22-25,755,-8.5%,440,-2.4%,5,0.0%,,,"1,200",-6.3%,
,26-30,19,-32.1%,149,-6.9%,31,6.9%,,,199,-8.3%,
,31-39,11,-38.9%,95,-4.0%,25,-10.7%,,,131,-9.7%,
,40+,10,-23.1%,47,-17.5%,13,-13.3%,,,70,-17.6%,
Enrollment,1st Time in College,764,-9.4%,,,,,,,764,-9.4%,
Status,1st Time PB,1,100.0%,6,0.0%,,,,,7,16.7%,
,1st Time Graduate,,,449,-1.5%,10,-9.1%,,,459,-1.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,61,8.9%,,,,,,,61,8.9%,
,Readmitted,20,-23.1%,,,,,,,20,-23.1%,
,Continuing,"3,174",-8.3%,303,-7.6%,64,-3.0%,,,"3,541",-8.2%,
Tuition,Resident Tuition,"3,915",-7.9%,584,0.9%,18,-25.0%,,,"4,517",-6.9%,
Status,Non-Resident Tuition,49,-37.2%,41,-25.5%,8,-20.0%,,,98,-31.5%,
,Tuition  Exemption/Waiver,56,-5.1%,133,-14.7%,48,11.6%,,,237,-8.1%,
Residency,Texas Resident,"3,917",-8.0%,578,-0.7%,22,-15.4%,,,"4,517",-7.2%,
Status,"Non-TX, US Resident",74,-21.3%,50,-27.5%,15,15.4%,,,139,-21.0%,
,"Non-TX, Non-US Resident",29,-21.6%,130,-6.5%,37,-2.6%,,,196,-8.4%,
SCH,< 6 SCH,34,17.2%,14,-30.0%,12,-25.0%,,,60,-7.7%,
Categories,6-8 SCH,71,-4.1%,16,-5.9%,,,,,87,-4.4%,
,9-11 SCH,144,-9.4%,215,0.9%,62,29.2%,,,421,0.2%,
,12-14 SCH,"2,584",-7.0%,217,-0.9%,0,-100.0%,,,"2,801",-6.9%,
,15-17 SCH,"1,141",-10.4%,207,-8.8%,,,,,"1,348",-10.2%,
,>17 SCH,46,-37.8%,89,-5.3%,,,,,135,-19.6%,
Ft/Pt:,Less Than Half Time,23,0.0%,13,-35.0%,10,-28.6%,,,46,-19.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","71
141","-1.4%
-9.0%",16,0.0%,1,-50.0%,,,"88
141","-2.2%
-9.0%",
,Full-Time,"3,785",-8.5%,729,-3.3%,63,3.3%,,,"4,577",-7.6%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
