Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,868",5.0%,597,1.5%,698,3.4%,,,"5,163",4.4%,
Gender,Female,"3,086",3.9%,457,4.3%,489,7.9%,,,"4,032",4.4%,
,Male,782,9.8%,140,-6.7%,209,-5.9%,,,"1,131",4.3%,
Ethnicity,White,"3,379",3.9%,423,-1.6%,411,-4.0%,,,"4,213",2.5%,
,Black,86,19.4%,36,-5.3%,91,23.0%,,,213,15.8%,
,Hispanic,313,15.9%,80,14.3%,104,22.4%,,,497,16.9%,
,Asian,45,4.7%,8,14.3%,7,0.0%,,,60,5.3%,
,American Indian,20,-4.8%,1,-50.0%,1,-50.0%,,,22,-12.0%,
,International,13,85.7%,42,16.7%,72,1.4%,,,127,11.4%,
,Unknown/Other,12,-33.3%,7,40.0%,12,50.0%,,,31,0.0%,
TAMU Age,<18,2,-33.3%,,,,,,,2,-33.3%,
Categories,18-21,"2,482",6.4%,1,-50.0%,,,,,"2,483",6.4%,
,22-25,"1,275",3.9%,263,12.4%,35,34.6%,,,"1,573",5.8%,
,26-30,65,-11.0%,142,3.6%,112,-3.4%,,,319,-2.1%,
,31-39,29,-3.3%,105,8.2%,232,3.1%,,,366,4.0%,
,40+,15,-16.7%,86,-27.1%,319,3.6%,,,420,-5.4%,
Enrollment,1st Time in College,424,9.0%,,,,,,,424,9.0%,
Status,1st Time PB,1,0.0%,88,-12.0%,,,,,89,-11.9%,
,1st Time Graduate,,,184,1.7%,60,5.3%,,,244,2.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,270,-10.0%,,,,,,,270,-10.0%,
,Readmitted,38,-7.3%,2,-50.0%,3,-40.0%,,,43,-14.0%,
,Continuing,"3,135",6.2%,323,6.6%,635,3.6%,,,"4,093",5.8%,
Tuition,Resident Tuition,"3,785",5.3%,511,3.7%,578,4.3%,,,"4,874",5.0%,
Status,Non-Resident Tuition,49,-9.3%,29,-29.3%,34,-2.9%,,,112,-13.8%,
,Tuition  Exemption/Waiver,34,0.0%,57,5.6%,86,0.0%,,,177,1.7%,
Residency,Texas Resident,"3,786",5.1%,511,2.2%,582,4.9%,,,"4,879",4.8%,
Status,"Non-TX, US Resident",69,-8.0%,44,-15.4%,44,-10.2%,,,157,-10.8%,
,"Non-TX, Non-US Resident",13,85.7%,42,16.7%,72,1.4%,,,127,11.4%,
SCH,< 6 SCH,22,22.2%,127,-7.3%,299,-8.0%,,,448,-6.7%,
Categories,6-8 SCH,246,-20.9%,268,40.3%,126,13.5%,,,640,4.4%,
,9-11 SCH,269,3.5%,127,-24.4%,220,14.0%,,,616,-0.8%,
,12-14 SCH,"2,223",11.5%,70,-17.6%,51,13.3%,,,"2,344",10.4%,
,15-17 SCH,"1,040",0.7%,5,0.0%,1,0.0%,,,"1,046",0.7%,
,>17 SCH,68,0.0%,0,-100.0%,1,100.0%,,,69,-1.4%,
Ft/Pt:,Less Than Half Time,20,17.6%,88,-18.5%,250,-8.1%,,,358,-9.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","92
230","-30.3%
4.5%",302,37.9%,172,5.5%,,,"566
230","10.1%
4.5%",
,Full-Time,"3,526",6.4%,207,-20.7%,276,15.0%,,,"4,009",5.1%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
