Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Other -,BIOT,41,51.9%,14,7.7%,9,350.0%,,,14,7.7%,
"Special
Populations",ENSM MARM,,,"0
1","-100.0%
-75.0%",,,,,"0
1","-100.0%
-75.0%",
,MDSC,,,10,-23.1%,,,,,10,-23.1%,
,MSEN,,,5,100.0%,,,,,14,600.0%,
,PHLT,,,26,-13.3%,,,,,26,-13.3%,
,REEP,,,14,-39.1%,,,,,55,10.0%,
,Subtotal,41,51.9%,70,-16.7%,9,350.0%,,,120,6.2%,
Total,,"35,732",-0.9%,"4,889",-2.5%,"3,303",2.3%,511,1.4%,"44,435",-0.8%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
