Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"35,732",-0.9%,"4,889",-2.5%,"3,303",2.3%,511,1.4%,"44,435",-0.8%,
Gender,Female,"17,569",-0.8%,"2,045",0.1%,"1,281",6.7%,374,2.5%,"21,269",-0.2%,
,Male,"18,163",-1.1%,"2,844",-4.3%,"2,022",-0.3%,137,-1.4%,"23,166",-1.4%,
Ethnicity,White,"29,197",-1.7%,"2,708",-1.6%,"1,274",-1.9%,459,2.5%,"33,638",-1.7%,
,Black,836,-2.1%,128,33.3%,126,26.0%,4,300.0%,"1,094",4.1%,
,Hispanic,"3,604",7.1%,329,19.2%,184,21.9%,29,-14.7%,"4,146",8.4%,
,Asian,"1,165",3.5%,129,9.3%,61,7.0%,13,30.0%,"1,368",4.3%,
,American Indian,193,7.8%,7,0.0%,7,-36.4%,1,-50.0%,208,4.5%,
,International,535,2.9%,"1,510",-10.5%,"1,612",2.0%,,,"3,657",-3.5%,
,Unknown/Other,202,-34.2%,78,0.0%,39,25.8%,5,-44.4%,324,-23.8%,
TAMU Age,<18,75,-2.6%,,,,,,,75,-2.6%,
Categories,18-21,"25,425",0.0%,69,-6.8%,0,-100.0%,17,-29.2%,"25,511",-0.1%,
,22-25,"9,336",-2.7%,"2,590",-1.9%,281,13.3%,310,6.9%,"12,517",-2.0%,
,26-30,579,-7.1%,"1,324",-0.2%,"1,220",1.3%,122,-6.2%,"3,245",-1.2%,
,31-39,203,-9.0%,613,-1.8%,"1,208",1.4%,54,8.0%,"2,078",-0.5%,
,40+,114,-4.2%,293,-16.5%,594,2.1%,8,-20.0%,"1,009",-5.0%,
Enrollment,1st Time in College,"7,068",5.1%,,,,,,,"7,068",5.1%,
Status,1st Time PB,14,-12.5%,237,-20.5%,,,,,251,-20.1%,
,1st Time Graduate,,,"1,786",-4.0%,364,-0.5%,,,"2,150",-3.5%,
,1st Time Professional,,,,,,,133,-0.7%,133,-0.7%,
,1st Time Transfer,"1,526",-10.7%,,,,,,,"1,526",-10.7%,
,Readmitted,465,-2.3%,19,11.8%,11,22.2%,,,495,-1.4%,
,Continuing,"26,659",-1.8%,"2,847",0.3%,"2,928",2.6%,378,2.2%,"32,812",-1.2%,
Tuition,Resident Tuition,"33,968",-0.8%,"2,660",5.1%,"1,205",3.3%,477,0.0%,"38,310",-0.3%,
Status,Non-Resident Tuition,954,-9.1%,645,-18.3%,440,1.4%,5,0.0%,"2,044",-10.3%,
,Tuition  Exemption/Waiver,810,5.6%,"1,584",-6.4%,"1,658",1.8%,29,31.8%,"4,081",-0.7%,
Residency,Texas Resident,"34,015",-0.8%,"2,665",4.2%,"1,212",3.6%,477,0.0%,"38,369",-0.4%,
Status,"Non-TX, US Resident","1,159",-5.2%,703,-6.4%,464,-1.3%,34,25.9%,"2,360",-4.5%,
,"Non-TX, Non-US Resident",558,3.7%,"1,521",-10.8%,"1,627",2.4%,,,"3,706",-3.3%,
SCH,< 6 SCH,934,7.7%,765,0.8%,746,-1.5%,,,"2,445",2.6%,
Categories,6-8 SCH,"1,060",0.0%,472,19.8%,213,14.5%,,,"1,745",6.4%,
,9-11 SCH,"1,738",-0.6%,"2,533",-6.3%,"2,229",3.4%,,,"6,500",-1.6%,
,12-14 SCH,"22,540",-0.7%,762,-0.5%,107,-7.8%,1,100.0%,"23,410",-0.7%,
,15-17 SCH,"8,961",-2.1%,266,-9.8%,6,-53.8%,,,"9,233",-2.4%,
,>17 SCH,499,-7.8%,91,-6.2%,2,0.0%,510,1.2%,"1,102",-3.7%,
Ft/Pt:,Less Than Half Time,802,8.2%,620,-4.2%,623,-2.4%,,,"2,045",0.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","878
1,675","3.3%
1.1%",592,20.6%,309,5.5%,,,"1,779
1,675","8.9%
1.1%",
,Full-Time,"32,377",-1.3%,"3,677",-5.1%,"2,371",3.2%,511,1.4%,"38,936",-1.4%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
