Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,628",-6.1%,"1,255",-6.3%,898,2.5%,,,"8,781",-5.3%,
Gender,Female,"1,263",-9.4%,217,-10.0%,136,-1.4%,,,"1,616",-8.9%,
,Male,"5,365",-5.2%,"1,038",-5.5%,762,3.3%,,,"7,165",-4.4%,
Ethnicity,White,"5,073",-5.9%,399,12.4%,112,8.7%,,,"5,584",-4.5%,
,Black,151,-17.5%,21,40.0%,12,33.3%,,,184,-11.1%,
,Hispanic,701,-1.4%,53,20.5%,16,33.3%,,,770,0.4%,
,Asian,319,-14.7%,34,-8.1%,16,-5.9%,,,369,-13.8%,
,American Indian,25,25.0%,1,0.0%,1,0.0%,,,27,22.7%,
,International,315,3.3%,732,-16.6%,740,1.0%,,,"1,787",-6.7%,
,Unknown/Other,44,-38.0%,15,66.7%,1,0.0%,,,60,-25.9%,
TAMU Age,<18,11,-38.9%,,,,,,,11,-38.9%,
Categories,18-21,"4,359",-6.1%,25,0.0%,0,-100.0%,,,"4,384",-6.1%,
,22-25,"2,056",-4.9%,752,-10.7%,106,30.9%,,,"2,914",-5.6%,
,26-30,149,-7.5%,341,1.2%,401,-1.0%,,,891,-1.3%,
,31-39,42,-26.3%,106,16.5%,347,0.9%,,,495,0.6%,
,40+,11,-26.7%,31,-29.5%,44,4.8%,,,86,-14.9%,
Enrollment,1st Time in College,"1,370",-0.7%,,,,,,,"1,370",-0.7%,
Status,1st Time PB,4,-33.3%,17,-26.1%,,,,,21,-27.6%,
,1st Time Graduate,,,423,-8.8%,119,-7.0%,,,542,-8.4%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,239,-17.0%,,,,,,,239,-17.0%,
,Readmitted,53,-3.6%,6,100.0%,1,-50.0%,,,60,0.0%,
,Continuing,"4,962",-6.9%,809,-4.7%,778,4.3%,,,"6,549",-5.4%,
Tuition,Resident Tuition,"5,999",-6.3%,400,13.0%,102,4.1%,,,"6,501",-5.2%,
Status,Non-Resident Tuition,356,-9.4%,335,-13.7%,174,3.6%,,,865,-8.9%,
,Tuition  Exemption/Waiver,273,5.0%,520,-12.9%,622,2.0%,,,"1,415",-3.5%,
Residency,Texas Resident,"5,999",-6.5%,403,13.5%,94,1.1%,,,"6,496",-5.3%,
Status,"Non-TX, US Resident",305,-8.1%,114,15.2%,59,28.3%,,,478,0.2%,
,"Non-TX, Non-US Resident",324,4.5%,738,-16.6%,745,1.1%,,,"1,807",-6.5%,
SCH,< 6 SCH,139,-6.1%,186,6.3%,120,25.0%,,,445,6.2%,
Categories,6-8 SCH,140,1.4%,49,-9.3%,18,-14.3%,,,207,-2.8%,
,9-11 SCH,301,-9.9%,892,-10.0%,731,0.8%,,,"1,924",-6.1%,
,12-14 SCH,"4,307",-8.9%,124,11.7%,27,3.8%,,,"4,458",-8.4%,
,15-17 SCH,"1,656",2.2%,3,-62.5%,2,-66.7%,,,"1,661",1.7%,
,>17 SCH,85,-1.2%,1,100.0%,0,-100.0%,,,86,-2.3%,
Ft/Pt:,Less Than Half Time,40,-20.0%,157,-0.6%,102,17.2%,,,299,1.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","139
300","8.6%
-5.1%",66,3.1%,22,-21.4%,,,"227
300","3.2%
-5.1%",
,Full-Time,"6,149",-6.3%,"1,032",-7.6%,774,1.7%,,,"7,955",-5.7%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
