Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,981",17.2%,,,,,,,"3,981",17.2%,
Gender,Female,"1,775",12.7%,,,,,,,"1,775",12.7%,
,Male,"2,206",21.0%,,,,,,,"2,206",21.0%,
Ethnicity,White,"3,145",13.5%,,,,,,,"3,145",13.5%,
,Black,133,9.9%,,,,,,,133,9.9%,
,Hispanic,534,43.5%,,,,,,,534,43.5%,
,Asian,126,65.8%,,,,,,,126,65.8%,
,American Indian,20,5.3%,,,,,,,20,5.3%,
,International,13,-40.9%,,,,,,,13,-40.9%,
,Unknown/Other,10,-41.2%,,,,,,,10,-41.2%,
TAMU Age,<18,19,18.8%,,,,,,,19,18.8%,
Categories,18-21,"3,863",16.7%,,,,,,,"3,863",16.7%,
,22-25,82,39.0%,,,,,,,82,39.0%,
,26-30,11,10.0%,,,,,,,11,10.0%,
,31-39,6,50.0%,,,,,,,6,50.0%,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,"1,749",12.7%,,,,,,,"1,749",12.7%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,114,11.8%,,,,,,,114,11.8%,
,Readmitted,86,-7.5%,,,,,,,86,-7.5%,
,Continuing,"2,032",23.1%,,,,,,,"2,032",23.1%,
Tuition,Resident Tuition,"3,841",18.1%,,,,,,,"3,841",18.1%,
Status,Non-Resident Tuition,83,-9.8%,,,,,,,83,-9.8%,
,Tuition  Exemption/Waiver,57,3.6%,,,,,,,57,3.6%,
Residency,Texas Resident,"3,854",18.2%,,,,,,,"3,854",18.2%,
Status,"Non-TX, US Resident",112,0.9%,,,,,,,112,0.9%,
,"Non-TX, Non-US Resident",15,-42.3%,,,,,,,15,-42.3%,
SCH,< 6 SCH,563,10.6%,,,,,,,563,10.6%,
Categories,6-8 SCH,58,1.8%,,,,,,,58,1.8%,
,9-11 SCH,87,52.6%,,,,,,,87,52.6%,
,12-14 SCH,"2,704",16.9%,,,,,,,"2,704",16.9%,
,15-17 SCH,565,23.9%,,,,,,,565,23.9%,
,>17 SCH,4,-20.0%,,,,,,,4,-20.0%,
Ft/Pt:,Less Than Half Time,562,11.3%,,,,,,,562,11.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","58
86","3.6%
50.9%",,,,,,,"58
86","3.6%
50.9%",
,Full-Time,"3,275",17.8%,,,,,,,"3,275",17.8%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
