Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,029",3.9%,350,4.5%,365,-4.5%,,,"2,744",2.8%,
Gender,Female,"1,201",0.3%,168,13.5%,94,-3.1%,,,"1,463",1.4%,
,Male,828,9.7%,182,-2.7%,271,-4.9%,,,"1,281",4.4%,
Ethnicity,White,"1,500",1.4%,176,0.6%,123,0.0%,,,"1,799",1.2%,
,Black,67,21.8%,7,40.0%,4,0.0%,,,78,21.9%,
,Hispanic,257,4.9%,25,4.2%,10,-9.1%,,,292,4.3%,
,Asian,163,20.7%,14,27.3%,8,-11.1%,,,185,19.4%,
,American Indian,12,100.0%,1,0.0%,2,-33.3%,,,15,50.0%,
,International,21,31.3%,120,6.2%,216,-6.1%,,,357,-0.6%,
,Unknown/Other,9,-47.1%,7,16.7%,2,0.0%,,,18,-28.0%,
TAMU Age,<18,13,8.3%,,,,,,,13,8.3%,
Categories,18-21,"1,676",7.0%,2,-60.0%,,,,,"1,678",6.7%,
,22-25,313,-8.5%,182,19.7%,54,-18.2%,,,549,-2.0%,
,26-30,21,-12.5%,96,1.1%,191,-2.6%,,,308,-2.2%,
,31-39,6,-14.3%,40,-14.9%,106,-0.9%,,,152,-5.6%,
,40+,0,-100.0%,30,-16.7%,14,7.7%,,,44,-12.0%,
Enrollment,1st Time in College,635,12.0%,,,,,,,635,12.0%,
Status,1st Time PB,0,-100.0%,14,-56.3%,,,,,14,-57.6%,
,1st Time Graduate,,,137,12.3%,25,13.6%,,,162,12.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,91,8.3%,,,,,,,91,8.3%,
,Readmitted,10,-16.7%,,,,,,,10,-16.7%,
,Continuing,"1,293",0.3%,199,9.9%,340,-5.6%,,,"1,832",0.1%,
Tuition,Resident Tuition,"1,908",3.4%,139,27.5%,63,6.8%,,,"2,110",4.8%,
Status,Non-Resident Tuition,60,0.0%,19,-60.4%,40,-2.4%,,,119,-20.1%,
,Tuition  Exemption/Waiver,61,27.1%,192,7.9%,262,-7.1%,,,515,1.4%,
Residency,Texas Resident,"1,910",3.4%,139,27.5%,66,6.5%,,,"2,115",4.8%,
Status,"Non-TX, US Resident",93,8.1%,90,-17.4%,80,-9.1%,,,263,-7.1%,
,"Non-TX, Non-US Resident",26,36.8%,121,3.4%,219,-5.6%,,,366,-0.5%,
SCH,< 6 SCH,7,-12.5%,47,-24.2%,24,-7.7%,,,78,-18.8%,
Categories,6-8 SCH,30,3.4%,16,6.7%,2,100.0%,,,48,6.7%,
,9-11 SCH,65,-24.4%,277,10.4%,339,-4.0%,,,681,-1.3%,
,12-14 SCH,"1,377",3.9%,9,28.6%,0,-100.0%,,,"1,386",3.9%,
,15-17 SCH,521,7.6%,1,100.0%,,,,,522,7.9%,
,>17 SCH,29,38.1%,,,,,,,29,38.1%,
Ft/Pt:,Less Than Half Time,4,-50.0%,43,-29.5%,22,0.0%,,,69,-24.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","29
65","3.6%
-21.7%",20,33.3%,3,-40.0%,,,"52
65","8.3%
-21.7%",
,Full-Time,"1,931",5.3%,287,10.8%,340,-4.2%,,,"2,558",4.5%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
