Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Fall 2004,,,,,,,
Official Certified 12th Class Day Data,,,,,,,
Fall 2004,,"G6: PB
Non-Degreed","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,361,"4,523","3,303",5,"8,192",
Gender,Female,205,"1,840","1,281",,"3,326",
,Male,156,"2,683","2,022",5,"4,866",
Ethnicity,White,237,"2,468","1,274",3,"3,982",
,Black,18,110,126,,254,
,Hispanic,40,289,184,,513,
,Asian,9,120,61,,190,
,American Indian,1,6,7,,14,
,International,45,"1,464","1,612",1,"3,122",
,Unknown/Other,11,66,39,1,117,
TAMU Age,18-21,1,68,,,69,
Categories,22-25,135,"2,453",281,2,"2,871",
,26-30,77,"1,246","1,220",1,"2,544",
,31-39,75,537,"1,208",1,"1,821",
,40+,73,219,594,1,887,
College,Agriculture,23,651,543,1,"1,218",
,Architecture,5,378,107,,490,
,Business Admin,6,752,74,,832,
,Education,129,468,698,,"1,295",
,Engineering,27,"1,226",898,2,"2,153",
,G. Bush School of Govt,72,115,,,187,
,Geosciences,5,167,122,,294,
,Liberal Arts,19,355,407,,781,
,Science,21,328,365,1,715,
,Veterinary Medicine,4,63,80,1,148,
,Other - Special Populations,50,20,9,,79,
Enrollment,1st Time PB,237,,,,237,
Status,1st Time Graduate,,"1,781",364,5,"2,150",
,Readmitted,,19,11,,30,
,Continuing,124,"2,723","2,928",,"5,775",
Tuition Status,Resident Tuition,307,"2,350","1,205",3,"3,865",
,Non-Resident Tuition,33,610,440,2,"1,085",
,Tuition Exemption/Waiver,21,"1,563","1,658",,"3,242",
Residency,Texas Resident,301,"2,361","1,212",3,"3,877",
Status,"Non-TX, US Resident",15,687,464,1,"1,167",
,"Non-TX, Non-US Resident",45,"1,475","1,627",1,"3,148",
SCH,< 6 SCH,173,590,746,2,"1,511",
Categories,6-8 SCH,134,338,213,,685,
,9-11 SCH,36,"2,494","2,229",3,"4,762",
,12-14 SCH,16,746,107,,869,
,15-17 SCH,2,264,6,,272,
,>17 SCH,,91,2,,93,
Ft/Pt: TAMU,Less Than Half Time,166,453,623,1,"1,243",
Status,Half-Time,140,451,309,1,901,
,Full-Time,55,"3,619","2,371",3,"6,048",
"Prepared by OISP, 06 Dec 04",,,,,,,
