Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,289",0.9%,383,-6.1%,107,10.3%,,,"1,779",-0.2%,
Gender,Female,396,3.1%,147,-9.3%,33,17.9%,,,576,0.3%,
,Male,893,-0.1%,236,-4.1%,74,7.2%,,,"1,203",-0.5%,
Ethnicity,White,"1,092",0.0%,181,0.6%,25,-7.4%,,,"1,298",-0.1%,
,Black,14,-6.7%,5,25.0%,1,0.0%,,,20,0.0%,
,Hispanic,123,4.2%,23,9.5%,2,0.0%,,,148,5.0%,
,Asian,33,17.9%,14,16.7%,1,0.0%,,,48,17.1%,
,American Indian,8,0.0%,,,,,,,8,0.0%,
,International,11,37.5%,153,-16.4%,76,18.8%,,,240,-5.9%,
,Unknown/Other,8,-11.1%,7,-12.5%,2,0.0%,,,17,-10.5%,
TAMU Age,<18,1,0.0%,,,,,,,1,0.0%,
Categories,18-21,768,-3.0%,1,-66.7%,,,,,769,-3.3%,
,22-25,482,7.8%,178,-4.8%,1,100.0%,,,661,4.3%,
,26-30,23,-4.2%,144,-8.3%,31,34.8%,,,198,-2.9%,
,31-39,10,11.1%,53,-7.0%,51,-1.9%,,,114,-3.4%,
,40+,5,0.0%,7,75.0%,24,9.1%,,,36,16.1%,
Enrollment,1st Time in College,171,11.0%,,,,,,,171,11.0%,
Status,1st Time PB,0,-100.0%,3,-66.7%,,,,,3,-70.0%,
,1st Time Graduate,,,115,-24.8%,15,-6.3%,,,130,-23.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,60,-7.7%,,,,,,,60,-7.7%,
,Readmitted,4,-20.0%,1,-66.7%,1,100.0%,,,6,-25.0%,
,Continuing,"1,054",0.1%,264,8.6%,91,12.3%,,,"1,409",2.3%,
Tuition,Resident Tuition,"1,236",0.7%,194,6.0%,28,3.7%,,,"1,458",1.4%,
Status,Non-Resident Tuition,29,0.0%,50,-29.6%,23,-17.9%,,,102,-20.3%,
,Tuition  Exemption/Waiver,24,14.3%,139,-9.7%,56,33.3%,,,219,0.9%,
Residency,Texas Resident,"1,235",0.5%,194,6.0%,27,0.0%,,,"1,456",1.2%,
Status,"Non-TX, US Resident",43,4.9%,35,-12.5%,3,-40.0%,,,81,-5.8%,
,"Non-TX, Non-US Resident",11,37.5%,154,-16.8%,77,18.5%,,,242,-6.2%,
SCH,< 6 SCH,9,-10.0%,43,-6.5%,27,-3.6%,,,79,-6.0%,
Categories,6-8 SCH,110,107.5%,15,7.1%,5,0.0%,,,130,80.6%,
,9-11 SCH,66,-4.3%,135,-11.2%,73,14.1%,,,274,-3.9%,
,12-14 SCH,844,3.6%,149,-4.5%,2,100.0%,,,995,2.5%,
,15-17 SCH,255,-17.7%,40,2.6%,,,,,295,-15.5%,
,>17 SCH,5,-76.2%,1,0.0%,,,,,6,-72.7%,
Ft/Pt:,Less Than Half Time,9,-10.0%,35,0.0%,25,8.7%,,,69,1.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","102
63","100.0%
0.0%",20,-20.0%,7,-22.2%,,,"129
63","51.8%
0.0%",
,Full-Time,"1,115",-3.4%,328,-5.7%,75,15.4%,,,"1,518",-3.1%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
