Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,32,190.9%,33,-17.5%,26,36.8%,,,59,0.0%,
,ENGS,,,,,,,,,32,190.9%,
,ENST,36,44.0%,,,,,,,36,44.0%,
,ESCI,2,-71.4%,,,,,,,2,-71.4%,
,GEOG,130,-4.4%,25,13.6%,25,4.2%,,,180,-1.1%,
,GEOL,87,4.8%,48,-4.0%,29,16.0%,,,164,3.8%,
,GEOP,20,53.8%,20,42.9%,12,-20.0%,,,52,23.8%,
,GEOS,,,2,-50.0%,,,,,2,-50.0%,
,METR,150,8.7%,1,0.0%,0,-100.0%,,,151,7.1%,
,OCNG,,,43,-2.3%,30,0.0%,,,73,-1.4%,
,Subtotal,457,10.7%,172,-1.7%,122,6.1%,,,751,6.8%,
Liberal Arts,AMST,30,-14.3%,,,,,,,30,-14.3%,
,ANTH,114,-2.6%,78,-2.5%,35,-7.9%,,,227,-3.4%,
,COML,,,5,66.7%,,,,,5,66.7%,
,ECON,563,-9.8%,60,13.2%,55,0.0%,,,678,-7.4%,
,ENGL,649,8.3%,44,-12.0%,72,9.1%,,,765,7.0%,
,FREN,13,18.2%,,,,,,,13,18.2%,
,GERM,12,9.1%,,,,,,,12,9.1%,
,HISP,,,3,100.0%,6,100.0%,,,9,100.0%,
,HIST,645,4.0%,31,14.8%,43,2.4%,,,719,4.4%,
,INTS,381,-2.1%,,,,,,,381,-2.1%,
,JOUR,142,-59.8%,0,-100.0%,,,,,142,-59.9%,
,MODL,,,13,-18.8%,,,,,13,-18.8%,
,MUSC,27,8.0%,,,,,,,27,8.0%,
,PHIL,119,6.3%,26,-3.7%,7,16.7%,,,152,4.8%,
,POLS,975,-3.4%,18,-14.3%,56,40.0%,,,"1,049",-2.0%,
,PSYC,"1,302",-6.5%,32,0.0%,56,-1.8%,,,"1,390",-6.2%,
,RUSS,4,-50.0%,,,,,,,4,-50.0%,
,SCOM,715,-5.2%,20,42.9%,36,33.3%,,,771,-3.0%,
,SOCI,308,7.3%,31,40.9%,41,7.9%,,,380,9.5%,
,SPAN,101,18.8%,,,,,,,101,18.8%,
,STJR,,,13,-40.9%,,,,,13,-40.9%,
,TCMS,64,392.3%,,,,,,,64,392.3%,
,THAR,87,10.1%,,,,,,,87,10.1%,
,Subtotal,"6,251",-4.2%,374,1.6%,407,10.3%,,,"7,032",-3.2%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
