Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,41,51.9%,70,-16.7%,9,350.0%,,,120,6.2%,
Gender,Female,14,40.0%,37,-15.9%,,,,,51,-5.6%,
,Male,27,58.8%,33,-17.5%,9,350.0%,,,69,16.9%,
Ethnicity,White,,,26,4.0%,1,100.0%,,,27,8.0%,
,Black,,,1,-50.0%,,,,,1,-50.0%,
,Hispanic,,,5,-16.7%,,,,,5,-16.7%,
,Asian,,,3,-50.0%,,,,,3,-50.0%,
,American Indian,,,,,,,,,,,
,International,41,51.9%,31,-26.2%,8,300.0%,,,80,12.7%,
,Unknown/Other,,,4,33.3%,,,,,4,33.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,14,16.7%,1,0.0%,,,,,15,15.4%,
,22-25,27,107.7%,33,-13.2%,1,100.0%,,,61,19.6%,
,26-30,0,-100.0%,19,-36.7%,3,50.0%,,,22,-35.3%,
,31-39,,,8,-27.3%,5,100.0%,,,13,18.2%,
,40+,,,9,125.0%,,,,,9,125.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,35,-23.9%,,,,,35,-23.9%,
,1st Time Graduate,,,7,-30.0%,2,100.0%,,,9,-10.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,1,100.0%,,,,,1,100.0%,
,Continuing,41,51.9%,27,-3.6%,7,250.0%,,,75,31.6%,
Tuition,Resident Tuition,,,35,0.0%,,,,,35,0.0%,
Status,Non-Resident Tuition,41,51.9%,18,-30.8%,1,100.0%,,,60,13.2%,
,Tuition  Exemption/Waiver,,,17,-26.1%,8,300.0%,,,25,0.0%,
Residency,Texas Resident,,,35,-5.4%,,,,,35,-5.4%,
Status,"Non-TX, US Resident",,,4,-20.0%,1,100.0%,,,5,0.0%,
,"Non-TX, Non-US Resident",41,51.9%,31,-26.2%,8,300.0%,,,80,12.7%,
SCH,< 6 SCH,,,35,-14.6%,,,,,35,-14.6%,
Categories,6-8 SCH,,,6,-14.3%,,,,,6,-14.3%,
,9-11 SCH,,,14,7.7%,9,350.0%,,,23,53.3%,
,12-14 SCH,28,75.0%,14,-30.0%,,,,,42,16.7%,
,15-17 SCH,13,30.0%,1,-66.7%,,,,,14,7.7%,
,>17 SCH,0,-100.0%,,,,,,,0,-100.0%,
Ft/Pt:,Less Than Half Time,,,33,-17.5%,,,,,33,-17.5%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,7,-12.5%,,,,,7,-12.5%,
,Full-Time,41,51.9%,30,-16.7%,9,350.0%,,,80,23.1%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
