Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,987",3.5%,68,-4.2%,80,2.6%,511,1.4%,"2,646",2.8%,
Gender,Female,"1,342",4.4%,50,-2.0%,40,5.3%,374,2.5%,"1,806",3.9%,
,Male,645,1.6%,18,-10.0%,40,0.0%,137,-1.4%,840,0.7%,
Ethnicity,White,"1,522",1.3%,43,-10.4%,35,-12.5%,459,2.5%,"2,059",1.0%,
,Black,38,-5.0%,0,-100.0%,1,0.0%,4,300.0%,43,0.0%,
,Hispanic,260,14.5%,4,100.0%,2,100.0%,29,-14.7%,295,11.7%,
,Asian,125,12.6%,3,200.0%,4,100.0%,13,30.0%,145,16.9%,
,American Indian,16,23.1%,,,,,1,-50.0%,17,13.3%,
,International,14,27.3%,18,-5.3%,35,9.4%,,,67,8.1%,
,Unknown/Other,12,-25.0%,,,3,50.0%,5,-44.4%,20,-25.9%,
TAMU Age,<18,8,100.0%,,,,,,,8,100.0%,
Categories,18-21,"1,707",4.3%,1,0.0%,,,17,-29.2%,"1,725",3.9%,
,22-25,258,-0.8%,38,5.6%,9,50.0%,310,6.9%,615,3.9%,
,26-30,10,-28.6%,16,6.7%,35,2.9%,122,-6.2%,183,-5.2%,
,31-39,3,-25.0%,9,-40.0%,30,0.0%,54,8.0%,96,-3.0%,
,40+,1,-50.0%,4,0.0%,6,-25.0%,8,-20.0%,19,-20.8%,
Enrollment,1st Time in College,631,6.9%,,,,,,,631,6.9%,
Status,1st Time PB,0,-100.0%,3,200.0%,,,,,3,50.0%,
,1st Time Graduate,,,22,-24.1%,9,50.0%,,,31,-11.4%,
,1st Time Professional,,,,,,,133,-0.7%,133,-0.7%,
,1st Time Transfer,45,-11.8%,,,,,,,45,-11.8%,
,Readmitted,8,-11.1%,0,-100.0%,,,,,8,-20.0%,
,Continuing,"1,303",2.7%,43,7.5%,71,-1.4%,378,2.2%,"1,795",2.5%,
Tuition,Resident Tuition,"1,925",3.7%,38,-5.0%,30,-3.2%,477,0.0%,"2,470",2.7%,
Status,Non-Resident Tuition,38,11.8%,4,-20.0%,7,40.0%,5,0.0%,54,10.2%,
,Tuition  Exemption/Waiver,24,-20.0%,26,0.0%,43,2.4%,29,31.8%,122,1.7%,
Residency,Texas Resident,"1,924",3.7%,39,-9.3%,31,0.0%,477,0.0%,"2,471",2.7%,
Status,"Non-TX, US Resident",49,-9.3%,11,22.2%,14,-6.7%,34,25.9%,108,2.9%,
,"Non-TX, Non-US Resident",14,27.3%,18,-5.3%,35,9.4%,,,67,8.1%,
SCH,< 6 SCH,9,12.5%,12,-29.4%,11,-21.4%,,,32,-17.9%,
Categories,6-8 SCH,25,56.3%,7,0.0%,3,-40.0%,,,35,25.0%,
,9-11 SCH,48,9.1%,48,17.1%,64,16.4%,,,160,14.3%,
,12-14 SCH,"1,458",3.6%,1,-83.3%,2,100.0%,1,100.0%,"1,462",3.4%,
,15-17 SCH,429,0.9%,,,0,-100.0%,,,429,0.2%,
,>17 SCH,18,-10.0%,,,,,510,1.2%,528,0.8%,
Ft/Pt:,Less Than Half Time,9,50.0%,6,-33.3%,7,-36.4%,,,22,-15.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","23
48","43.8%
14.3%",13,-13.3%,7,-12.5%,,,"43
48","10.3%
14.3%",
,Full-Time,"1,907",2.7%,49,4.3%,66,11.9%,511,1.4%,"2,533",2.7%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
