Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,251",-4.2%,374,1.6%,407,10.3%,,,"7,032",-3.2%,
Gender,Female,"3,734",-2.8%,184,-2.1%,184,14.3%,,,"4,102",-2.1%,
,Male,"2,517",-6.2%,190,5.6%,223,7.2%,,,"2,930",-4.6%,
Ethnicity,White,"5,155",-4.2%,219,-6.4%,245,7.9%,,,"5,619",-3.8%,
,Black,163,-5.2%,14,75.0%,7,40.0%,,,184,-0.5%,
,Hispanic,693,0.0%,42,35.5%,26,36.8%,,,761,2.4%,
,Asian,129,-2.3%,7,-12.5%,6,20.0%,,,142,-2.1%,
,American Indian,31,3.3%,1,0.0%,2,-33.3%,,,34,0.0%,
,International,36,-7.7%,82,10.8%,109,7.9%,,,227,6.1%,
,Unknown/Other,44,-43.6%,9,-25.0%,12,33.3%,,,65,-34.3%,
TAMU Age,<18,7,-30.0%,,,,,,,7,-30.0%,
Categories,18-21,"4,122",-4.4%,4,-20.0%,,,,,"4,126",-4.4%,
,22-25,"1,935",-4.5%,176,9.3%,28,12.0%,,,"2,139",-3.3%,
,26-30,118,4.4%,111,-7.5%,154,7.7%,,,383,1.9%,
,31-39,39,11.4%,57,5.6%,163,14.8%,,,259,12.1%,
,40+,30,7.1%,26,-7.1%,62,5.1%,,,118,2.6%,
Enrollment,1st Time in College,737,8.4%,,,,,,,737,8.4%,
Status,1st Time PB,0,-100.0%,13,8.3%,,,,,13,0.0%,
,1st Time Graduate,,,141,6.8%,54,12.5%,,,195,8.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,311,-11.1%,,,,,,,311,-11.1%,
,Readmitted,123,26.8%,1,-75.0%,3,100.0%,,,127,25.7%,
,Continuing,"5,080",-5.9%,219,-0.5%,350,9.0%,,,"5,649",-4.9%,
Tuition,Resident Tuition,"5,978",-4.2%,167,-8.2%,173,9.5%,,,"6,318",-4.0%,
Status,Non-Resident Tuition,135,-16.7%,67,11.7%,63,21.2%,,,265,-3.3%,
,Tuition  Exemption/Waiver,138,14.0%,140,11.1%,171,7.5%,,,449,10.6%,
Residency,Texas Resident,"5,995",-4.1%,171,-8.1%,174,8.8%,,,"6,340",-3.9%,
Status,"Non-TX, US Resident",218,-5.6%,120,11.1%,122,14.0%,,,460,3.1%,
,"Non-TX, Non-US Resident",38,-5.0%,83,12.2%,111,8.8%,,,232,7.4%,
SCH,< 6 SCH,61,1.7%,66,4.8%,120,12.1%,,,247,7.4%,
Categories,6-8 SCH,180,-8.2%,20,-13.0%,19,26.7%,,,219,-6.4%,
,9-11 SCH,430,2.9%,244,-0.8%,254,9.0%,,,928,3.5%,
,12-14 SCH,"3,582",-4.7%,38,8.6%,13,0.0%,,,"3,633",-4.6%,
,15-17 SCH,"1,868",-4.2%,6,500.0%,1,0.0%,,,"1,875",-3.9%,
,>17 SCH,130,-7.8%,,,,,,,130,-7.8%,
Ft/Pt:,Less Than Half Time,52,-1.9%,50,0.0%,90,11.1%,,,192,4.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","178
417","-8.7%
2.5%",36,0.0%,41,17.1%,,,"255
417","-4.1%
2.5%",
,Full-Time,"5,604",-4.5%,288,2.1%,276,9.1%,,,"6,168",-3.7%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
