Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,187,19.9%,,,,,187,19.9%,
Gender,Female,,,77,13.2%,,,,,77,13.2%,
,Male,,,110,25.0%,,,,,110,25.0%,
Ethnicity,White,,,138,9.5%,,,,,138,9.5%,
,Black,,,8,166.7%,,,,,8,166.7%,
,Hispanic,,,19,58.3%,,,,,19,58.3%,
,Asian,,,5,25.0%,,,,,5,25.0%,
,American Indian,,,1,0.0%,,,,,1,0.0%,
,International,,,13,62.5%,,,,,13,62.5%,
,Unknown/Other,,,3,50.0%,,,,,3,50.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,1,-75.0%,,,,,1,-75.0%,
,22-25,,,92,15.0%,,,,,92,15.0%,
,26-30,,,47,62.1%,,,,,47,62.1%,
,31-39,,,31,14.8%,,,,,31,14.8%,
,40+,,,16,0.0%,,,,,16,0.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,41,0.0%,,,,,41,0.0%,
,1st Time Graduate,,,62,21.6%,,,,,62,21.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,84,31.3%,,,,,84,31.3%,
Tuition,Resident Tuition,,,135,31.1%,,,,,135,31.1%,
Status,Non-Resident Tuition,,,5,-68.8%,,,,,5,-68.8%,
,Tuition  Exemption/Waiver,,,47,27.0%,,,,,47,27.0%,
Residency,Texas Resident,,,136,29.5%,,,,,136,29.5%,
Status,"Non-TX, US Resident",,,36,-14.3%,,,,,36,-14.3%,
,"Non-TX, Non-US Resident",,,15,66.7%,,,,,15,66.7%,
SCH,< 6 SCH,,,46,17.9%,,,,,46,17.9%,
Categories,6-8 SCH,,,26,85.7%,,,,,26,85.7%,
,9-11 SCH,,,13,18.2%,,,,,13,18.2%,
,12-14 SCH,,,100,12.4%,,,,,100,12.4%,
,15-17 SCH,,,2,-33.3%,,,,,2,-33.3%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,45,15.4%,,,,,45,15.4%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,27,92.9%,,,,,27,92.9%,
,Full-Time,,,115,11.7%,,,,,115,11.7%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
