Fall 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"234
219
106
130
128
88
94
123
135
246
6
247
153
224
589
197
285
4
207
83
3
118
286
45
114
8
403
558
51
99
21
82
152
92
26
6
21
1","13.0%
3.3%
21.8%
-2.3%
-14.1%
-16.2%
0.0%
-18.0%
-2.9%
-2.8%
-25.0%
-14.8%
-7.8%
-12.5%
1.0%
5.9%
-6.3%
100.0%
11.9%
-45.4%
0.0%
-3.3%
-13.9%
28.6%
-8.1%
0.0%
8.6%
-3.1%
0.0%
4.2%
-30.0%
10.8%
21.6%
22.7%
-81.3%
-33.3%
31.3%
-66.7%","3
3
5
5
6
3
6
2
1
9
12
7
6
13
9
11
0
0
11
4
1
4
2
7
11
3
6
16
0
0
3
9
3
2
0
1","-40.0%
50.0%
25.0%
-28.6%
0.0%
-25.0%
0.0%
-60.0%
-50.0%
-10.0%
9.1%
40.0%
-25.0%
0.0%
-10.0%
-15.4%
-100.0%
-100.0%
-21.4%
-42.9%
0.0%
100.0%
-75.0%
16.7%
-21.4%
50.0%
-25.0%
128.6%
-100.0%
-100.0%
50.0%
125.0%
200.0%
-84.6%
-100.0%
0.0%","32
30
27
18
16
6
26
16
25
31
26
25
28
71
33
40
0
1
27
12
2
8
22
25
35
41
59
7
10
3
19
23
12
8
3
2
1","10.3%
0.0%
107.7%
28.6%
6.7%
-40.0%
36.8%
14.3%
47.1%
-6.1%
0.0%
8.7%
47.4%
-15.5%
37.5%
17.6%
-100.0%
-50.0%
-25.0%
-25.0%
100.0%
0.0%
-31.3%
212.5%
12.9%
20.6%
20.4%
16.7%
-16.7%
0.0%
111.1%
15.0%
9.1%
-89.3%
-25.0%
-50.0%
0.0%","7
11
12
21
7
11
8
21
8
24
0
19
11
6
19
11
47
0
22
9
1
10
6
17
7
18
5
7
0
8
8
6
0
0
2","16.7%
10.0%
-29.4%
31.3%
-41.7%
0.0%
-38.5%
-8.7%
33.3%
4.3%
-100.0%
-44.1%
37.5%
-14.3%
-5.0%
-38.9%
-19.0%
-100.0%
37.5%
-43.8%
0.0%
-28.6%
50.0%
-10.5%
-30.0%
-14.3%
-28.6%
16.7%
-100.0%
14.3%
60.0%
20.0%
-100.0%
-100.0%
100.0%","0
2
2
1
2
1
2
2
1
1
1
1
1
1
4
1
1
1
2
0","-100.0%
100.0%
0.0%
-66.7%
100.0%
100.0%
100.0%
100.0%
100.0%
0.0%
0.0%
100.0%
0.0%
0.0%
0.0%
100.0%
0.0%
0.0%
0.0%
-100.0%","2
70
5
41
2
36
3
44
6
114
25
204
5
0
205
26
302
5
0
5
3
5
2
4
7
170
5
11
264
1
29
1
40
134
8
0
1
2","-33.3%
-4.1%
150.0%
-18.0%
-80.0%
80.0%
-82.4%
51.7%
-33.3%
2.7%
-30.6%
-4.7%
-54.5%
-100.0%
-4.7%
8.3%
0.0%
-16.7%
-100.0%
0.0%
-40.0%
25.0%
100.0%
-20.0%
-30.0%
-16.7%
-28.6%
57.1%
-13.4%
-50.0%
-23.7%
100.0%
25.0%
-2.2%
-11.1%
-100.0%
0.0%
100.0%","3
0
3
0
1
0
2
0
3
5
1
1
9
2
1
3
2
4
2
1
8
1
3
1
3
0
1","-25.0%
-100.0%
0.0%
-100.0%
-66.7%
-100.0%
100.0%
-100.0%
-40.0%
-16.7%
0.0%
0.0%
-10.0%
0.0%
-75.0%
50.0%
-33.3%
33.3%
0.0%
-75.0%
0.0%
-50.0%
-50.0%
100.0%
0.0%
-100.0%
-75.0%","278
336
157
220
159
145
138
210
176
427
31
513
202
267
908
279
686
5
5
276
114
11
134
329
90
349
16
470
927
66
149
25
154
331
121
37
10
28
2","10.8%
1.5%
25.6%
-2.2%
-17.6%
-5.2%
-9.8%
-5.4%
1.1%
-1.8%
-31.1%
-11.7%
-5.6%
-9.8%
-1.9%
5.7%
-4.1%
-44.4%
-44.4%
6.6%
-43.0%
22.2%
1.5%
-16.7%
42.9%
-11.4%
-5.9%
8.0%
-4.4%
-5.7%
-6.9%
-28.6%
23.2%
11.8%
18.6%
-84.8%
-37.5%
21.7%
-50.0%",
,Subtotal,"5,584",-4.5%,184,-11.1%,770,0.4%,369,-13.8%,27,22.7%,"1,787",-6.7%,60,-25.9%,"8,781",-5.3%,
G. Bush,BUSH,41,-25.5%,3,50.0%,8,166.7%,2,100.0%,1,0.0%,9,125.0%,1,0.0%,64,-3.0%,
School of,INTA,97,36.6%,5,400.0%,11,22.2%,3,0.0%,,,4,0.0%,2,100.0%,123,36.7%,
Govt,Subtotal,138,9.5%,8,166.7%,19,58.3%,5,25.0%,1,0.0%,13,62.5%,3,50.0%,187,19.9%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
