"Spring 2009
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,Tot,,
,,11,,6,17,,1,,1,2,,3,,3,6,,2,,2,4,,,,2,1,3,,,,,19,,13,,32,
,,6,,2,8,,,,,,,3,,,3,,2,,1,3,,,,1,,1,,,,,12,,3,,15,
,,5,,4,9,,,,,,,,,3,3,,,,1,1,,,,1,,1,,,,,6,,8,,14,
,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,
,,,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,6,,2,8,,1,,,1,,2,,1,3,,1,,2,3,,,,2,1,3,,,,,12,,6,,18,
,,4,,3,7,,,,1,1,,1,,2,3,,1,,,1,,,,,,,,,,,6,,6,,12,
,,8,,6,14,,1,,1,2,,3,,3,6,,2,,2,4,,,,,,,,,,,14,,12,,26,
,,2,,,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,,1,,3,
,,1,,,1,,,,,,,,,,,,,,,,,,,2,,2,,,,,3,,,,3,
,,9,,6,15,,1,,1,2,,3,,3,6,,2,,2,4,,,,,,,,,,,15,,12,,27,
,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,2,,1,,3,
,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,8,,2,10,,,,,,,3,,3,6,,2,,2,4,,,,1,,1,,,,,14,,7,,21,
,,2,,3,5,,,,,,,,,,,,,,,,,,,1,1,2,,,,,3,,4,,7,
,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,10,,5,15,,,,,,,3,,3,6,,2,,2,4,,,,2,1,3,,,,,17,,11,,28,
,,10,,6,16,,1,,1,2,,3,,3,6,,1,,2,3,,,,2,1,3,,,,,17,,13,,30,
,,1,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,2,,,,2,
,,10,,4,14,,,,,,,2,,,2,,1,,1,2,,,,1,,1,,,,,14,,5,,19,
,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,2,,,,,1,,2,,3,
,,1,,2,3,,1,,1,2,,1,,3,4,,1,,,1,,,,,,,,,,,4,,6,,10,
,,9,,5,14,,1,,1,2,,1,,3,4,,2,,1,3,,,,2,1,3,,,,,15,,11,,26,
,,2,,1,3,,,,,,,2,,,2,,,,1,1,,,,,,,,,,,4,,2,,6,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
