Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,384",0.8%,379,7.7%,85,11.8%,,,"1,848",2.6%,
Gender,Female,417,1.5%,139,5.3%,32,14.3%,,,588,3.0%,
,Male,967,0.5%,240,9.1%,53,10.4%,,,"1,260",2.4%,
Ethnicity,White,"1,093",-1.4%,165,2.5%,22,4.8%,,,"1,280",-0.9%,
,Black,21,5.0%,2,-71.4%,2,100.0%,,,25,-10.7%,
,Hispanic,201,16.2%,17,-5.6%,3,0.0%,,,221,13.9%,
,Asian,36,-16.3%,12,9.1%,3,-25.0%,,,51,-12.1%,
,American Indian,12,20.0%,,,1,0.0%,,,13,18.2%,
,International,17,41.7%,180,17.6%,54,17.4%,,,251,19.0%,
,Unknown/Other,4,-33.3%,3,50.0%,,,,,7,-12.5%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,640,3.4%,,,,,,,640,3.4%,
,22-25,676,0.7%,165,26.9%,1,100.0%,,,842,5.1%,
,26-30,47,-25.4%,162,1.3%,17,30.8%,,,226,-4.2%,
,31-39,16,14.3%,43,-12.2%,48,4.3%,,,107,-1.8%,
,40+,5,-16.7%,9,-30.8%,19,11.8%,,,33,-8.3%,
Enrollment,1st Time in College,4,300.0%,,,,,,,4,300.0%,
Status,1st Time PB,0,-100.0%,4,0.0%,,,,,4,-33.3%,
,1st Time Graduate,,,10,-37.5%,2,100.0%,,,12,-29.4%,
,1st Time Transfer,19,-42.4%,,,,,,,19,-42.4%,
,Readmitted,7,0.0%,1,100.0%,,,,,8,14.3%,
,Continuing,"1,354",1.8%,364,9.6%,83,10.7%,,,"1,801",3.7%,
Tuition,Resident Tuition,"1,308",0.3%,162,0.0%,24,0.0%,,,"1,494",0.3%,
Status,Non-Resident  Tuition,22,15.8%,93,82.4%,12,100.0%,,,127,67.1%,
,Tuition Exemption/Waiver,54,8.0%,124,-10.8%,49,6.5%,,,227,-3.4%,
Residency,Texas Resident,"1,324",0.2%,166,-0.6%,25,4.2%,,,"1,515",0.1%,
Status,"Non-TX, US Resident",43,10.3%,33,10.0%,6,0.0%,,,82,9.3%,
,"Non-TX, Non-US Resident",17,41.7%,180,16.1%,54,17.4%,,,251,17.8%,
SCH,< 6 SCH,7,-53.3%,39,5.4%,21,23.5%,,,67,-2.9%,
Categories,6-8 SCH,87,-9.4%,9,12.5%,1,-66.7%,,,97,-9.3%,
,9-11 SCH,136,25.9%,175,43.4%,60,15.4%,,,371,31.6%,
,12-14 SCH,703,2.5%,115,-14.8%,2,-33.3%,,,820,-0.5%,
,15-17 SCH,403,-5.0%,41,-10.9%,1,100.0%,,,445,-5.3%,
,>17 SCH,48,9.1%,0,-100.0%,0,-100.0%,,,48,-2.0%,
Ft/Pt:,Less Than Half Time,6,-60.0%,37,8.8%,19,35.7%,,,62,-1.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","45
98","55.2%
48.5%",11,10.0%,3,-50.0%,,,"59
98","31.1%
48.5%",
,Full-Time,"1,235",-2.2%,331,7.5%,63,12.5%,,,"1,629",0.1%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
