Spring 2009,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,22,-12.0%,1,100.0%,0,-100.0%,4,100.0%,1,-50.0%,23,0.0%,3,0.0%,48,-9.4%,
,ENGS,55,34.1%,,,12,300.0%,,,,,1,0.0%,0,-100.0%,72,50.0%,
,ENST,41,41.4%,,,7,250.0%,2,0.0%,,,,,,,51,54.5%,
,ESCI,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,GEOG,104,-3.7%,3,0.0%,10,0.0%,5,25.0%,,,27,12.5%,1,0.0%,151,-0.7%,
,GEOL,173,13.1%,1,100.0%,16,60.0%,1,-75.0%,1,0.0%,30,66.7%,,,222,19.4%,
,GEOP,30,15.4%,3,50.0%,2,100.0%,2,100.0%,1,0.0%,23,0.0%,0,-100.0%,61,13.0%,
,GEOS,2,-33.3%,,,,,,,,,,,,,2,-33.3%,
,METR,96,-11.1%,1,0.0%,23,0.0%,,,1,100.0%,1,0.0%,,,122,-8.3%,
,OCNG,45,21.6%,0,-100.0%,3,50.0%,1,0.0%,,,25,-7.4%,,,74,8.8%,
,SPSG,9,28.6%,,,,,,,,,,,,,9,28.6%,
,WMHS,22,100.0%,,,1,100.0%,,,,,8,100.0%,,,31,100.0%,
,Subtotal,599,11.3%,9,28.6%,74,42.3%,15,7.1%,4,0.0%,138,17.9%,4,-33.3%,843,14.2%,
Liberal Arts,AMST,7,-36.4%,1,100.0%,2,-33.3%,,,0,-100.0%,,,,,10,-33.3%,
,ANTH,174,-1.1%,2,-50.0%,20,-25.9%,7,-12.5%,2,-33.3%,12,-25.0%,3,-25.0%,220,-7.6%,
,ANTL,,,,,,,,,,,,,1,100.0%,1,100.0%,
,CLSS,11,120.0%,,,3,200.0%,,,,,,,,,14,133.3%,
,COML,1,-75.0%,,,,,,,,,,,,,1,-75.0%,
,COMM,768,0.8%,26,44.4%,101,36.5%,9,-10.0%,8,14.3%,14,16.7%,5,66.7%,931,5.1%,
,ECON,302,-13.7%,4,0.0%,38,-42.4%,39,44.4%,1,-66.7%,100,7.5%,1,0.0%,485,-10.8%,
,ENGL,553,-5.8%,27,-15.6%,82,5.1%,22,-4.3%,5,0.0%,28,0.0%,,,717,-4.8%,
,FREN,10,-16.7%,0,-100.0%,2,0.0%,1,0.0%,0,-100.0%,,,1,100.0%,14,-26.3%,
,GERM,1,-50.0%,,,,,1,100.0%,1,0.0%,0,-100.0%,,,3,-25.0%,
,HISP,11,22.2%,,,14,0.0%,,,,,4,33.3%,,,29,11.5%,
,HIST,610,-1.0%,11,-31.3%,89,8.5%,8,-20.0%,4,-33.3%,3,50.0%,4,-20.0%,729,-1.1%,
,INTS,372,10.7%,14,40.0%,107,40.8%,14,-22.2%,6,100.0%,6,-14.3%,3,50.0%,522,15.5%,
,MODL,4,0.0%,,,6,200.0%,1,0.0%,,,1,100.0%,,,12,71.4%,
,MUSC,19,26.7%,4,33.3%,6,20.0%,0,-100.0%,,,,,,,29,20.8%,
,NUTR,3,100.0%,,,,,,,,,,,,,3,100.0%,
,PHIL,96,4.3%,1,100.0%,14,40.0%,1,-66.7%,1,-50.0%,0,-100.0%,4,100.0%,117,6.4%,
,POLS,645,-1.2%,47,17.5%,135,3.8%,29,-3.3%,5,400.0%,11,-8.3%,5,25.0%,877,0.8%,
,PSYC,870,4.3%,57,18.8%,209,17.4%,55,19.6%,8,0.0%,8,0.0%,7,0.0%,"1,214",7.5%,
,RUSS,7,40.0%,,,,,,,,,1,0.0%,,,8,33.3%,
,SOCI,259,-4.8%,46,7.0%,90,23.3%,17,-5.6%,5,66.7%,13,44.4%,5,66.7%,435,3.3%,
,SPAN,56,24.4%,2,100.0%,39,-2.5%,0,-100.0%,,,1,100.0%,,,98,14.0%,
,TCMS,95,-24.0%,3,-50.0%,9,-25.0%,5,25.0%,1,0.0%,1,100.0%,,,114,-23.0%,
,THAR,38,18.8%,0,-100.0%,13,-18.8%,1,100.0%,,,,,,,52,6.1%,
,USLA,1,100.0%,,,,,,,,,,,,,1,100.0%,
,Subtotal,"4,913",-0.7%,245,7.5%,979,10.1%,210,4.5%,47,4.4%,203,5.2%,39,25.8%,"6,636",1.6%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,
