Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,116",-3.5%,724,23.1%,491,11.3%,,,"6,331",0.0%,
Gender,Female,"2,570",-1.2%,379,26.8%,224,17.3%,,,"3,173",2.7%,
,Male,"2,546",-5.7%,345,19.4%,267,6.8%,,,"3,158",-2.5%,
Ethnicity,White,"4,098",-5.0%,465,12.3%,205,6.2%,,,"4,768",-3.1%,
,Black,168,0.0%,15,36.4%,21,5.0%,,,204,2.5%,
,Hispanic,624,4.3%,60,39.5%,36,12.5%,,,720,7.0%,
,Asian,130,-2.3%,9,50.0%,3,-25.0%,,,142,-0.7%,
,American Indian,38,22.6%,3,-40.0%,2,0.0%,,,43,13.2%,
,International,43,-2.3%,163,58.3%,220,18.9%,,,426,28.3%,
,Unknown/Other,15,0.0%,9,50.0%,4,-20.0%,,,28,7.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,248",-1.5%,,,,,,,"2,248",-1.5%,
,22-25,"2,609",-4.7%,336,25.8%,26,62.5%,,,"2,971",-1.7%,
,26-30,192,-2.5%,258,23.4%,185,8.2%,,,635,10.1%,
,31-39,48,-25.0%,91,18.2%,219,16.5%,,,358,8.8%,
,40+,19,0.0%,39,11.4%,61,-7.6%,,,119,-0.8%,
Enrollment,1st Time in College,2,-75.0%,,,,,,,2,-75.0%,
Status,1st Time PB,11,83.3%,8,-46.7%,,,,,19,-9.5%,
,1st Time Graduate,,,66,-14.3%,15,15.4%,,,81,-10.0%,
,1st Time Transfer,219,-6.0%,,,,,,,219,-6.0%,
,Readmitted,72,-12.2%,2,0.0%,0,-100.0%,,,74,-12.9%,
,Continuing,"4,812",-3.2%,648,31.2%,476,11.5%,,,"5,936",0.7%,
Tuition,Resident Tuition,"4,824",-3.7%,431,15.5%,175,3.6%,,,"5,430",-2.2%,
Status,Non-Resident  Tuition,95,-4.0%,57,171.4%,44,-12.0%,,,196,15.3%,
,Tuition Exemption/Waiver,197,1.0%,236,21.6%,272,22.5%,,,705,15.4%,
Residency,Texas Resident,"4,875",-3.7%,442,16.0%,180,4.0%,,,"5,497",-2.1%,
Status,"Non-TX, US Resident",196,0.0%,118,14.6%,91,9.6%,,,405,6.0%,
,"Non-TX, Non-US Resident",45,0.0%,164,57.7%,220,18.9%,,,429,28.4%,
SCH,< 6 SCH,95,-20.2%,133,8.1%,87,-11.2%,,,315,-7.4%,
Categories,6-8 SCH,213,-12.7%,65,25.0%,21,16.7%,,,299,-4.8%,
,9-11 SCH,327,0.3%,494,27.3%,376,18.2%,,,"1,197",16.0%,
,12-14 SCH,"2,512",-3.6%,29,38.1%,5,-16.7%,,,"2,546",-3.3%,
,15-17 SCH,"1,761",-3.5%,3,-25.0%,2,100.0%,,,"1,766",-3.4%,
,>17 SCH,208,13.7%,,,,,,,208,13.7%,
Ft/Pt:,Less Than Half Time,85,-14.1%,97,2.1%,70,-10.3%,,,252,-7.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","204
320","-14.3%
0.3%",94,34.3%,37,2.8%,,,"335
320","-2.6%
0.3%",
,Full-Time,"4,507",-3.0%,533,26.0%,384,17.4%,,,"5,424",0.5%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
