Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,263",12.1%,,,,,,,"4,263",12.1%,
Gender,Female,"1,956",21.5%,,,,,,,"1,956",21.5%,
,Male,"2,307",5.2%,,,,,,,"2,307",5.2%,
Ethnicity,White,"3,125",9.6%,,,,,,,"3,125",9.6%,
,Black,204,23.6%,,,,,,,204,23.6%,
,Hispanic,652,19.4%,,,,,,,652,19.4%,
,Asian,202,8.6%,,,,,,,202,8.6%,
,American Indian,28,0.0%,,,,,,,28,0.0%,
,International,45,66.7%,,,,,,,45,66.7%,
,Unknown/Other,7,250.0%,,,,,,,7,250.0%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,"4,047",11.7%,,,,,,,"4,047",11.7%,
,22-25,204,16.6%,,,,,,,204,16.6%,
,26-30,8,100.0%,,,,,,,8,100.0%,
,31-39,1,0.0%,,,,,,,1,0.0%,
,40+,1,-50.0%,,,,,,,1,-50.0%,
Enrollment,1st Time in College,11,-21.4%,,,,,,,11,-21.4%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,64,8.5%,,,,,,,64,8.5%,
,Readmitted,38,-5.0%,,,,,,,38,-5.0%,
,Continuing,"4,150",12.4%,,,,,,,"4,150",12.4%,
Tuition,Resident Tuition,"4,056",11.9%,,,,,,,"4,056",11.9%,
Status,Non-Resident  Tuition,115,15.0%,,,,,,,115,15.0%,
,Tuition Exemption/Waiver,92,17.9%,,,,,,,92,17.9%,
Residency,Texas Resident,"4,097",12.0%,,,,,,,"4,097",12.0%,
Status,"Non-TX, US Resident",120,1.7%,,,,,,,120,1.7%,
,"Non-TX, Non-US Resident",46,70.4%,,,,,,,46,70.4%,
SCH,< 6 SCH,640,28.3%,,,,,,,640,28.3%,
Categories,6-8 SCH,113,27.0%,,,,,,,113,27.0%,
,9-11 SCH,72,5.9%,,,,,,,72,5.9%,
,12-14 SCH,"2,154",8.3%,,,,,,,"2,154",8.3%,
,15-17 SCH,"1,248",9.7%,,,,,,,"1,248",9.7%,
,>17 SCH,36,71.4%,,,,,,,36,71.4%,
Ft/Pt:,Less Than Half Time,640,28.5%,,,,,,,640,28.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","112
70","27.3%
6.1%",,,,,,,"112
70","27.3%
6.1%",
,Full-Time,"3,441",9.2%,,,,,,,"3,441",9.2%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
