Spring 2009,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN MSEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG USEN WMHS",,"180
295
113
157
79
88
51
42
203
320
1
162
107
181
524
148
235
4
6
131
160
8
99
311
105
235
2
263
629
6
80
136
38
134
335
131
16
11
0
1
1","-9.5%
17.5%
-8.1%
7.5%
-3.7%
2.3%
37.8%
-20.8%
-1.0%
18.1%
0.0%
-1.2%
-21.9%
11.0%
1.4%
-3.9%
-5.2%
100.0%
100.0%
-15.5%
18.5%
-33.3%
-15.4%
3.3%
19.3%
24.3%
-33.3%
-9.6%
0.6%
100.0%
-2.4%
19.3%
-26.9%
-3.6%
28.8%
-22.0%
23.1%
83.3%
-100.0%
100.0%
100.0%","9
5
4
4
9
4
3
0
7
9
6
4
6
9
12
19
1
5
8
0
4
10
10
10
1
6
15
1
3
3
1
4
13
1
1","-25.0%
0.0%
-63.6%
0.0%
50.0%
-33.3%
-40.0%
-100.0%
-22.2%
80.0%
0.0%
100.0%
0.0%
12.5%
-33.3%
35.7%
100.0%
25.0%
60.0%
-100.0%
-20.0%
66.7%
0.0%
42.9%
0.0%
50.0%
-25.0%
100.0%
50.0%
-25.0%
100.0%
33.3%
0.0%
-50.0%
0.0%","44
42
24
25
31
19
12
8
36
46
17
16
36
95
45
60
1
2
30
34
0
20
47
36
80
44
73
4
10
13
9
33
36
16
8
3","-29.0%
31.3%
33.3%
19.0%
29.2%
46.2%
-36.8%
-27.3%
-16.3%
9.5%
-5.6%
-11.1%
-2.7%
15.9%
18.4%
27.7%
100.0%
100.0%
0.0%
17.2%
-100.0%
-4.8%
34.3%
44.0%
19.4%
-6.4%
0.0%
100.0%
42.9%
44.4%
12.5%
37.5%
24.1%
-5.9%
33.3%
0.0%","12
12
28
30
8
11
8
10
33
35
0
10
13
9
32
20
38
1
10
14
1
1
10
4
15
9
37
2
9
7
1
8
33
9
3
1","9.1%
50.0%
86.7%
20.0%
-38.5%
-8.3%
0.0%
-33.3%
50.0%
25.0%
-100.0%
-37.5%
225.0%
-18.2%
39.1%
-23.1%
40.7%
100.0%
11.1%
16.7%
100.0%
100.0%
-28.6%
-20.0%
0.0%
-18.2%
-2.6%
100.0%
50.0%
-12.5%
-50.0%
14.3%
73.7%
12.5%
0.0%
0.0%","2
1
1
1
3
2
2
1
1
2
3
2
1
1
1
3
1
2
1
7
1
1
0
0","100.0%
0.0%
100.0%
0.0%
50.0%
0.0%
100.0%
0.0%
-50.0%
-33.3%
100.0%
100.0%
100.0%
0.0%
-50.0%
0.0%
100.0%
0.0%
-50.0%
75.0%
-66.7%
0.0%
-100.0%
-100.0%","6
56
2
41
5
61
7
79
21
114
2
121
5
5
226
12
319
2
1
2
5
1
0
2
11
210
5
298
43
8
20
2
35
208
23
3","50.0%
5.7%
-50.0%
-6.8%
400.0%
24.5%
16.7%
6.8%
133.3%
-10.2%
-50.0%
-7.6%
-37.5%
150.0%
20.2%
-25.0%
0.6%
-33.3%
100.0%
-33.3%
400.0%
100.0%
-100.0%
100.0%
37.5%
22.1%
-16.7%
26.8%
100.0%
166.7%
-16.7%
100.0%
6.1%
16.9%
-36.1%
50.0%","2
1
1
0
2
0
1
2
1
2
2
2
2
0
1
5
1
2
1
1
5
0
1","0.0%
100.0%
-66.7%
-100.0%
100.0%
-100.0%
0.0%
0.0%
-50.0%
100.0%
100.0%
100.0%
100.0%
-100.0%
0.0%
66.7%
100.0%
0.0%
100.0%
100.0%
400.0%
-100.0%
100.0%","253
412
172
258
133
186
82
139
303
527
3
320
147
238
890
242
675
8
11
178
222
10
125
383
169
552
3
329
1,064
57
113
180
52
215
630
180
28
15
3
2
1","-12.2%
17.4%
0.6%
6.2%
3.9%
11.4%
7.9%
-10.3%
3.8%
10.7%
-50.0%
-5.3%
-14.5%
7.7%
8.4%
-4.0%
3.1%
60.0%
100.0%
-11.4%
21.3%
-37.5%
-15.0%
6.7%
23.4%
21.9%
-25.0%
-9.1%
6.6%
100.0%
7.6%
13.2%
-17.5%
3.9%
25.7%
-22.7%
21.7%
50.0%
0.0%
100.0%
100.0%",
,Subtotal,"5,728",2.5%,207,0.0%,"1,055",10.1%,484,14.4%,40,17.6%,"1,961",12.4%,35,40.0%,"9,510",5.9%,
G. Bush,BUSH,0,-100.0%,0,-100.0%,0,-100.0%,4,0.0%,1,100.0%,0,-100.0%,1,-50.0%,0,-100.0%,
"School of
Govt",CAIA CHLS,"53
22","-3.6%
-18.5%","2
1","-60.0%
0.0%","7
2","0.0%
-50.0%",,,,,1,0.0%,,,"68
26","-8.1%
-18.8%",
,CNPM,18,260.0%,3,100.0%,1,100.0%,,,,,,,1,100.0%,23,360.0%,
,INTA,74,21.3%,4,33.3%,5,66.7%,1,-50.0%,0,-100.0%,10,0.0%,2,0.0%,96,17.1%,
,PSAA,63,100.0%,4,100.0%,10,100.0%,,,,,12,100.0%,1,100.0%,90,100.0%,
,Subtotal,230,12.7%,14,27.3%,25,25.0%,5,-16.7%,1,0.0%,23,21.1%,5,25.0%,303,14.3%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,
