Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"7,045",4.1%,"1,552",14.5%,913,6.2%,,,"9,510",5.9%,
Gender,Female,"1,291",6.3%,318,20.0%,164,11.6%,,,"1,773",9.0%,
,Male,"5,754",3.7%,"1,234",13.1%,749,5.0%,,,"7,737",5.2%,
Ethnicity,White,"5,125",1.6%,416,2.7%,187,33.6%,,,"5,728",2.5%,
,Black,173,6.1%,16,-40.7%,18,5.9%,,,207,0.0%,
,Hispanic,954,9.7%,65,10.2%,36,24.1%,,,"1,055",10.1%,
,Asian,415,14.6%,51,21.4%,18,-5.3%,,,484,14.4%,
,American Indian,36,20.0%,2,0.0%,2,0.0%,,,40,17.6%,
,International,318,15.2%,996,21.8%,647,-0.5%,,,"1,961",12.4%,
,Unknown/Other,24,26.3%,6,100.0%,5,66.7%,,,35,40.0%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,"4,090",2.0%,2,100.0%,,,,,"4,092",2.0%,
,22-25,"2,707",8.1%,874,18.8%,44,-15.4%,,,"3,625",10.1%,
,26-30,185,-5.6%,523,9.2%,436,8.2%,,,"1,144",6.1%,
,31-39,48,23.1%,130,5.7%,380,5.3%,,,558,6.7%,
,40+,13,-7.1%,23,35.3%,53,20.5%,,,89,18.7%,
Enrollment,1st Time in College,20,-20.0%,,,,,,,20,-20.0%,
Status,1st Time PB,4,0.0%,5,-54.5%,,,,,9,-40.0%,
,1st Time Graduate,,,118,6.3%,32,0.0%,,,150,4.9%,
,1st Time Transfer,101,-30.3%,,,,,,,101,-30.3%,
,Readmitted,37,15.6%,1,-66.7%,4,300.0%,,,42,16.7%,
,Continuing,"6,883",4.9%,"1,428",16.0%,877,6.0%,,,"9,188",6.6%,
Tuition,Resident Tuition,"6,326",4.2%,408,3.6%,172,27.4%,,,"6,906",4.7%,
Status,Non-Resident  Tuition,279,-2.8%,372,18.8%,120,-13.7%,,,771,4.3%,
,Tuition Exemption/Waiver,440,7.6%,772,19.0%,621,6.0%,,,"1,833",11.5%,
Residency,Texas Resident,"6,425",4.1%,421,4.5%,181,31.2%,,,"7,027",4.7%,
Status,"Non-TX, US Resident",297,-6.6%,128,-1.5%,84,18.3%,,,509,-1.9%,
,"Non-TX, Non-US Resident",323,16.2%,"1,003",21.9%,648,-0.5%,,,"1,974",12.7%,
SCH,< 6 SCH,83,-23.9%,204,21.4%,128,3.2%,,,415,3.5%,
Categories,6-8 SCH,101,-17.2%,73,-1.4%,12,20.0%,,,186,-9.7%,
,9-11 SCH,233,-10.4%,"1,199",16.5%,746,7.0%,,,"2,178",9.7%,
,12-14 SCH,"3,323",3.1%,73,-7.6%,25,-3.8%,,,"3,421",2.8%,
,15-17 SCH,"3,059",9.3%,3,-40.0%,1,-66.7%,,,"3,063",9.2%,
,>17 SCH,246,-3.1%,0,-100.0%,1,100.0%,,,247,-3.1%,
Ft/Pt:,Less Than Half Time,38,-24.0%,153,17.7%,110,3.8%,,,301,5.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","99
226","-16.1%
-10.0%",92,2.2%,21,5.0%,,,"212
226","-7.0%
-10.0%",
,Full-Time,"6,682",5.3%,"1,307",15.1%,782,6.5%,,,"8,771",6.8%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
