Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,545",-3.8%,70,6.1%,67,24.1%,501,-0.8%,"2,183",-2.2%,
Gender,Female,"1,038",-4.1%,36,-16.3%,51,37.8%,377,0.8%,"1,502",-2.2%,
,Male,507,-3.2%,34,47.8%,16,-5.9%,124,-5.3%,681,-2.0%,
Ethnicity,White,"1,088",-6.3%,42,-6.7%,30,20.0%,436,-1.4%,"1,596",-4.6%,
,Black,42,-10.6%,1,-50.0%,3,200.0%,1,0.0%,47,-7.8%,
,Hispanic,275,17.5%,2,-33.3%,3,-25.0%,38,8.6%,318,15.2%,
,Asian,130,-15.6%,1,-50.0%,4,100.0%,18,0.0%,153,-13.1%,
,American Indian,6,-14.3%,0,-100.0%,1,100.0%,2,0.0%,9,-10.0%,
,International,3,50.0%,24,118.2%,24,9.1%,,,51,45.7%,
,Unknown/Other,1,0.0%,0,-100.0%,2,100.0%,6,-14.3%,9,-10.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,166",-2.8%,,,,,2,100.0%,"1,168",-2.7%,
,22-25,374,-5.8%,20,-31.0%,6,200.0%,242,-0.8%,642,-4.5%,
,26-30,2,-66.7%,36,44.0%,29,52.6%,220,3.8%,287,9.5%,
,31-39,2,100.0%,12,33.3%,27,3.8%,31,-26.2%,72,-7.7%,
,40+,1,-50.0%,2,-33.3%,5,-28.6%,6,0.0%,14,-22.2%,
Enrollment,1st Time in College,7,-12.5%,,,,,,,7,-12.5%,
Status,1st Time PB,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,6,100.0%,2,100.0%,,,8,166.7%,
,1st Time Transfer,1,-50.0%,,,,,,,1,-50.0%,
,Readmitted,3,0.0%,,,,,,,3,0.0%,
,Continuing,"1,534",-3.7%,64,3.2%,65,20.4%,501,-0.8%,"2,164",-2.3%,
Tuition,Resident Tuition,"1,478",-4.5%,36,-14.3%,32,28.0%,465,-0.6%,"2,011",-3.4%,
Status,Non-Resident  Tuition,23,-11.5%,4,33.3%,3,0.0%,9,50.0%,39,2.6%,
,Tuition Exemption/Waiver,44,33.3%,30,42.9%,32,23.1%,27,-12.9%,133,19.8%,
Residency,Texas Resident,"1,499",-3.7%,37,-17.8%,33,32.0%,469,-1.3%,"2,038",-3.0%,
Status,"Non-TX, US Resident",43,-8.5%,9,-10.0%,10,42.9%,32,6.7%,94,0.0%,
,"Non-TX, Non-US Resident",3,50.0%,24,118.2%,24,9.1%,,,51,45.7%,
SCH,< 6 SCH,9,-25.0%,23,35.3%,13,8.3%,,,45,9.8%,
Categories,6-8 SCH,50,42.9%,5,-28.6%,1,-50.0%,,,56,27.3%,
,9-11 SCH,49,-26.9%,37,15.6%,52,48.6%,,,138,3.0%,
,12-14 SCH,781,2.0%,4,-33.3%,1,-75.0%,,,786,1.3%,
,15-17 SCH,619,-10.9%,1,-75.0%,0,-100.0%,,,620,-11.4%,
,>17 SCH,37,19.4%,,,,,501,-0.8%,538,0.4%,
Ft/Pt:,Less Than Half Time,8,-27.3%,10,0.0%,6,-14.3%,,,24,-14.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","47
49","34.3%
-26.9%",18,28.6%,8,14.3%,,,"73
49","30.4%
-26.9%",
,Full-Time,"1,441",-3.5%,42,0.0%,53,32.5%,501,-0.8%,"2,037",-2.1%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
