Office of Institutional Studies and Planning,,,,,,,,
Qatar Campus,,,,,,,,
(Not included in University Total Enrollment) Spring 2009,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,
Spring 2009,,Student Level,,,,,Grand Total,
,,U0,U1,U2,U3,U4,,
Head Count Total,,37,76,101,58,97,369,
Gender,Female,24,34,37,23,26,144,
,Male,13,42,64,35,71,225,
SCH Categories,< 6 SCH,15,,,,,15,
,6-8 SCH,3,,2,1,5,11,
9-11 SCH,,1,,,1,24,26,
,12-14 SCH,10,18,32,19,27,106,
15-17 SCH,,8,44,54,21,27,154,
,>17 SCH,,14,13,16,14,57,
"Prepared by OISP, 01 Apr 09",,,,,,,,
