Texas A&M University,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,
Demographic Summary by Housing,,,,,,,,,
Spring 2009,,,,,,,,,
Enrollment Profile – Spring 2009,,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,,
"Spring 2009
Head Count       Total
Gender               Female Male
Ethnicity            White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations Enrollment         1st Time in College
Status                 1st Time PB
1st Time Graduate 1st Time Transfer Readmitted Continuing
Tuition               Resident Tuition
Status                 Non-Resident Tuition Tuition Exemption/Waiver
Residency          Texas Resident
Status                 Non-TX, US Resident
Non-TX, Non-US Resident
SCH                   < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                  Less Than Half Time
TAMU               Half-Time
Full-Time",Undergraduate,,Masters,,PhD,Professional,Grand Total,,
,Off-campus,Dorm,Off-campus,Dorm,Off-campus,Off-campus,Off-campus,Dorm,
,,,,,,,,(On-campu,
,,(On-campus),,(On-campus),,,,s),
,"26,657","9,008","5,266",12,"3,276",501,"35,700","9,020",
,"13,230","3,877","2,178",6,"1,371",377,"17,156","3,883",
,"13,427","5,131","3,088",6,"1,905",124,"18,544","5,137",
,"20,904","6,233","2,751",8,"1,270",436,"25,361","6,241",
,743,381,130,,191,1,"1,065",381,
,"3,220","1,663",374,,253,38,"3,885","1,663",
,"1,085",553,153,3,76,18,"1,332",556,
,162,52,10,,19,2,193,52,
,460,114,"1,802",1,"1,432",,"3,694",115,
,83,12,46,,35,6,170,12,
,1,3,,,,,1,3,
,"13,317","7,969",14,1,,2,"13,333","7,970",
,"12,369","1,008","2,634",10,153,242,"15,398","1,018",
,673,25,"1,669",,"1,272",220,"3,834",25,
,204,2,642,1,"1,309",31,"2,186",3,
,93,1,307,,542,6,948,1,
,"4,311",805,723,1,491,,"5,525",806,
,"1,092",292,377,2,85,,"1,554",294,
,"3,213",839,718,6,60,,"3,991",845,
,"3,295",527,649,,682,,"4,626",527,
,"4,701","2,344","1,550",2,913,,"7,164","2,346",
,,,303,,,,303,,
,407,130,172,,134,,713,130,
,"4,579","1,288",310,,459,,"5,348","1,288",
,"1,296",696,370,1,385,,"2,051",697,
,983,562,70,,67,501,"1,621",562,
,"2,756","1,507",,,,,"2,756","1,507",
,24,18,24,,,,48,18,
,26,48,,,,,26,48,
,20,,91,,,,111,,
,,,458,4,94,,552,4,
,638,74,,,,,638,74,
,233,12,9,,9,,251,12,
,"25,740","8,874","4,708",8,"3,173",501,"34,122","8,882",
,"25,346","8,224","2,757",10,"1,254",465,"29,822","8,234",
,675,182,671,1,274,9,"1,629",183,
,636,602,"1,838",1,"1,748",27,"4,249",603,
,"25,529","8,413","2,823",10,"1,305",469,"30,126","8,423",
,660,475,630,1,533,32,"1,855",476,
,468,120,"1,813",1,"1,438",,"3,719",121,
,996,30,761,,678,,"2,435",30,
,"1,148",48,653,1,153,,"1,954",49,
,"1,657",70,"2,983",8,"2,347",,"6,987",78,
,"13,033","4,342",662,1,87,,"13,782","4,343",
,"8,977","4,234",112,2,9,,"9,098","4,236",
,846,284,95,,2,501,"1,444",284,
,914,30,596,,541,,"2,051",30,
,826,44,752,,276,,"1,854",44,
,"1,552",69,,,,,"1,552",69,
,"23,365","8,865","3,918",12,"2,459",501,"30,243","8,877",
"Prepared by OISP, 01 Apr 09",,,,,,,,,
