Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Philippines,2,9,3,,14,
Poland,1,2,3,,6,
Portugal,1,,,,1,
Romania,2,2,2,,6,
Russia,4,5,5,,14,
Rwanda,,,1,,1,
Saudi Arabia,27,20,9,,56,
Serbia,1,2,2,,5,
Singapore,4,2,1,,7,
Slovakia,,1,,,1,
South Africa,4,,3,,7,
Spain,4,5,1,,10,
Sri Lanka (Ceylon),4,4,8,,16,
St. Lucia,,1,,,1,
Sudan,1,,1,,2,
Sweden,2,,2,,4,
Switzerland,1,1,,,2,
Syria,,,1,,1,
Taiwan,4,82,128,,214,
Tanzania,1,1,1,,3,
Thailand,1,22,16,,39,
Togo,,,1,,1,
Trinidad & Tobago,4,4,3,,11,
Tunisia,1,2,1,,4,
Turkey,1,32,41,,74,
Turkmenistan,2,,,1,3,
Uganda,,,1,,1,
Ukraine,,3,6,,9,
United Arab Emirates,5,2,2,,9,
United Kingdom,7,3,6,,16,
United States,"35,072","3,454","1,831",500,"40,857",
Uruguay,,,2,,2,
Uzbekistan,,,3,,3,
Venezuela,10,6,5,,21,
Viet Nam Socialist Republic,12,10,12,,34,
Yemen,,,1,,1,
Zambia,2,,,,2,
Zimbabwe (Rhodesia),,,1,,1,
