Office of Institutional Studies and Planning,,,,,,,,,
Undergraduate Students,,,,,,,,,
Spring 2009,,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,,
Spring 2009,,"U0: UG
Non-Degree","U1:
Freshmen","U2:
Sophomore","U3:
Junior","U4:
Senior",U5: Undergraduate PB,Grand Total,
Head Count,Total,27,"5,582","8,707","9,856","11,407",86,"35,665",
Gender,Female,16,"2,731","4,284","4,679","5,351",46,"17,107",
,Male,11,"2,851","4,423","5,177","6,056",40,"18,558",
Ethnicity,White,10,"3,986","6,614","7,628","8,835",64,"27,137",
,Black,,266,257,299,300,2,"1,124",
,Hispanic,1,931,"1,244","1,194","1,505",8,"4,883",
,Asian,,267,416,470,480,5,"1,638",
,American Indian,,30,57,66,61,,214,
,International,14,92,109,164,190,5,574,
,Unknown/Other,2,10,10,35,36,2,95,
TAMU Age,<18,1,2,1,,,,4,
Categories,18-21,5,"5,551","8,272","6,030","1,428",,"21,286",
,22-25,13,19,377,"3,603","9,326",39,"13,377",
,26-30,4,7,40,150,465,32,698,
,31-39,2,2,7,52,130,13,206,
,40+,2,1,10,21,58,2,94,
College,Agriculture,3,356,957,"1,737","2,043",20,"5,116",
,Architecture,3,127,273,391,589,1,"1,384",
,Business Admin,1,513,842,"1,353","1,343",,"4,052",
,Education,1,352,721,"1,139","1,585",24,"3,822",
,Engineering,2,"1,025","1,588","1,969","2,433",28,"7,045",
,Geosciences,2,63,106,170,190,6,537,
,Liberal Arts,2,477,"1,289","1,918","2,179",2,"5,867",
,Science,3,393,473,507,611,5,"1,992",
,Veterinary Medicine,,357,417,352,419,,"1,545",
,General Studies,1,"1,915","2,033",308,6,,"4,263",
,Other - Special Populations,9,4,8,12,9,,42,
Enrollment,1st Time in College,,73,1,,,,74,
Status,1st Time PB,,,,,2,18,20,
,1st Time Transfer,,41,428,226,16,1,712,
,Readmitted,,8,62,76,99,,245,
,Continuing,27,"5,460","8,216","9,554","11,290",67,"34,614",
Tuition Status,Resident Tuition,13,"5,198","8,170","9,317","10,794",78,"33,570",
,Non-Resident Tuition,14,152,208,251,228,4,857,
,Tuition Exemption/Waiver,,232,329,288,385,4,"1,238",
Residency,Texas Resident,13,"5,301","8,320","9,363","10,865",80,"33,942",
Status,"Non-TX, US Resident",,185,275,326,348,1,"1,135",
,"Non-TX, Non-US Resident",14,96,112,167,194,5,588,
SCH Categories,< 6 SCH,7,485,191,54,269,20,"1,026",
,6-8 SCH,5,56,132,121,867,15,"1,196",
,9-11 SCH,,35,178,273,"1,229",12,"1,727",
,12-14 SCH,10,"2,897","4,644","4,804","4,997",23,"17,375",
,15-17 SCH,4,"2,053","3,436","4,251","3,453",14,"13,211",
,>17 SCH,1,56,126,353,592,2,"1,130",
Ft/Pt: TAMU,Less Than Half Time,7,483,188,38,211,17,944,
Status,Half-Time,4,56,128,103,567,12,870,
,Three-Quarter Time,,34,173,254,"1,149",11,"1,621",
,Full-Time,16,"5,009","8,218","9,461","9,480",46,"32,230",
Top 10% Texas,No,25,"3,320","5,305","6,331","7,052",61,"22,094",
High School,Yes,2,"2,262","3,402","3,525","4,355",25,"13,571",
First Generation,No,4,"3,889","6,368","7,087","7,961",64,"25,373",
,Unknown,19,169,213,261,361,7,"1,030",
,Yes,4,"1,524","2,126","2,508","3,085",15,"9,262",
"Prepared by OISP, 01 Apr 09",,,,,,,,,
