Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,867",1.6%,310,-1.6%,459,2.7%,,,"6,636",1.6%,
Gender,Female,"3,540",1.5%,157,-1.9%,250,5.0%,,,"3,947",1.6%,
,Male,"2,327",1.9%,153,-1.3%,209,0.0%,,,"2,689",1.5%,
Ethnicity,White,"4,494",-0.6%,175,-1.7%,244,-2.0%,,,"4,913",-0.7%,
,Black,203,9.1%,14,-17.6%,28,12.0%,,,245,7.5%,
,Hispanic,883,9.6%,39,-4.9%,57,35.7%,,,979,10.1%,
,Asian,189,5.0%,7,-30.0%,14,27.3%,,,210,4.5%,
,American Indian,42,7.7%,1,-66.7%,4,33.3%,,,47,4.4%,
,International,34,47.8%,65,4.8%,104,-3.7%,,,203,5.2%,
,Unknown/Other,22,22.2%,9,125.0%,8,-11.1%,,,39,25.8%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"3,126",0.6%,1,100.0%,,,,,"3,127",0.7%,
,22-25,"2,571",2.9%,131,12.0%,19,-5.0%,,,"2,721",3.3%,
,26-30,116,2.7%,102,-15.7%,174,8.1%,,,392,-0.8%,
,31-39,36,-5.3%,52,-3.7%,185,1.1%,,,273,-0.7%,
,40+,18,5.9%,24,4.3%,81,-2.4%,,,123,0.0%,
Enrollment,1st Time in College,12,20.0%,,,,,,,12,20.0%,
Status,1st Time PB,1,0.0%,5,25.0%,,,,,6,20.0%,
,1st Time Graduate,,,3,-70.0%,8,33.3%,,,11,-31.3%,
,1st Time Transfer,154,-4.3%,,,,,,,154,-4.3%,
,Readmitted,58,34.9%,,,1,100.0%,,,59,37.2%,
,Continuing,"5,642",1.5%,302,0.3%,450,2.0%,,,"6,394",1.5%,
Tuition,Resident Tuition,"5,573",1.9%,137,0.7%,208,8.3%,,,"5,918",2.1%,
Status,Non-Resident  Tuition,116,-2.5%,48,9.1%,45,-15.1%,,,209,-3.2%,
,Tuition Exemption/Waiver,178,-2.2%,125,-7.4%,206,2.0%,,,509,-1.9%,
Residency,Texas Resident,"5,628",1.8%,140,-1.4%,219,10.6%,,,"5,987",2.1%,
Status,"Non-TX, US Resident",203,-8.6%,105,-5.4%,135,-3.6%,,,443,-6.3%,
,"Non-TX, Non-US Resident",36,50.0%,65,4.8%,105,-3.7%,,,206,5.6%,
SCH,< 6 SCH,92,33.3%,39,-13.3%,108,-6.1%,,,239,4.4%,
Categories,6-8 SCH,171,24.8%,18,-10.0%,11,-42.1%,,,200,13.6%,
,9-11 SCH,343,8.9%,237,0.4%,332,8.5%,,,912,6.4%,
,12-14 SCH,"2,504",5.7%,16,23.1%,8,60.0%,,,"2,528",5.9%,
,15-17 SCH,"2,482",-5.3%,,,0,-100.0%,,,"2,482",-5.3%,
,>17 SCH,275,5.0%,0,-100.0%,0,-100.0%,,,275,4.2%,
Ft/Pt:,Less Than Half Time,71,4.4%,32,-13.5%,84,-12.5%,,,187,-7.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","166
338","23.9%
8.7%",24,-14.3%,35,-7.9%,,,"225
338","12.5%
8.7%",
,Full-Time,"5,292",0.6%,254,1.6%,340,8.6%,,,"5,886",1.1%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
