Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Spring 2009,,,,,,,
Official Certified 12th Class Day Data,,,,,,,
Spring 2009,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,277,"4,958","3,276",43,"8,554",
Gender,Female,128,"2,034","1,371",22,"3,555",
,Male,149,"2,924","1,905",21,"4,999",
Ethnicity,White,202,"2,546","1,270",11,"4,029",
,Black,15,112,191,3,321,
,Hispanic,26,339,253,9,627,
,Asian,10,146,76,,232,
,American Indian,1,9,19,,29,
,International,17,"1,766","1,432",20,"3,235",
,Unknown/Other,6,40,35,,81,
TAMU Age,18-21,,14,,1,15,
Categories,22-25,81,"2,552",153,11,"2,797",
,26-30,72,"1,580","1,272",17,"2,941",
,31-39,54,580,"1,309",9,"1,952",
,40+,70,232,542,5,849,
College,Agriculture,22,691,491,11,"1,215",
,Architecture,8,371,85,,464,
,Business Admin,,724,60,,784,
,Education,46,597,682,6,"1,331",
,Engineering,7,"1,539",913,6,"2,465",
,G. Bush School of Govt,117,186,,,303,
,Geosciences,10,160,134,2,306,
,Liberal Arts,17,291,459,2,769,
,Science,26,329,385,16,756,
,Veterinary Medicine,2,68,67,,137,
,Other - Special Populations,22,2,,,24,
Enrollment,1st Time PB,91,,,,91,
Status,1st Time Graduate,,458,94,4,556,
,Readmitted,,9,9,,18,
,Continuing,186,"4,491","3,173",39,"7,889",
Tuition Status,Resident Tuition,228,"2,520","1,254",19,"4,021",
,Non-Resident Tuition,29,640,274,3,946,
,Tuition Exemption/Waiver,20,"1,798","1,748",21,"3,587",
Residency,Texas Resident,242,"2,573","1,305",18,"4,138",
Status,"Non-TX, US Resident",18,608,533,5,"1,164",
,"Non-TX, Non-US Resident",17,"1,777","1,438",20,"3,252",
SCH,< 6 SCH,176,583,678,2,"1,439",
Categories,6-8 SCH,59,586,153,9,807,
,9-11 SCH,34,"2,926","2,347",31,"5,338",
,12-14 SCH,6,656,87,1,750,
,15-17 SCH,2,112,9,,123,
,>17 SCH,,95,2,,97,
Ft/Pt: TAMU,Less Than Half Time,162,432,541,2,"1,137",
Status,Half-Time,73,670,276,9,"1,028",
,Full-Time,42,"3,856","2,459",32,"6,389",
"Prepared by OISP, 01 Apr 09",,,,,,,
