"Spring 2009
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,70,,53,123,,1,,1,,10,,9,19,,1,,3,4,1,,1,2,3,5,1,,,1,,86,,68,,154,
,,58,,33,91,,1,,1,,7,,5,12,,1,,3,4,,,,2,,2,1,,,1,,70,,41,,111,
,,10,,17,27,,,,,,1,,4,5,,,,,,1,,1,,2,2,,,,,,12,,23,,35,
,,1,,2,3,,,,,,2,,,2,,,,,,,,,,1,1,,,,,,3,,3,,6,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,6,,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,12,
,,50,,31,81,,,,,,8,,5,13,,1,,3,4,,,,1,,1,,,,,,60,,39,,99,
,,14,,16,30,,1,,1,,2,,4,6,,,,,,1,,1,1,3,4,1,,,1,,20,,23,,43,
,,70,,52,122,,1,,1,,9,,9,18,,1,,3,4,1,,1,,1,1,,,,,,82,,65,,147,
,,,,,,,,,,,1,,,1,,,,,,,,,2,1,3,1,,,1,,4,,1,,5,
,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,2,
,,70,,53,123,,1,,1,,9,,9,18,,1,,3,4,1,,1,,,,,,,,,82,,65,,147,
,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,2,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,2,3,5,,,,,,2,,3,,5,
,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,
,,4,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,7,
,,4,,2,6,,,,,,,,1,1,,,,,,1,,1,,,,,,,,,5,,3,,8,
,,41,,28,69,,1,,1,,6,,4,10,,1,,3,4,,,,,3,3,,,,,,49,,38,,87,
,,18,,18,36,,,,,,3,,4,7,,,,,,,,,2,,2,1,,,1,,24,,22,,46,
,,1,,1,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,2,,1,,3,
,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,
,,4,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,7,
,,4,,2,6,,,,,,,,1,1,,,,,,1,,1,,,,,,,,,5,,3,,8,
,,60,,47,107,,1,,1,,10,,8,18,,1,,3,4,,,,2,3,5,1,,,1,,75,,61,,136,
,,67,,52,119,,1,,1,,10,,9,19,,1,,3,4,1,,1,2,3,5,1,,,1,,83,,67,,150,
,,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,4,
,,51,,38,89,,1,,1,,6,,5,11,,1,,2,3,,,,,,,,,,,,59,,45,,104,
,,,,1,1,,,,,,,,,,,,,,,,,,2,2,4,1,,,1,,3,,3,,6,
,,19,,14,33,,,,,,4,,4,8,,,,1,1,1,,1,,1,1,,,,,,24,,20,,44,
,,66,,49,115,,1,,1,,9,,8,17,,1,,3,4,1,,1,2,2,4,1,,,1,,81,,62,,143,
,,4,,4,8,,,,,,1,,1,2,,,,,,,,,,1,1,,,,,,5,,6,,11,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
