Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,303,14.3%,,,,,303,14.3%,
Gender,Female,,,124,24.0%,,,,,124,24.0%,
,Male,,,179,8.5%,,,,,179,8.5%,
Ethnicity,White,,,230,12.7%,,,,,230,12.7%,
,Black,,,14,27.3%,,,,,14,27.3%,
,Hispanic,,,25,25.0%,,,,,25,25.0%,
,Asian,,,5,-16.7%,,,,,5,-16.7%,
,American Indian,,,1,0.0%,,,,,1,0.0%,
,International,,,23,21.1%,,,,,23,21.1%,
,Unknown/Other,,,5,25.0%,,,,,5,25.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,3,200.0%,,,,,3,200.0%,
,22-25,,,119,2.6%,,,,,119,2.6%,
,26-30,,,99,32.0%,,,,,99,32.0%,
,31-39,,,45,25.0%,,,,,45,25.0%,
,40+,,,37,0.0%,,,,,37,0.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,36,-10.0%,,,,,36,-10.0%,
,1st Time Graduate,,,10,900.0%,,,,,10,900.0%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,257,14.7%,,,,,257,14.7%,
Tuition,Resident Tuition,,,193,6.0%,,,,,193,6.0%,
Status,Non-Resident  Tuition,,,15,200.0%,,,,,15,200.0%,
,Tuition Exemption/Waiver,,,95,21.8%,,,,,95,21.8%,
Residency,Texas Resident,,,208,4.5%,,,,,208,4.5%,
Status,"Non-TX, US Resident",,,72,53.2%,,,,,72,53.2%,
,"Non-TX, Non-US Resident",,,23,21.1%,,,,,23,21.1%,
SCH,< 6 SCH,,,76,2.7%,,,,,76,2.7%,
Categories,6-8 SCH,,,35,0.0%,,,,,35,0.0%,
,9-11 SCH,,,40,60.0%,,,,,40,60.0%,
,12-14 SCH,,,136,6.3%,,,,,136,6.3%,
,15-17 SCH,,,16,433.3%,,,,,16,433.3%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,71,-2.7%,,,,,71,-2.7%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,40,11.1%,,,,,40,11.1%,
,Full-Time,,,192,23.1%,,,,,192,23.1%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
