Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,052",3.6%,724,-2.7%,60,-4.8%,,,"4,836",2.5%,
Gender,Female,"2,118",1.7%,325,4.5%,16,-20.0%,,,"2,459",1.9%,
,Male,"1,934",5.8%,399,-7.9%,44,2.3%,,,"2,377",3.2%,
Ethnicity,White,"3,244",1.4%,499,-5.1%,31,3.3%,,,"3,774",0.5%,
,Black,116,22.1%,20,122.2%,1,-50.0%,,,137,29.2%,
,Hispanic,441,10.0%,50,11.1%,0,-100.0%,,,491,9.8%,
,Asian,194,12.8%,40,25.0%,4,100.0%,,,238,15.5%,
,American Indian,24,26.3%,1,-50.0%,,,,,25,19.0%,
,International,24,50.0%,105,-13.9%,24,-7.7%,,,153,-6.7%,
,Unknown/Other,9,28.6%,9,12.5%,0,-100.0%,,,18,5.9%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,462",0.5%,6,20.0%,,,,,"2,468",0.6%,
,22-25,"1,533",8.3%,464,-5.3%,5,25.0%,,,"2,002",4.8%,
,26-30,31,29.2%,110,2.8%,16,-15.8%,,,157,4.7%,
,31-39,15,25.0%,85,2.4%,32,0.0%,,,132,3.9%,
,40+,11,22.2%,59,0.0%,7,-12.5%,,,77,1.3%,
Enrollment,1st Time in College,8,-11.1%,,,,,,,8,-11.1%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,115,8.5%,,,,,115,8.5%,
,1st Time Transfer,0,-100.0%,,,,,,,0,-100.0%,
,Readmitted,9,-47.1%,1,100.0%,,,,,10,-41.2%,
,Continuing,"4,035",3.9%,608,-4.7%,60,-4.8%,,,"4,703",2.6%,
Tuition,Resident Tuition,"3,930",3.4%,582,-1.2%,14,-17.6%,,,"4,526",2.7%,
Status,Non-Resident  Tuition,52,23.8%,15,-40.0%,1,-66.7%,,,68,-2.9%,
,Tuition Exemption/Waiver,70,1.4%,127,-2.3%,45,4.7%,,,242,0.0%,
Residency,Texas Resident,"3,952",3.1%,590,0.3%,16,-20.0%,,,"4,558",2.7%,
Status,"Non-TX, US Resident",75,25.0%,28,-15.2%,20,17.6%,,,123,11.8%,
,"Non-TX, Non-US Resident",25,38.9%,106,-13.8%,24,-7.7%,,,155,-7.2%,
SCH,< 6 SCH,25,-3.8%,23,53.3%,2,-50.0%,,,50,11.1%,
Categories,6-8 SCH,69,-30.3%,165,10.0%,,,,,234,-6.0%,
,9-11 SCH,254,-3.8%,200,-2.0%,54,-1.8%,,,508,-2.9%,
,12-14 SCH,"2,351",7.0%,215,-19.2%,4,0.0%,,,"2,570",4.1%,
,15-17 SCH,"1,301",2.0%,29,-14.7%,,,,,"1,330",1.5%,
,>17 SCH,52,10.6%,92,22.7%,,,,,144,18.0%,
Ft/Pt:,Less Than Half Time,24,14.3%,16,128.6%,1,-75.0%,,,41,28.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","65
220","-26.1%
-6.8%",150,94.8%,1,100.0%,,,"216
220","30.9%
-6.8%",
,Full-Time,"3,743",5.0%,558,-15.5%,58,-1.7%,,,"4,359",1.8%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
