"Spring 2009
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,Black,,,,,Hispanic,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,
,F,M,Tot,F,,M,,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,,Tot,,
,268,271,539,,3,,5,8,,36,63,99,,8,18,26,3,2,5,15,17,32,2,1,,3,335,,377,,712,
,198,168,366,,2,,3,5,,21,31,52,,5,13,18,2,2,4,9,7,16,2,1,,3,239,,225,,464,
,52,78,130,,,,,,,10,27,37,,1,4,5,1,,1,3,6,9,,,,,67,,115,,182,
,10,22,32,,,,,,,3,4,7,,,1,1,,,,3,3,6,,,,,16,,30,,46,
,6,2,8,,1,,2,3,,1,,1,,2,,2,,,,,1,1,,,,,10,,5,,15,
,2,1,3,,,,,,,1,1,2,,,,,,,,,,,,,,,3,,2,,5,
,12,22,34,,,,1,1,,1,,1,,2,1,3,,,,,2,2,,,,,15,,26,,41,
,166,164,330,,2,,1,3,,22,41,63,,3,12,15,2,2,4,7,5,12,,1,,1,202,,226,,428,
,82,81,163,,1,,3,4,,10,22,32,,3,5,8,1,,1,7,9,16,2,,,2,106,,120,,226,
,8,4,12,,,,,,,2,,2,,,,,,,,1,1,2,,,,,11,,5,,16,
,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,1,
,260,268,528,,3,,3,6,,34,62,96,,8,18,26,3,2,5,1,2,3,1,1,,2,310,,356,,666,
,6,1,7,,,,2,2,,1,,1,,,,,,,,11,10,21,1,,,1,19,,13,,32,
,2,2,4,,,,,,,1,1,2,,,,,,,,3,5,8,,,,,6,,8,,14,
,262,271,533,,3,,3,6,,35,62,97,,8,18,26,3,2,5,,,,1,1,,2,312,,357,,669,
,6,,6,,,,2,2,,1,1,2,,,,,,,,,,,1,,,1,8,,3,,11,
,,,,,,,,,,,,,,,,,,,,15,17,32,,,,,15,,17,,32,
,2,4,6,,1,,,1,,,1,1,,,,,,,,1,1,2,,,,,4,,6,,10,
,16,10,26,,,,,,,3,1,4,,,,,,,,,1,1,,,,,19,,12,,31,
,16,12,28,,,,2,2,,,3,3,,,,,1,,1,,,,,,,,17,,17,,34,
,151,158,309,,2,,1,3,,19,44,63,,6,14,20,2,2,4,9,11,20,1,,,1,190,,230,,420,
,81,85,166,,,,1,1,,13,14,27,,2,4,6,,,,5,4,9,1,1,,2,102,,109,,211,
,2,2,4,,,,1,1,,1,,1,,,,,,,,,,,,,,,3,,3,,6,
,2,4,6,,1,,,1,,,1,1,,,,,,,,1,1,2,,,,,4,,6,,10,
,16,10,26,,,,,,,3,1,4,,,,,,,,,1,1,,,,,19,,12,,31,
,16,12,28,,,,2,2,,,3,3,,,,,1,,1,,,,,,,,17,,17,,34,
,234,245,479,,2,,3,5,,33,58,91,,8,18,26,2,2,4,14,15,29,2,1,,3,295,,342,,637,
,254,263,517,,3,,5,8,,33,60,93,,7,18,25,3,2,5,15,17,32,2,1,,3,317,,366,,683,
,14,8,22,,,,,,,3,3,6,,1,,1,,,,,,,,,,,18,,11,,29,
,184,170,354,,1,,,1,,20,23,43,,5,13,18,2,1,3,1,1,2,1,1,,2,214,,209,,423,
,3,6,9,,,,,,,,1,1,,,1,1,,,,14,15,29,1,,,1,18,,23,,41,
,81,95,176,,2,,5,7,,16,39,55,,3,4,7,1,1,2,,1,1,,,,,103,,145,,248,
,254,247,501,,3,,4,7,,30,49,79,,7,12,19,3,2,5,12,12,24,2,1,,3,311,,327,,638,
,14,24,38,,,,1,1,,6,14,20,,1,6,7,,,,3,5,8,,,,,24,,50,,74,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
