Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,992",-1.6%,371,9.4%,385,6.9%,,,"2,748",0.9%,
Gender,Female,"1,073",-4.2%,134,6.3%,127,10.4%,,,"1,334",-2.0%,
,Male,919,1.7%,237,11.3%,258,5.3%,,,"1,414",3.8%,
Ethnicity,White,"1,311",-6.7%,189,13.2%,134,8.9%,,,"1,634",-3.6%,
,Black,67,-2.9%,5,-37.5%,5,400.0%,,,77,-1.3%,
,Hispanic,330,14.6%,26,85.7%,14,-33.3%,,,370,14.6%,
,Asian,252,10.0%,12,-20.0%,14,-17.6%,,,278,6.5%,
,American Indian,11,-26.7%,1,100.0%,4,0.0%,,,16,-15.8%,
,International,19,11.8%,137,2.2%,211,11.1%,,,367,7.6%,
,Unknown/Other,2,100.0%,1,0.0%,3,-25.0%,,,6,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,331",-3.1%,2,100.0%,,,,,"1,333",-3.1%,
,22-25,635,1.9%,157,-0.6%,30,7.1%,,,822,1.6%,
,26-30,18,-10.0%,130,14.0%,233,8.4%,,,381,9.2%,
,31-39,5,25.0%,48,9.1%,105,2.9%,,,158,5.3%,
,40+,3,0.0%,34,54.5%,17,13.3%,,,54,35.0%,
Enrollment,1st Time in College,4,-33.3%,,,,,,,4,-33.3%,
Status,1st Time PB,,,11,120.0%,,,,,11,120.0%,
,1st Time Graduate,,,25,127.3%,7,-22.2%,,,32,60.0%,
,1st Time Transfer,32,28.0%,,,,,,,32,28.0%,
,Readmitted,5,-16.7%,,,,,,,5,-16.7%,
,Continuing,"1,951",-1.8%,335,3.7%,378,7.7%,,,"2,664",0.1%,
Tuition,Resident Tuition,"1,874",-1.0%,161,28.8%,72,-2.7%,,,"2,107",0.8%,
Status,Non-Resident  Tuition,39,-18.8%,13,0.0%,15,66.7%,,,67,-4.3%,
,Tuition Exemption/Waiver,79,-6.0%,197,-2.0%,298,7.6%,,,574,2.1%,
Residency,Texas Resident,"1,907",-1.2%,164,25.2%,79,0.0%,,,"2,150",0.4%,
Status,"Non-TX, US Resident",66,-12.0%,68,-5.6%,91,4.6%,,,225,-3.8%,
,"Non-TX, Non-US Resident",19,5.6%,139,2.2%,215,10.8%,,,373,7.2%,
SCH,< 6 SCH,8,-50.0%,63,53.7%,18,63.6%,,,89,30.9%,
Categories,6-8 SCH,38,-5.0%,19,35.7%,3,50.0%,,,60,7.1%,
,9-11 SCH,74,-18.7%,285,1.1%,361,4.9%,,,720,0.4%,
,12-14 SCH,"1,086",3.7%,4,300.0%,2,-33.3%,,,"1,092",3.9%,
,15-17 SCH,718,-6.8%,0,-100.0%,1,100.0%,,,719,-6.7%,
,>17 SCH,68,13.3%,,,,,,,68,13.3%,
Ft/Pt:,Less Than Half Time,7,-50.0%,51,50.0%,18,100.0%,,,76,33.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","34
68","-8.1%
-11.7%",30,42.9%,3,50.0%,,,"67
68","11.7%
-11.7%",
,Full-Time,"1,883",-0.7%,290,2.1%,364,4.3%,,,"2,537",0.3%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
