"Spring 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARB
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
5
1
3
1
10
8
10
1
8
1
1
5
2
15
2
13
5
71
70
6
13
3
92
89
89
300
300
932","Sophomore
5
4
5
5
19
2
35
25
5
14
4
19
33
2
52
12
203
60
8
7
1
76
64
64
300
300
1,244","Junior
5
6
2
5
18
4
32
34
12
23
1
13
27
4
34
10
60
22
276
45
6
11
3
65
60
60
50
50
1,194","Senior
6
1
6
4
17
8
34
34
17
31
2
21
33
5
50
5
66
26
332
68
6
13
10
97
62
62
2
2
1,505","PB
2
2
1
1
8","Total
23
12
16
15
66
14
109
103
35
76
5
39
84
11
132
19
191
65
883
243
26
44
17
330
275
275
652
652
4,883",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,10,15,25,1,1,38,38,25,
,,,,,,,10,15,25,,,,,25,
,,,,,,,,,,,,,,23,
,,,,,,,,,,,,,,12,
,,,,,,,,1,1,,,,,18,
,,,,,,,,3,3,,,,,18,
,,,,,,,,3,3,,,,,3,
,,,,,,,,7,7,1,1,,,74,
,,,,,,,,3,3,3,3,,,20,
,,,,,,,,,,,,,,109,
,,,,,,,,2,2,5,5,,,110,
,,,,,,,,3,3,,,,,38,
,,,,,,,,2,2,4,4,,,82,
,,,,,,,,,,,,,,5,
,,,,,,,1,7,8,12,12,,,59,
,,,,,,,,4,4,1,1,,,89,
,,,,,,,,2,2,1,1,,,14,
,,,,,,,,,,3,3,,,135,
,,,,,,,,,,,,,,19,
,,,,,,,,6,6,12,12,,,209,
,,,,,,,,9,9,16,16,,,90,
,,,,,,,1,38,39,57,57,,,979,
,,,,,,,,3,3,1,1,,,247,
,,,,,,,,11,11,8,8,,,45,
,,,,,,,,2,2,1,1,,,47,
,,,,,,,,6,6,3,3,,,26,
,,,,,,,,4,4,1,1,,,5,
,,,,,,,,26,26,14,14,,,370,
,,,,,,,,1,1,,,,,314,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,3,3,,,3,
,,,,,,,,2,2,3,3,38,38,318,
,,,,,,,,,,,,,,652,
,,,,,,,,,,,,,,652,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,1,2,,,,,2,
,,,,,,,26,348,374,253,253,38,38,"5,548",
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,
