Spring 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,78,-6.0%,1,0.0%,10,42.9%,8,14.3%,2,100.0%,83,-20.2%,4,33.3%,184,-10.2%,
,COMG,26,30.0%,0,-100.0%,0,-100.0%,2,100.0%,,,38,-25.5%,0,-100.0%,66,-14.3%,
,COSC,299,-1.0%,3,0.0%,21,-22.2%,5,25.0%,,,2,100.0%,1,0.0%,333,-1.8%,
,COSL,226,9.7%,2,0.0%,26,4.0%,3,-40.0%,1,0.0%,0,-100.0%,2,0.0%,260,7.0%,
,ENDL,229,4.1%,4,0.0%,28,-3.4%,14,75.0%,3,50.0%,5,66.7%,1,100.0%,284,6.8%,
,ENDS,174,-7.9%,4,0.0%,29,20.8%,3,-57.1%,1,0.0%,1,0.0%,1,-75.0%,213,-7.4%,
,LAND,68,0.0%,1,100.0%,11,450.0%,1,-50.0%,2,100.0%,18,0.0%,2,-33.3%,103,9.6%,
,LANL,53,-8.6%,1,-50.0%,5,-37.5%,2,-33.3%,0,-100.0%,,,,,61,-15.3%,
,LDEV,12,20.0%,0,-100.0%,0,-100.0%,,,,,11,10.0%,,,23,4.5%,
,URPL,16,0.0%,2,100.0%,3,-40.0%,,,,,16,14.3%,1,0.0%,38,2.7%,
,URSC,11,-8.3%,1,0.0%,1,0.0%,0,-100.0%,,,36,28.6%,1,0.0%,50,13.6%,
,VIZA,39,5.4%,,,7,0.0%,6,20.0%,,,12,-20.0%,1,0.0%,65,0.0%,
,Subtotal,"1,231",0.8%,19,-9.5%,141,2.9%,44,2.3%,9,28.6%,222,-10.1%,14,-22.2%,"1,680",-0.8%,
Business,ACCT,672,0.7%,13,-13.3%,43,26.5%,32,10.3%,1,100.0%,16,-27.3%,3,-40.0%,780,1.0%,
Admin,AGBU,7,75.0%,,,1,100.0%,,,,,,,,,8,100.0%,
,BUAD,"1,439",-11.9%,28,-9.7%,104,7.2%,51,-17.7%,7,-30.0%,25,-16.7%,8,14.3%,"1,662",-11.1%,
,BUAG,11,0.0%,,,1,100.0%,,,,,,,,,12,9.1%,
,FINC,596,8.2%,14,100.0%,36,20.0%,22,-12.0%,0,-100.0%,19,26.7%,6,-25.0%,693,8.3%,
,INFO,126,-27.6%,5,-44.4%,9,-40.0%,5,-61.5%,3,0.0%,13,-7.1%,1,-50.0%,162,-29.6%,
,MGMT,342,0.3%,14,100.0%,35,-5.4%,18,12.5%,2,-33.3%,13,0.0%,2,-50.0%,426,1.2%,
,MISY,34,-15.0%,2,-33.3%,1,-50.0%,4,100.0%,,,64,23.1%,0,-100.0%,105,5.0%,
,MKTG,531,-5.0%,11,22.2%,38,-19.1%,11,0.0%,3,50.0%,16,-11.1%,3,-62.5%,613,-6.3%,
,MLER,56,12.0%,2,100.0%,5,66.7%,,,,,1,0.0%,2,100.0%,66,20.0%,
,Subtotal,"3,814",-5.4%,89,8.5%,273,3.0%,143,-9.5%,16,-27.3%,167,1.2%,25,-28.6%,"4,527",-4.8%,
Education,CPSY,25,-19.4%,5,66.7%,4,0.0%,0,-100.0%,,,3,50.0%,1,100.0%,38,-7.3%,
,EDAD,219,-1.8%,37,15.6%,58,18.4%,0,-100.0%,1,-50.0%,8,-11.1%,5,-16.7%,328,1.9%,
,EDCI,197,5.9%,49,25.6%,28,33.3%,5,-16.7%,1,0.0%,27,-3.6%,4,100.0%,311,9.9%,
,EDHL,187,12.0%,12,71.4%,21,40.0%,7,75.0%,,,,,0,-100.0%,227,17.0%,
,EDIS,769,-4.4%,11,-21.4%,85,10.4%,7,16.7%,2,-50.0%,3,50.0%,0,-100.0%,877,-3.4%,
,EDIT,,,,,,,,,,,0,-100.0%,,,0,-100.0%,
,EDKI,724,3.4%,27,28.6%,68,-1.4%,16,45.5%,5,0.0%,4,100.0%,2,-60.0%,846,4.1%,
,EDTC,25,-16.7%,1,-50.0%,3,0.0%,,,,,5,25.0%,,,34,-12.8%,
,EHRD,92,-3.2%,18,5.9%,26,-3.7%,3,0.0%,,,18,0.0%,4,-20.0%,161,-2.4%,
,EPSY,113,-25.7%,7,16.7%,31,-18.4%,2,100.0%,1,100.0%,25,8.7%,0,-100.0%,179,-19.0%,
,HEED,23,-4.2%,6,20.0%,1,100.0%,,,,,2,100.0%,1,0.0%,33,6.5%,
,HLTH,111,6.7%,3,0.0%,10,0.0%,0,-100.0%,0,-100.0%,,,2,-33.3%,126,2.4%,
,INST,967,7.2%,12,20.0%,85,41.7%,4,-42.9%,7,-36.4%,1,-50.0%,3,-25.0%,"1,079",8.3%,
,ISNC,240,70.2%,9,50.0%,37,48.0%,9,28.6%,1,100.0%,1,0.0%,1,0.0%,298,64.6%,
,KINE,353,-2.5%,3,-62.5%,34,41.7%,7,75.0%,1,-50.0%,18,0.0%,4,33.3%,420,-0.2%,
,PHED,4,-50.0%,,,3,0.0%,,,,,2,100.0%,0,-100.0%,9,-30.8%,
,SPMT,27,100.0%,2,100.0%,1,100.0%,,,,,,,,,30,100.0%,
,SPSY,22,-15.4%,6,-14.3%,11,10.0%,3,200.0%,,,1,-50.0%,1,100.0%,44,-4.3%,
,TECR,16,-48.4%,,,1,-50.0%,1,100.0%,,,,,,,18,-45.5%,
,Subtotal,"4,114",3.2%,208,15.6%,507,16.0%,64,18.5%,19,-26.9%,118,3.5%,28,-17.6%,"5,058",4.7%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,,,,
