Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,823",6.9%,309,1.0%,372,-4.4%,,,"2,504",4.3%,
Gender,Female,"1,071",3.1%,154,6.2%,96,-6.8%,,,"1,321",2.6%,
,Male,752,12.7%,155,-3.7%,276,-3.5%,,,"1,183",6.2%,
Ethnicity,White,"1,348",5.6%,155,-4.9%,127,0.0%,,,"1,630",4.0%,
,Black,63,21.2%,4,-33.3%,4,0.0%,,,71,14.5%,
,Hispanic,227,8.1%,25,38.9%,12,9.1%,,,264,10.5%,
,Asian,152,16.0%,14,27.3%,10,25.0%,,,176,17.3%,
,American Indian,8,14.3%,1,0.0%,2,0.0%,,,11,10.0%,
,International,17,6.3%,102,3.0%,215,-8.5%,,,334,-4.6%,
,Unknown/Other,8,-38.5%,8,0.0%,2,0.0%,,,18,-21.7%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,"1,230",9.7%,1,0.0%,,,,,"1,231",9.7%,
,22-25,566,3.3%,124,18.1%,37,-15.9%,,,727,4.3%,
,26-30,20,-28.6%,115,4.5%,188,-6.0%,,,323,-4.4%,
,31-39,7,16.7%,44,-21.4%,132,1.5%,,,183,-4.7%,
,40+,0,-100.0%,25,-26.5%,15,0.0%,,,40,-20.0%,
Enrollment,1st Time in College,10,25.0%,,,,,,,10,25.0%,
Status,1st Time PB,3,200.0%,1,-85.7%,,,,,4,-50.0%,
,1st Time Graduate,,,17,-41.4%,3,-50.0%,,,20,-42.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,31,63.2%,,,,,,,31,63.2%,
,Readmitted,8,-38.5%,,,0,-100.0%,,,8,-42.9%,
,Continuing,"1,771",6.4%,291,7.8%,369,-3.4%,,,"2,431",4.9%,
Tuition,Resident Tuition,"1,718",6.4%,129,19.4%,64,3.2%,,,"1,911",7.1%,
Status,Non-Resident Tuition,48,9.1%,21,-48.8%,43,0.0%,,,112,-12.5%,
,Tuition  Exemption/Waiver,57,18.8%,159,1.3%,265,-6.7%,,,481,-1.6%,
Residency,Texas Resident,"1,719",6.4%,130,20.4%,68,4.6%,,,"1,917",7.2%,
Status,"Non-TX, US Resident",83,13.7%,76,-22.4%,86,-1.1%,,,245,-5.0%,
,"Non-TX, Non-US Resident",21,16.7%,103,3.0%,218,-8.0%,,,342,-3.7%,
SCH,< 6 SCH,17,112.5%,43,-23.2%,32,88.2%,,,92,13.6%,
Categories,6-8 SCH,49,25.6%,21,16.7%,6,20.0%,,,76,22.6%,
,9-11 SCH,69,-29.6%,232,5.9%,330,-8.8%,,,631,-7.1%,
,12-14 SCH,"1,123",10.3%,13,8.3%,3,0.0%,,,"1,139",10.3%,
,15-17 SCH,532,6.0%,0,-100.0%,0,-100.0%,,,532,5.6%,
,>17 SCH,33,-19.5%,,,1,0.0%,,,34,-19.0%,
Ft/Pt:,Less Than Half Time,15,87.5%,39,-23.5%,29,93.3%,,,83,12.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","47
65","23.7%
-29.3%",24,4.3%,4,-33.3%,,,"75
65","11.9%
-29.3%",
,Full-Time,"1,696",8.2%,246,6.0%,339,-7.9%,,,"2,281",5.2%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
