Spring 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,33,45,1,2,1,9,3,5,1,2,34,49,1,3,73,111,184,
,COMG,9,17,,,,,,2,,,13,25,,,22,44,66,
,COSC,29,270,1,,3,18,1,4,,,,2,,1,34,299,333,
,COSL,16,210,1,1,4,22,2,1,,1,,,,2,23,237,260,
,ENDL,113,116,1,3,12,16,8,6,,2,4,1,1,,140,144,284,
,ENDS,79,95,3,1,16,13,3,,1,,,1,1,,103,110,213,
,LAND,33,35,,1,3,8,,1,,2,15,3,1,1,52,51,103,
,LANL,19,34,,1,2,3,1,1,,,,,,,22,39,61,
,LDEV,1,11,,,,,,,,,4,7,,,5,18,23,
,URPL,6,10,,2,1,2,,,,,6,10,,1,13,25,38,
,URSC,3,8,1,,1,,,,,,9,27,,1,14,36,50,
,VIZA,12,27,,,4,3,3,3,,,3,9,,1,22,43,65,
,Subtotal,353,878,8,11,47,94,21,23,2,7,88,134,4,10,523,"1,157",1680,
Business,ACCT,400,272,7,6,29,14,19,13,,1,10,6,3,,468,312,780,
Admin,AGBU,3,4,,,,1,,,,,,,,,3,5,8,
,BUAD,766,673,15,13,55,49,19,32,3,4,8,17,2,6,868,794,1662,
,BUAG,7,4,,,1,,,,,,,,,,8,4,12,
,FINC,237,359,9,5,16,20,10,12,,,4,15,3,3,279,414,693,
,INFO,47,79,2,3,4,5,1,4,,3,7,6,,1,61,101,162,
,MGMT,178,164,10,4,25,10,12,6,,2,8,5,1,1,234,192,426,
,MISY,14,20,1,1,,1,2,2,,,22,42,,,39,66,105,
,MKTG,377,154,7,4,23,15,6,5,2,1,5,11,2,1,422,191,613,
,MLER,17,39,1,1,,5,,,,,,1,1,1,19,47,66,
,Subtotal,"2,046","1,768",52,37,153,120,69,74,5,11,64,103,12,13,"2,401","2,126",4527,
Education,CPSY,14,11,3,2,2,2,,,,,3,,1,,23,15,38,
,EDAD,134,85,25,12,38,20,,,1,,8,,3,2,209,119,328,
,EDCI,165,32,43,6,19,9,5,,1,,25,2,4,,262,49,311,
,EDHL,160,27,11,1,16,5,3,4,,,,,,,190,37,227,
,EDIS,733,36,9,2,76,9,5,2,1,1,3,,,,827,50,877,
,EDKI,408,316,16,11,33,35,7,9,1,4,,4,,2,465,381,846,
,EDTC,17,8,1,,2,1,,,,,5,,,,25,9,34,
,EHRD,57,35,12,6,16,10,,3,,,16,2,2,2,103,58,161,
,EPSY,99,14,5,2,29,2,2,,,1,18,7,,,153,26,179,
,HEED,16,7,4,2,1,,,,,,1,1,1,,23,10,33,
,HLTH,102,9,1,2,9,1,,,,,,,2,,114,12,126,
,INST,939,28,10,2,79,6,4,,7,,1,,3,,"1,043",36,1079,
,ISNC,149,91,6,3,19,18,1,8,,1,1,,,1,176,122,298,
,KINE,191,162,1,2,19,15,3,4,1,,3,15,,4,218,202,420,
,PHED,1,3,,,1,2,,,,,1,1,,,3,6,9,
,SPMT,10,17,1,1,,1,,,,,,,,,11,19,30,
,SPSY,21,1,6,,7,4,3,,,,1,,1,,39,5,44,
,TECR,13,3,,,1,,,1,,,,,,,14,4,18,
,Subtotal,"3,229",885,154,54,367,140,33,31,12,7,86,32,17,11,"3,898","1,160",5058,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,,,,,
