Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,378",17.5%,,,,,,,"3,378",17.5%,
Gender,Female,"1,471",13.2%,,,,,,,"1,471",13.2%,
,Male,"1,907",21.0%,,,,,,,"1,907",21.0%,
Ethnicity,White,"2,612",13.1%,,,,,,,"2,612",13.1%,
,Black,116,27.5%,,,,,,,116,27.5%,
,Hispanic,490,38.0%,,,,,,,490,38.0%,
,Asian,120,53.8%,,,,,,,120,53.8%,
,American Indian,19,72.7%,,,,,,,19,72.7%,
,International,14,-26.3%,,,,,,,14,-26.3%,
,Unknown/Other,7,-41.7%,,,,,,,7,-41.7%,
TAMU Age,<18,1,-66.7%,,,,,,,1,-66.7%,
Categories,18-21,"3,171",17.4%,,,,,,,"3,171",17.4%,
,22-25,189,21.9%,,,,,,,189,21.9%,
,26-30,12,0.0%,,,,,,,12,0.0%,
,31-39,5,25.0%,,,,,,,5,25.0%,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,14,-26.3%,,,,,,,14,-26.3%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,26,-23.5%,,,,,,,26,-23.5%,
,Readmitted,33,-45.0%,,,,,,,33,-45.0%,
,Continuing,"3,305",19.7%,,,,,,,"3,305",19.7%,
Tuition,Resident Tuition,"3,256",18.2%,,,,,,,"3,256",18.2%,
Status,Non-Resident Tuition,64,-11.1%,,,,,,,64,-11.1%,
,Tuition  Exemption/Waiver,58,18.4%,,,,,,,58,18.4%,
Residency,Texas Resident,"3,266",18.3%,,,,,,,"3,266",18.3%,
Status,"Non-TX, US Resident",96,3.2%,,,,,,,96,3.2%,
,"Non-TX, Non-US Resident",16,-27.3%,,,,,,,16,-27.3%,
SCH,< 6 SCH,441,8.9%,,,,,,,441,8.9%,
Categories,6-8 SCH,65,12.1%,,,,,,,65,12.1%,
,9-11 SCH,101,40.3%,,,,,,,101,40.3%,
,12-14 SCH,"2,056",18.1%,,,,,,,"2,056",18.1%,
,15-17 SCH,703,20.4%,,,,,,,703,20.4%,
,>17 SCH,12,-20.0%,,,,,,,12,-20.0%,
Ft/Pt:,Less Than Half Time,440,8.9%,,,,,,,440,8.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","65
101","14.0%
40.3%",,,,,,,"65
101","14.0%
40.3%",
,Full-Time,"2,772",18.4%,,,,,,,"2,772",18.4%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
