Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Spring 2005,,,,,,,
Official Certified 12th Class Day Data,,,,,,,
Spring 2005,,"G6: PB
Non-Degreed","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,286,"4,000","3,312",3,"7,601",
Gender,Female,142,"1,669","1,282",,"3,093",
,Male,144,"2,331","2,030",3,"4,508",
Ethnicity,White,197,"2,249","1,280",2,"3,728",
,Black,19,109,128,,256,
,Hispanic,21,277,190,,488,
,Asian,13,112,62,,187,
,American Indian,1,6,9,,16,
,International,30,"1,186","1,604",1,"2,821",
,Unknown/Other,5,61,39,,105,
TAMU Age,18-21,,4,,,4,
Categories,22-25,85,"1,855",181,1,"2,122",
,26-30,85,"1,353","1,185",1,"2,624",
,31-39,56,580,"1,318",,"1,954",
,40+,60,208,628,1,897,
College,Agriculture,23,576,548,1,"1,148",
,Architecture,6,345,108,,459,
,Business Admin,2,662,73,,737,
,Education,73,454,691,,"1,218",
,Engineering,27,"1,033",883,,"1,943",
,G. Bush School of Govt,83,97,,,180,
,Geosciences,6,158,119,,283,
,Liberal Arts,13,295,419,,727,
,Science,10,298,372,1,681,
,Veterinary Medicine,3,59,89,1,152,
,Other - Special Populations,40,23,10,,73,
Enrollment,1st Time PB,116,,,,116,
Status,1st Time Graduate,,305,79,,384,
,Readmitted,,8,13,,21,
,Continuing,170,"3,687","3,220",3,"7,080",
Tuition Status,Resident Tuition,244,"2,207","1,198",1,"3,650",
,Non-Resident Tuition,20,371,381,2,774,
,Tuition Exemption/Waiver,22,"1,422","1,733",,"3,177",
Residency,Texas Resident,246,"2,215","1,211",1,"3,673",
Status,"Non-TX, US Resident",10,588,480,1,"1,079",
,"Non-TX, Non-US Resident",30,"1,197","1,621",1,"2,849",
SCH,< 6 SCH,148,514,741,1,"1,404",
Categories,6-8 SCH,81,370,177,,628,
,9-11 SCH,41,"2,193","2,252",2,"4,488",
,12-14 SCH,14,713,126,,853,
,15-17 SCH,2,127,15,,144,
,>17 SCH,,83,1,,84,
Ft/Pt: TAMU,Less Than Half Time,140,395,601,1,"1,137",
Status,Half-Time,88,466,287,,841,
,Full-Time,58,"3,139","2,424",2,"5,623",
"Prepared by OISP, 28 Mar 05",,,,,,,
