Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,38,81.0%,31,-13.9%,26,30.0%,,,57,1.8%,
,ENGS,,,,,,,,,38,81.0%,
,ENST,38,26.7%,,,,,,,38,26.7%,
,ESCI,2,-33.3%,,,,,,,2,-33.3%,
,GEOG,125,-6.7%,27,42.1%,24,9.1%,,,176,0.6%,
,GEOL,85,7.6%,46,2.2%,27,8.0%,,,158,6.0%,
,GEOP,20,66.7%,18,5.9%,13,-13.3%,,,51,15.9%,
,GEOS,,,4,-20.0%,,,,,4,-20.0%,
,METR,128,13.3%,1,-50.0%,0,-100.0%,,,129,10.3%,
,OCNG,,,37,-7.5%,29,-9.4%,,,66,-8.3%,
,Subtotal,436,11.2%,164,0.0%,119,2.6%,,,719,7.0%,
Liberal Arts,AMST,29,-6.5%,,,,,,,29,-6.5%,
,ANTH,121,12.0%,67,-2.9%,37,-5.1%,,,225,4.2%,
,COML,,,4,33.3%,,,,,4,33.3%,
,ECON,531,-14.9%,48,14.3%,58,1.8%,,,637,-11.9%,
,ENGL,680,13.7%,36,-23.4%,73,15.9%,,,789,11.4%,
,FREN,14,16.7%,,,,,,,14,16.7%,
,GERM,10,11.1%,,,,,,,10,11.1%,
,HISP,,,3,100.0%,7,100.0%,,,10,100.0%,
,HIST,629,7.2%,27,8.0%,43,16.2%,,,699,7.7%,
,INTS,361,-2.7%,,,,,,,361,-2.7%,
,JOUR,109,-60.1%,,,,,,,109,-60.1%,
,MODL,,,9,-43.8%,,,,,9,-43.8%,
,MUSC,24,-11.1%,,,,,,,24,-11.1%,
,PHIL,110,-6.0%,23,0.0%,7,16.7%,,,140,-4.1%,
,POLS,917,-5.2%,11,-15.4%,57,21.3%,,,985,-4.1%,
,PSYC,"1,233",-8.1%,23,-17.9%,58,0.0%,,,"1,314",-7.9%,
,RUSS,5,0.0%,,,,,,,5,0.0%,
,SCOM,714,-2.7%,19,18.8%,35,40.0%,,,768,-0.9%,
,SOCI,315,14.1%,27,35.0%,44,10.0%,,,386,14.9%,
,SPAN,103,14.4%,,,,,,,103,14.4%,
,STJR,,,11,-35.3%,,,,,11,-35.3%,
,TCMS,75,177.8%,,,,,,,75,177.8%,
,THAR,70,-4.1%,,,,,,,70,-4.1%,
,Subtotal,"6,050",-3.5%,308,-3.4%,419,12.6%,,,"6,777",-2.6%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
