Spring 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"168
209
81
119
85
93
61
113
102
226
6
230
121
175
568
158
287
1
2
190
107
5
111
292
40
116
6
295
561
35
99
17
85
152
82
0
2
22
1","7.0%
4.0%
6.6%
0.0%
-27.4%
-3.1%
-17.6%
-16.9%
-4.7%
-7.8%
50.0%
-10.5%
-6.2%
-7.4%
3.6%
15.3%
-5.3%
100.0%
-50.0%
13.1%
-32.3%
0.0%
-1.8%
-6.7%
33.3%
5.5%
-33.3%
-0.7%
0.4%
-20.5%
4.2%
-29.2%
11.8%
0.0%
39.0%
-100.0%
-75.0%
37.5%
-50.0%","1
3
5
5
2
2
4
2
2
10
12
6
5
15
4
12
0
3
7
6
1
6
4
4
14
2
8
14
0
0
4
10
3
0
0
1","-83.3%
200.0%
150.0%
-28.6%
-33.3%
-50.0%
0.0%
-60.0%
100.0%
0.0%
0.0%
20.0%
0.0%
15.4%
-50.0%
-14.3%
-100.0%
50.0%
-46.2%
20.0%
0.0%
500.0%
100.0%
-20.0%
55.6%
-33.3%
100.0%
55.6%
-100.0%
-100.0%
100.0%
233.3%
0.0%
-100.0%
-100.0%
-50.0%","23
28
23
18
14
7
23
14
19
30
26
18
22
65
33
40
0
1
22
14
1
8
17
18
35
30
69
3
13
2
14
24
10
0
3
3
0","-4.2%
16.7%
76.9%
28.6%
16.7%
0.0%
43.8%
-6.7%
35.7%
-6.3%
0.0%
20.0%
29.4%
-11.0%
120.0%
5.3%
-100.0%
0.0%
-29.0%
-6.7%
0.0%
-11.1%
-32.0%
260.0%
29.6%
25.0%
25.5%
-25.0%
0.0%
100.0%
16.7%
20.0%
-9.1%
-100.0%
-25.0%
200.0%
-100.0%","3
11
13
22
6
6
8
15
7
19
0
20
10
6
15
13
45
0
22
5
1
8
1
17
13
17
2
10
0
7
9
5
0
1
0","-50.0%
22.2%
-23.5%
57.1%
-25.0%
-45.5%
-11.1%
-34.8%
75.0%
-20.8%
-100.0%
-33.3%
150.0%
0.0%
-25.0%
8.3%
-22.4%
-100.0%
69.2%
-66.7%
-50.0%
-27.3%
-66.7%
-15.0%
85.7%
-5.6%
-33.3%
42.9%
-100.0%
0.0%
12.5%
150.0%
-100.0%
0.0%
-100.0%","1
2
0
0
1
1
3
1
1
3
1
0
2
4
1
1
1
2
0","0.0%
0.0%
-100.0%
-100.0%
100.0%
0.0%
50.0%
100.0%
0.0%
200.0%
100.0%
-100.0%
100.0%
0.0%
100.0%
0.0%
100.0%
0.0%
-100.0%","0
70
4
38
2
31
3
44
3
113
21
178
1
0
180
16
296
7
0
4
2
2
5
3
5
129
4
8
235
3
28
35
117
6
0
0
2","-100.0%
6.1%
100.0%
-20.8%
-77.8%
47.6%
-66.7%
10.0%
-50.0%
4.6%
-32.3%
-13.2%
-85.7%
-100.0%
-12.2%
-33.3%
0.7%
40.0%
-100.0%
-20.0%
-71.4%
-60.0%
150.0%
0.0%
-44.4%
-24.1%
-50.0%
60.0%
-15.5%
200.0%
-17.6%
0.0%
3.5%
-25.0%
-100.0%
-100.0%
100.0%","2
0
3
0
0
2
3
4
1
7
1
0
3
2
4
2
1
8
1
3
1
3
0
1","-50.0%
-100.0%
0.0%
-100.0%
-100.0%
100.0%
-40.0%
-33.3%
0.0%
-36.4%
-50.0%
-100.0%
50.0%
-33.3%
33.3%
-33.3%
-50.0%
0.0%
-50.0%
-25.0%
0.0%
-25.0%
-100.0%
100.0%","195
323
127
207
109
139
99
190
133
402
27
470
157
209
853
226
680
8
6
249
139
9
132
328
68
313
12
357
908
45
154
19
147
317
106
0
6
29
1","0.5%
5.9%
13.4%
0.0%
-27.3%
-1.4%
-13.9%
-14.0%
0.8%
-5.2%
-25.0%
-12.3%
-2.5%
-4.6%
-2.2%
14.1%
-4.1%
0.0%
-40.0%
6.9%
-31.9%
-25.0%
3.9%
-8.4%
30.8%
-7.7%
-40.0%
5.0%
-2.5%
-18.2%
-0.6%
-26.9%
10.5%
5.0%
27.7%
-100.0%
-62.5%
38.1%
-66.7%",
,Subtotal,"5,023",-4.8%,177,-1.1%,690,1.3%,337,-12.2%,25,8.7%,"1,595",-10.1%,52,-30.7%,"7,899",-5.9%,
G. Bush,BUSH,40,-24.5%,3,50.0%,7,133.3%,1,0.0%,1,100.0%,6,50.0%,1,100.0%,58,-7.9%,
School of,INTA,101,50.7%,4,0.0%,8,-11.1%,3,50.0%,,,5,25.0%,0,-100.0%,122,38.6%,
Govt,Subtotal,141,17.5%,7,16.7%,15,25.0%,4,33.3%,1,100.0%,11,37.5%,1,-50.0%,180,19.2%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
