Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,656,-21.8%,6,-25.0%,1,0.0%,,,662,-21.8%,
,AGBL,112,1.8%,,,,,,,112,1.8%,
,AGBU,91,-13.3%,35,6.1%,,,,,127,-8.6%,
,AGEC,286,-5.6%,29,-14.7%,47,-4.1%,,,362,-6.2%,
,AGED,,,47,-16.1%,44,-25.4%,,,91,-20.9%,
,AGEN,112,20.4%,1,-66.7%,,,,,113,17.7%,
,AGJR,86,-15.7%,,,,,,,86,-15.7%,
,AGLS,322,11.8%,,,,,,,322,11.8%,
,AGRO,116,-4.1%,17,-15.0%,16,-23.8%,,,149,-8.0%,
,AGSC,154,-23.8%,,,,,,,154,-23.8%,
,AGSM,189,9.9%,1,100.0%,,,,,190,10.5%,
,ANBR,,,5,66.7%,1,0.0%,,,6,50.0%,
,ANSC,713,2.3%,59,7.3%,20,53.8%,,,792,3.5%,
,BAEN,,,22,-26.7%,18,12.5%,,,40,-13.0%,
,BESC,166,0.0%,,,,,,,166,0.0%,
,BICH,163,9.4%,35,6.1%,71,0.0%,,,269,6.3%,
,BSEN,22,-8.3%,,,,,,,22,-8.3%,
,DASC,7,-22.2%,,,,,,,7,-22.2%,
,ENTO,77,22.2%,27,-18.2%,28,33.3%,,,132,12.8%,
,FLOR,12,50.0%,3,200.0%,,,,,15,66.7%,
,FORS,40,-2.4%,11,22.2%,6,20.0%,,,57,3.6%,
,FSTC,41,-4.7%,22,-26.7%,21,5.0%,,,84,-9.7%,
,GENE,148,-9.8%,16,-23.8%,31,47.6%,,,195,-5.3%,
,HORT,134,9.8%,16,-11.1%,17,-10.5%,,,167,5.0%,
,MEPS,,,9,-10.0%,20,17.6%,,,29,7.4%,
,NRDV,,,8,-11.1%,,,,,8,-11.1%,
,NUSC,367,11.9%,,,,,,,367,11.9%,
,NUTR,,,20,-16.7%,16,6.7%,,,36,-7.7%,
,PLBR,,,14,16.7%,14,7.7%,,,28,12.0%,
,PLPA,,,2,-50.0%,16,-33.3%,,,18,-35.7%,
,PLSC,,,3,0.0%,,,,,3,0.0%,
,POSC,183,-11.6%,19,18.8%,15,15.4%,,,217,-8.1%,
,PPHY,,,,,0,-100.0%,,,0,-100.0%,
,PPRO,,,1,100.0%,,,,,1,100.0%,
,PREP,,,18,0.0%,11,0.0%,,,29,0.0%,
,PSSC,3,-40.0%,,,,,,,3,-40.0%,
,RENR,38,-2.6%,,,,,,,38,-2.6%,
,RLEM,138,-8.6%,29,-12.1%,24,-7.7%,,,191,-9.0%,
,RPTS,267,1.5%,18,28.6%,37,15.6%,,,322,4.2%,
,RRDV,,,,,0,-100.0%,,,0,-100.0%,
,SOSC,,,13,-27.8%,8,-11.1%,,,21,-22.2%,
,SPSA,5,100.0%,,,,,,,5,100.0%,
,TOXI,,,1,0.0%,2,0.0%,,,3,0.0%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
