Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,768",2.8%,63,0.0%,89,15.6%,510,1.8%,"2,430",2.9%,
Gender,Female,"1,186",4.5%,44,-2.2%,48,20.0%,373,3.0%,"1,651",4.4%,
,Male,582,-0.5%,19,5.6%,41,10.8%,137,-1.4%,779,0.0%,
Ethnicity,White,"1,351",0.1%,37,-15.9%,43,10.3%,458,2.7%,"1,889",0.6%,
,Black,37,23.3%,,,1,0.0%,4,300.0%,42,31.3%,
,Hispanic,229,10.1%,4,100.0%,2,100.0%,29,-14.7%,264,8.2%,
,Asian,121,22.2%,4,300.0%,4,100.0%,13,30.0%,142,26.8%,
,American Indian,11,-8.3%,,,,,1,-50.0%,12,-14.3%,
,International,10,25.0%,18,12.5%,36,9.1%,,,64,12.3%,
,Unknown/Other,9,-35.7%,,,3,50.0%,5,-37.5%,17,-29.2%,
TAMU Age,<18,1,0.0%,,,,,,,1,0.0%,
Categories,18-21,"1,283",7.3%,,,,,2,-60.0%,"1,285",7.0%,
,22-25,467,-7.2%,29,3.6%,12,100.0%,246,2.1%,754,-3.1%,
,26-30,12,-14.3%,21,10.5%,38,22.6%,190,5.0%,261,6.5%,
,31-39,4,0.0%,8,-33.3%,28,-15.2%,61,-3.2%,101,-9.8%,
,40+,1,-50.0%,5,25.0%,11,57.1%,11,0.0%,28,16.7%,
Enrollment,1st Time in College,6,0.0%,,,,,,,6,0.0%,
Status,1st Time PB,0,-100.0%,1,100.0%,,,,,1,0.0%,
,1st Time Graduate,,,7,133.3%,1,0.0%,,,8,100.0%,
,1st Time Professional,,,,,,,0,-100.0%,0,-100.0%,
,1st Time Transfer,16,-15.8%,,,,,,,16,-15.8%,
,Readmitted,9,350.0%,,,1,100.0%,,,10,400.0%,
,Continuing,"1,737",2.7%,55,-8.3%,87,14.5%,510,2.0%,"2,389",2.6%,
Tuition,Resident Tuition,"1,722",4.0%,36,-2.7%,34,9.7%,476,0.4%,"2,268",3.2%,
Status,Non-Resident Tuition,25,-21.9%,4,-20.0%,8,14.3%,5,-16.7%,42,-16.0%,
,Tuition  Exemption/Waiver,21,-34.4%,23,9.5%,47,20.5%,29,38.1%,120,6.2%,
Residency,Texas Resident,"1,720",3.8%,37,-5.1%,36,12.5%,476,0.4%,"2,269",3.0%,
Status,"Non-TX, US Resident",37,-32.7%,8,0.0%,17,41.7%,34,25.9%,96,-5.9%,
,"Non-TX, Non-US Resident",11,37.5%,18,12.5%,36,9.1%,,,65,14.0%,
SCH,< 6 SCH,6,-66.7%,13,-13.3%,11,-8.3%,,,30,-33.3%,
Categories,6-8 SCH,42,23.5%,5,-16.7%,3,-25.0%,,,50,13.6%,
,9-11 SCH,69,-9.2%,44,10.0%,74,27.6%,,,187,7.5%,
,12-14 SCH,"1,156",4.8%,1,-50.0%,1,-66.7%,1,100.0%,"1,159",4.6%,
,15-17 SCH,464,-0.2%,,,,,,,464,-0.2%,
,>17 SCH,31,29.2%,,,,,509,1.6%,540,2.9%,
Ft/Pt:,Less Than Half Time,5,-70.6%,6,-14.3%,9,0.0%,,,20,-39.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","41
69","20.6%
-9.2%",12,-14.3%,5,-28.6%,,,"58
69","5.5%
-9.2%",
,Full-Time,"1,653",3.8%,45,7.1%,75,23.0%,510,1.8%,"2,283",3.9%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
