Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,436,11.2%,164,0.0%,119,2.6%,,,719,7.0%,
Gender,Female,153,7.0%,68,0.0%,42,7.7%,,,263,5.2%,
,Male,283,13.7%,96,0.0%,77,0.0%,,,456,8.1%,
Ethnicity,White,373,5.1%,116,5.5%,38,-17.4%,,,527,3.1%,
,Black,2,-50.0%,2,0.0%,,,,,4,-33.3%,
,Hispanic,44,69.2%,8,33.3%,3,50.0%,,,55,61.8%,
,Asian,9,200.0%,0,-100.0%,3,50.0%,,,12,71.4%,
,American Indian,1,100.0%,1,100.0%,1,0.0%,,,3,200.0%,
,International,4,100.0%,34,-12.8%,73,14.1%,,,111,5.7%,
,Unknown/Other,3,50.0%,3,-40.0%,1,0.0%,,,7,-12.5%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,204,32.5%,,,,,,,204,32.5%,
,22-25,195,-3.0%,67,8.1%,4,300.0%,,,266,0.8%,
,26-30,22,-4.3%,57,-12.3%,40,25.0%,,,119,-0.8%,
,31-39,11,22.2%,30,-3.2%,56,-8.2%,,,97,-4.0%,
,40+,4,-20.0%,10,66.7%,19,-13.6%,,,33,0.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,2,100.0%,3,50.0%,,,,,5,66.7%,
,1st Time Graduate,,,12,9.1%,3,-25.0%,,,15,0.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,20,100.0%,,,,,,,20,100.0%,
,Readmitted,3,50.0%,1,100.0%,,,,,4,100.0%,
,Continuing,411,8.4%,148,-2.0%,116,3.6%,,,675,5.1%,
Tuition,Resident Tuition,416,11.5%,70,20.7%,18,-14.3%,,,504,11.5%,
Status,Non-Resident Tuition,9,12.5%,13,116.7%,16,-15.8%,,,38,15.2%,
,Tuition  Exemption/Waiver,11,0.0%,81,-19.0%,85,11.8%,,,177,-5.3%,
Residency,Texas Resident,415,10.4%,68,19.3%,18,-10.0%,,,501,10.6%,
Status,"Non-TX, US Resident",16,6.7%,62,-8.8%,26,-18.8%,,,104,-9.6%,
,"Non-TX, Non-US Resident",5,400.0%,34,-12.8%,75,17.2%,,,114,9.6%,
SCH,< 6 SCH,5,-16.7%,31,47.6%,15,-34.8%,,,51,2.0%,
Categories,6-8 SCH,19,26.7%,8,100.0%,1,-50.0%,,,28,33.3%,
,9-11 SCH,29,38.1%,122,-6.2%,102,14.6%,,,253,5.4%,
,12-14 SCH,227,7.1%,3,0.0%,1,-50.0%,,,231,6.5%,
,15-17 SCH,146,14.1%,0,-100.0%,,,,,146,10.6%,
,>17 SCH,10,0.0%,0,-100.0%,,,,,10,-16.7%,
Ft/Pt:,Less Than Half Time,5,0.0%,22,22.2%,13,-38.1%,,,40,-9.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","18
29","20.0%
38.1%",13,85.7%,2,-50.0%,,,"33
29","26.9%
38.1%",
,Full-Time,384,9.4%,129,-7.2%,104,14.3%,,,617,6.2%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
