Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,180,19.2%,,,,,180,19.2%,
Gender,Female,,,72,10.8%,,,,,72,10.8%,
,Male,,,108,25.6%,,,,,108,25.6%,
Ethnicity,White,,,141,17.5%,,,,,141,17.5%,
,Black,,,7,16.7%,,,,,7,16.7%,
,Hispanic,,,15,25.0%,,,,,15,25.0%,
,Asian,,,4,33.3%,,,,,4,33.3%,
,American Indian,,,1,100.0%,,,,,1,100.0%,
,International,,,11,37.5%,,,,,11,37.5%,
,Unknown/Other,,,1,-50.0%,,,,,1,-50.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,71,12.7%,,,,,71,12.7%,
,26-30,,,62,59.0%,,,,,62,59.0%,
,31-39,,,29,-6.5%,,,,,29,-6.5%,
,40+,,,18,0.0%,,,,,18,0.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,29,38.1%,,,,,29,38.1%,
,1st Time Graduate,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,151,18.9%,,,,,151,18.9%,
Tuition,Resident Tuition,,,141,35.6%,,,,,141,35.6%,
Status,Non-Resident Tuition,,,3,-76.9%,,,,,3,-76.9%,
,Tuition  Exemption/Waiver,,,36,5.9%,,,,,36,5.9%,
Residency,Texas Resident,,,144,38.5%,,,,,144,38.5%,
Status,"Non-TX, US Resident",,,23,-39.5%,,,,,23,-39.5%,
,"Non-TX, Non-US Resident",,,13,44.4%,,,,,13,44.4%,
SCH,< 6 SCH,,,51,2.0%,,,,,51,2.0%,
Categories,6-8 SCH,,,21,90.9%,,,,,21,90.9%,
,9-11 SCH,,,26,116.7%,,,,,26,116.7%,
,12-14 SCH,,,77,4.1%,,,,,77,4.1%,
,15-17 SCH,,,5,25.0%,,,,,5,25.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,51,6.3%,,,,,51,6.3%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,21,61.5%,,,,,21,61.5%,
,Full-Time,,,108,20.0%,,,,,108,20.0%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
