Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,840",7.1%,527,-7.5%,691,2.2%,,,"5,058",4.7%,
Gender,Female,"3,027",6.0%,395,-7.1%,476,4.6%,,,"3,898",4.3%,
,Male,813,11.5%,132,-9.0%,215,-2.7%,,,"1,160",5.9%,
Ethnicity,White,"3,339",5.9%,380,-7.8%,395,-6.2%,,,"4,114",3.2%,
,Black,78,18.2%,35,0.0%,95,20.3%,,,208,15.6%,
,Hispanic,336,21.7%,66,-14.3%,105,25.0%,,,507,16.0%,
,Asian,50,25.0%,6,-14.3%,8,14.3%,,,64,18.5%,
,American Indian,16,-30.4%,1,-50.0%,2,100.0%,,,19,-26.9%,
,International,10,11.1%,32,6.7%,76,1.3%,,,118,3.5%,
,Unknown/Other,11,-38.9%,7,0.0%,10,11.1%,,,28,-17.6%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,763",2.5%,,,,,,,"1,763",2.5%,
,22-25,"1,932",12.0%,179,-8.7%,25,56.3%,,,"2,136",10.3%,
,26-30,90,3.4%,164,5.8%,98,-3.9%,,,352,2.3%,
,31-39,41,41.4%,103,-9.6%,252,8.2%,,,396,5.3%,
,40+,14,-41.7%,81,-22.9%,316,-2.8%,,,411,-9.5%,
Enrollment,1st Time in College,7,-22.2%,,,,,,,7,-22.2%,
Status,1st Time PB,2,100.0%,29,-55.4%,,,,,31,-53.0%,
,1st Time Graduate,,,58,-20.5%,19,-26.9%,,,77,-22.2%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,168,23.5%,,,,,,,168,23.5%,
,Readmitted,34,47.8%,3,200.0%,6,50.0%,,,43,53.6%,
,Continuing,"3,629",6.2%,437,1.4%,666,3.1%,,,"4,732",5.3%,
Tuition,Resident Tuition,"3,763",7.4%,450,-7.6%,570,3.1%,,,"4,783",5.3%,
Status,Non-Resident Tuition,43,-14.0%,26,-35.0%,28,-28.2%,,,97,-24.8%,
,Tuition  Exemption/Waiver,34,9.7%,51,18.6%,93,10.7%,,,178,12.7%,
Residency,Texas Resident,"3,763",7.4%,450,-8.2%,574,3.6%,,,"4,787",5.2%,
Status,"Non-TX, US Resident",66,-7.0%,45,-10.0%,41,-12.8%,,,152,-9.5%,
,"Non-TX, Non-US Resident",11,22.2%,32,6.7%,76,1.3%,,,119,4.4%,
SCH,< 6 SCH,42,7.7%,103,-25.9%,304,-0.7%,,,449,-7.2%,
Categories,6-8 SCH,351,14.0%,202,3.6%,116,-10.1%,,,669,5.9%,
,9-11 SCH,282,0.4%,154,2.7%,187,-9.2%,,,623,-2.2%,
,12-14 SCH,"1,935",11.2%,62,-18.4%,76,145.2%,,,"2,073",12.2%,
,15-17 SCH,"1,121",-0.6%,6,-33.3%,8,166.7%,,,"1,135",-0.4%,
,>17 SCH,109,22.5%,0,-100.0%,0,-100.0%,,,109,19.8%,
Ft/Pt:,Less Than Half Time,37,0.0%,84,-22.2%,250,-0.8%,,,371,-6.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","132
246","17.9%
-0.4%",221,-1.3%,168,-8.2%,,,"521
246","0.4%
-0.4%",
,Full-Time,"3,425",7.4%,222,-6.7%,273,13.3%,,,"3,920",6.9%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
