Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,790",-6.3%,664,3.4%,73,1.4%,,,"4,527",-4.8%,
Gender,Female,"2,095",-6.6%,275,21.1%,31,-3.1%,,,"2,401",-4.1%,
,Male,"1,695",-5.8%,389,-6.3%,42,5.0%,,,"2,126",-5.7%,
Ethnicity,White,"3,321",-5.6%,463,-3.7%,30,-3.2%,,,"3,814",-5.4%,
,Black,64,-8.6%,23,109.1%,2,100.0%,,,89,8.5%,
,Hispanic,236,-1.3%,34,41.7%,3,50.0%,,,273,3.0%,
,Asian,113,-19.9%,29,70.6%,1,100.0%,,,143,-9.5%,
,American Indian,15,-28.6%,1,0.0%,,,,,16,-27.3%,
,International,27,-3.6%,105,4.0%,35,-2.8%,,,167,1.2%,
,Unknown/Other,14,-46.2%,9,28.6%,2,0.0%,,,25,-28.6%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,250",-7.7%,2,100.0%,,,,,"2,252",-7.7%,
,22-25,"1,496",-4.0%,394,3.7%,2,-50.0%,,,"1,892",-2.6%,
,26-30,24,9.1%,130,6.6%,29,16.0%,,,183,8.3%,
,31-39,10,-33.3%,94,9.3%,30,7.1%,,,134,3.9%,
,40+,10,11.1%,44,-18.5%,12,-20.0%,,,66,-15.4%,
Enrollment,1st Time in College,11,10.0%,,,,,,,11,10.0%,
Status,1st Time PB,,,1,-50.0%,,,,,1,-50.0%,
,1st Time Graduate,,,59,96.7%,1,100.0%,,,60,100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,1,-50.0%,,,,,,,1,-50.0%,
,Readmitted,19,72.7%,,,,,,,19,72.7%,
,Continuing,"3,759",-6.5%,604,-1.0%,72,0.0%,,,"4,435",-5.7%,
Tuition,Resident Tuition,"3,692",-6.0%,523,4.6%,17,-15.0%,,,"4,232",-4.8%,
Status,Non-Resident Tuition,46,-28.1%,24,4.3%,5,-37.5%,,,75,-21.1%,
,Tuition  Exemption/Waiver,52,0.0%,117,-1.7%,51,15.9%,,,220,2.3%,
Residency,Texas Resident,"3,692",-6.0%,522,4.8%,21,-4.5%,,,"4,235",-4.8%,
Status,"Non-TX, US Resident",69,-18.8%,37,-9.8%,16,14.3%,,,122,-12.9%,
,"Non-TX, Non-US Resident",29,0.0%,105,1.9%,36,0.0%,,,170,1.2%,
SCH,< 6 SCH,30,-21.1%,12,-25.0%,8,-38.5%,,,50,-25.4%,
Categories,6-8 SCH,107,5.9%,36,63.6%,,,,,143,16.3%,
,9-11 SCH,250,0.8%,157,-19.5%,64,10.3%,,,471,-6.0%,
,12-14 SCH,"2,292",-4.3%,308,19.8%,1,0.0%,,,"2,601",-1.9%,
,15-17 SCH,"1,064",-12.8%,68,-6.8%,,,,,"1,132",-12.5%,
,>17 SCH,47,11.9%,83,5.1%,,,,,130,7.4%,
Ft/Pt:,Less Than Half Time,23,-28.1%,10,-33.3%,7,-36.4%,,,40,-31.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","107
231","5.9%
-4.9%",36,56.5%,1,-50.0%,,,"144
231","14.3%
-4.9%",
,Full-Time,"3,429",-6.5%,618,2.3%,65,10.2%,,,"4,112",-5.0%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
