Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,221",0.3%,351,-6.4%,108,5.9%,,,"1,680",-0.8%,
Gender,Female,355,0.3%,133,-12.5%,35,16.7%,,,523,-2.4%,
,Male,866,0.3%,218,-2.2%,73,1.4%,,,"1,157",-0.1%,
Ethnicity,White,"1,036",0.3%,168,3.7%,27,3.8%,,,"1,231",0.8%,
,Black,14,-6.7%,4,-20.0%,1,0.0%,,,19,-9.5%,
,Hispanic,118,2.6%,20,5.3%,3,0.0%,,,141,2.9%,
,Asian,28,-3.4%,15,25.0%,1,-50.0%,,,44,2.3%,
,American Indian,9,28.6%,,,,,,,9,28.6%,
,International,10,11.1%,138,-18.8%,74,8.8%,,,222,-10.1%,
,Unknown/Other,6,-33.3%,6,-14.3%,2,0.0%,,,14,-22.2%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,534,4.3%,,,,,,,534,4.3%,
,22-25,627,-4.7%,111,-16.5%,1,100.0%,,,739,-6.6%,
,26-30,44,41.9%,167,-6.2%,26,13.0%,,,237,2.2%,
,31-39,10,-9.1%,64,8.5%,55,1.9%,,,129,4.0%,
,40+,6,20.0%,9,80.0%,26,4.0%,,,41,17.1%,
Enrollment,1st Time in College,3,-40.0%,,,,,,,3,-40.0%,
Status,1st Time PB,,,4,100.0%,,,,,4,100.0%,
,1st Time Graduate,,,9,-47.1%,1,-83.3%,,,10,-56.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,39,8.3%,,,,,,,39,8.3%,
,Readmitted,7,40.0%,,,1,100.0%,,,8,60.0%,
,Continuing,"1,172",0.1%,338,-5.1%,106,10.4%,,,"1,616",-0.4%,
Tuition,Resident Tuition,"1,172",0.3%,184,7.6%,29,0.0%,,,"1,385",1.2%,
Status,Non-Resident Tuition,27,-3.6%,25,-10.7%,18,-18.2%,,,70,-10.3%,
,Tuition  Exemption/Waiver,22,4.8%,142,-19.3%,61,19.6%,,,225,-9.3%,
Residency,Texas Resident,"1,172",0.3%,184,8.2%,29,3.6%,,,"1,385",1.3%,
Status,"Non-TX, US Resident",38,-2.6%,29,-9.4%,5,0.0%,,,72,-5.3%,
,"Non-TX, Non-US Resident",11,22.2%,138,-20.2%,74,7.2%,,,223,-11.2%,
SCH,< 6 SCH,16,6.7%,49,44.1%,26,-3.7%,,,91,19.7%,
Categories,6-8 SCH,102,10.9%,16,33.3%,4,-42.9%,,,122,9.9%,
,9-11 SCH,92,27.8%,132,-17.5%,76,15.2%,,,300,0.7%,
,12-14 SCH,674,-3.6%,117,1.7%,1,-50.0%,,,792,-2.9%,
,15-17 SCH,301,-0.3%,37,-28.8%,1,100.0%,,,339,-4.2%,
,>17 SCH,36,-2.7%,0,-100.0%,,,,,36,-7.7%,
Ft/Pt:,Less Than Half Time,16,6.7%,41,51.9%,24,9.1%,,,81,26.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","34
89","-61.4%
27.1%",24,26.3%,6,-45.5%,,,"64
89","-45.8%
27.1%",
,Full-Time,"1,082",3.6%,286,-13.1%,78,13.0%,,,"1,446",0.3%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
