Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,956",-5.7%,"1,060",-12.0%,883,1.3%,,,"7,899",-5.9%,
Gender,Female,"1,112",-10.0%,188,-12.6%,134,0.0%,,,"1,434",-9.5%,
,Male,"4,844",-4.6%,872,-11.9%,749,1.5%,,,"6,465",-5.0%,
Ethnicity,White,"4,548",-5.6%,359,3.5%,116,7.4%,,,"5,023",-4.8%,
,Black,138,-11.0%,28,115.4%,11,0.0%,,,177,-1.1%,
,Hispanic,627,0.3%,47,2.2%,16,60.0%,,,690,1.3%,
,Asian,281,-14.3%,38,-5.0%,18,12.5%,,,337,-12.2%,
,American Indian,23,9.5%,1,0.0%,1,0.0%,,,25,8.7%,
,International,301,-0.7%,576,-22.8%,718,-1.0%,,,"1,595",-10.1%,
,Unknown/Other,38,-38.7%,11,-8.3%,3,200.0%,,,52,-30.7%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,"3,092",-2.5%,,,,,,,"3,092",-2.5%,
,22-25,"2,616",-9.4%,544,-16.2%,57,-1.7%,,,"3,217",-10.5%,
,26-30,195,4.3%,380,-3.8%,405,4.7%,,,980,1.1%,
,31-39,42,-23.6%,110,-8.3%,366,-3.4%,,,518,-6.5%,
,40+,11,-21.4%,26,-36.6%,55,14.6%,,,92,-10.7%,
Enrollment,1st Time in College,18,-14.3%,,,,,,,18,-14.3%,
Status,1st Time PB,3,0.0%,12,-14.3%,,,,,15,-11.8%,
,1st Time Graduate,,,77,-34.7%,32,-17.9%,,,109,-30.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,105,10.5%,,,,,,,105,10.5%,
,Readmitted,41,41.4%,3,200.0%,2,100.0%,,,46,53.3%,
,Continuing,"5,789",-6.1%,968,-9.7%,849,1.9%,,,"7,606",-5.7%,
Tuition,Resident Tuition,"5,373",-6.0%,373,3.6%,104,7.2%,,,"5,850",-5.2%,
Status,Non-Resident Tuition,321,-11.1%,171,-35.7%,140,-5.4%,,,632,-18.5%,
,Tuition  Exemption/Waiver,262,10.5%,516,-10.9%,639,1.9%,,,"1,417",-1.8%,
Residency,Texas Resident,"5,370",-6.0%,376,4.4%,100,7.5%,,,"5,846",-5.2%,
Status,"Non-TX, US Resident",275,-6.1%,103,9.6%,59,18.0%,,,437,0.0%,
,"Non-TX, Non-US Resident",311,0.6%,581,-22.6%,724,-0.7%,,,"1,616",-9.7%,
SCH,< 6 SCH,156,9.1%,139,-7.3%,110,13.4%,,,405,3.8%,
Categories,6-8 SCH,148,-20.4%,68,3.0%,12,-36.8%,,,228,-15.9%,
,9-11 SCH,338,-3.2%,759,-15.3%,731,0.0%,,,"1,828",-7.5%,
,12-14 SCH,"3,464",-7.2%,89,0.0%,27,28.6%,,,"3,580",-6.8%,
,15-17 SCH,"1,736",-2.7%,5,25.0%,3,-25.0%,,,"1,744",-2.7%,
,>17 SCH,114,-3.4%,,,,,,,114,-3.4%,
Ft/Pt:,Less Than Half Time,68,30.8%,110,-14.7%,85,1.2%,,,263,-0.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","145
337","-20.8%
-2.3%",89,8.5%,19,-24.0%,,,"253
337","-12.8%
-2.3%",
,Full-Time,"5,406",-5.7%,861,-13.4%,779,2.1%,,,"7,046",-5.9%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
