Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,050",-3.5%,308,-3.4%,419,12.6%,,,"6,777",-2.6%,
Gender,Female,"3,623",-2.5%,148,-9.8%,188,17.5%,,,"3,959",-2.0%,
,Male,"2,427",-5.0%,160,3.2%,231,9.0%,,,"2,818",-3.6%,
Ethnicity,White,"4,978",-3.8%,182,-10.8%,249,12.2%,,,"5,409",-3.4%,
,Black,160,1.3%,12,71.4%,7,16.7%,,,179,4.7%,
,Hispanic,671,-1.5%,36,28.6%,29,26.1%,,,736,0.5%,
,Asian,134,8.1%,7,75.0%,6,-25.0%,,,147,8.1%,
,American Indian,33,13.8%,0,-100.0%,3,0.0%,,,36,9.1%,
,International,39,-2.5%,64,1.6%,112,10.9%,,,215,5.4%,
,Unknown/Other,35,-47.0%,7,-41.7%,13,44.4%,,,55,-36.8%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,861",-1.2%,0,-100.0%,,,,,"2,861",-1.2%,
,22-25,"2,970",-6.0%,125,0.8%,25,78.6%,,,"3,120",-5.4%,
,26-30,144,2.1%,107,-4.5%,148,5.0%,,,399,1.3%,
,31-39,44,2.3%,56,0.0%,172,8.9%,,,272,5.8%,
,40+,31,6.9%,20,-23.1%,74,25.4%,,,125,9.6%,
Enrollment,1st Time in College,15,36.4%,,,,,,,15,36.4%,
Status,1st Time PB,1,100.0%,4,-50.0%,,,,,5,-37.5%,
,1st Time Graduate,,,6,-57.1%,3,50.0%,,,9,-43.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,182,6.4%,,,,,,,182,6.4%,
,Readmitted,67,21.8%,1,100.0%,3,100.0%,,,71,29.1%,
,Continuing,"5,785",-4.1%,297,0.0%,413,11.6%,,,"6,495",-3.1%,
Tuition,Resident Tuition,"5,780",-3.6%,142,-12.9%,172,11.7%,,,"6,094",-3.4%,
Status,Non-Resident Tuition,136,-13.4%,55,12.2%,56,9.8%,,,247,-3.9%,
,Tuition  Exemption/Waiver,134,11.7%,111,3.7%,191,14.4%,,,436,10.7%,
Residency,Texas Resident,"5,802",-3.4%,145,-13.7%,173,11.6%,,,"6,120",-3.3%,
Status,"Non-TX, US Resident",206,-6.8%,97,10.2%,132,15.8%,,,435,2.8%,
,"Non-TX, Non-US Resident",42,0.0%,66,4.8%,114,10.7%,,,222,6.7%,
SCH,< 6 SCH,85,9.0%,59,-1.7%,121,15.2%,,,265,9.1%,
Categories,6-8 SCH,230,-5.0%,28,64.7%,10,42.9%,,,268,0.8%,
,9-11 SCH,448,-3.2%,210,-6.3%,280,12.0%,,,938,0.1%,
,12-14 SCH,"3,078",-3.5%,9,-43.8%,6,-33.3%,,,"3,093",-3.8%,
,15-17 SCH,"2,022",-5.2%,2,0.0%,2,100.0%,,,"2,026",-5.2%,
,>17 SCH,187,15.4%,,,,,,,187,15.4%,
Ft/Pt:,Less Than Half Time,70,2.9%,44,2.3%,86,13.2%,,,200,7.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","222
438","-6.7%
-3.3%",43,26.5%,44,25.7%,,,"309
438","0.7%
-3.3%",
,Full-Time,"5,320",-3.5%,221,-8.7%,289,10.7%,,,"5,830",-3.1%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
