Top 10,,,,,,,,,
Feeder Patterns First Time In College,,,,,,,,,
State,Students  % Total,,,,,,,,
Texas,79,,,86.8%,,,,,
New York,1,,,1.1%,,,,,
Illinois,1,,,1.1%,,,,,
Country,,Students  % Total,,,,,,,
United States,,81,,,,89.0%,,,
Panama,,2,,,,2.2%,,,
Nigeria,,2,,,,2.2%,,,
Venezuela,,1,,,,1.1%,,,
Mexico,,1,,,,1.1%,,,
India,,1,,,,1.1%,,,
Guatemala,,1,,,,1.1%,,,
Costa Rica,,1,,,,1.1%,,,
Canada,,1,,,,1.1%,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,,15,,16.5%,,,,
Brazos,,,6,,6.6%,,,,
Fort Bend,,,5,,5.5%,,,,
Montgomery,,,5,,5.5%,,,,
Tarrant,,,5,,5.5%,,,,
Williamson,,,4,,4.4%,,,,
Dallas,,,3,,3.3%,,,,
Parker,,,3,,3.3%,,,,
Travis,,,3,,3.3%,,,,
Victoria,,,3,,3.3%,,,,
