Top 10,,,,,,,,
Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,263,,,68.5%,,
India,,,28,,,7.3%,,
"China, People's Rep of",,,24,,,6.3%,,
"Korea, Republic of",,,9,,,2.3%,,
Mexico,,,7,,,1.8%,,
Colombia,,,5,,,1.3%,,
Nigeria,,,4,,,1.0%,,
Taiwan,,,4,,,1.0%,,
Brazil,,,3,,,0.8%,,
France,,,3,,,0.8%,,
State,Students  % Total,,,,,,,
Texas,235,,,61.2%,,,,
California,4,,,1.0%,,,,
Florida,3,,,0.8%,,,,
Louisiana,3,,,0.8%,,,,
Arizona,3,,,0.8%,,,,
Colorado,2,,,0.5%,,,,
Pennsylvania,2,,,0.5%,,,,
Nebraska,1,,,0.3%,,,,
Missouri,1,,,0.3%,,,,
Illinois,1,,,0.3%,,,,
Texas County   Students  % Total,,,,,,,,
Brazos,,44,,,11.5%,,,
Harris,,40,,,10.4%,,,
Bexar,,14,,,3.6%,,,
Dallas,,10,,,2.6%,,,
Fort Bend,,9,,,2.3%,,,
Tarrant,,9,,,2.3%,,,
Travis,,9,,,2.3%,,,
Montgomery,,7,,,1.8%,,,
Bell,,6,,,1.6%,,,
Collin,,5,,,1.3%,,,
