Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Honduras,12,,1,,13,
Hong Kong,12,3,9,,24,
Iceland,,1,1,,2,
India,85,416,205,,706,
Indonesia,47,18,8,,73,
Iran,5,8,17,,30,
Iraq,,1,1,,2,
Ireland,,,1,,1,
Israel,1,1,2,,4,
Italy,2,1,3,,6,
Jamaica,,3,5,,8,
Japan,6,19,12,,37,
Jordan,2,5,10,,17,
Kazakhstan,5,4,1,,10,
Kenya,2,2,3,,7,
"Korea, Republic of",31,158,377,,566,
Kuwait,,1,2,,3,
Lebanon,4,3,9,,16,
Liberia,1,,,,1,
Lithuania,1,,,,1,
Macao,1,,,,1,
Macedonia,,3,,,3,
Madagascar,,,1,,1,
Malawi (Central Africa),,,2,,2,
Malaysia,12,1,2,,15,
Mali,,1,3,,4,
Mauritius,,,1,,1,
Mexico,28,34,53,,115,
Moldova,,,1,,1,
Mongolia,1,,,,1,
Morocco,,,2,,2,
Mozambique,,1,,,1,
Nepal,,2,2,,4,
Netherlands,,1,1,,2,
Nicaragua,6,,,,6,
Niger,,,1,,1,
Nigeria,18,21,7,,46,
Norway,1,1,1,,3,
Oman,1,2,,,3,
Pakistan,21,8,7,,36,
Panama,7,2,,,9,
Paraguay,1,1,1,,3,
Peru,2,11,11,,24,
Philippines,,2,6,,8,
Poland,,1,2,,3,
Portugal,1,4,3,,8,
72,,,,,,
