Spring 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,40,-4.8%,63,-24.1%,10,233.3%,,,113,-11.7%,
Gender,Female,18,-10.0%,37,-27.5%,,,,,55,-22.5%,
,Male,22,0.0%,26,-18.8%,10,233.3%,,,58,1.8%,
Ethnicity,White,,,27,-15.6%,1,100.0%,,,28,-12.5%,
,Black,,,1,-80.0%,,,,,1,-80.0%,
,Hispanic,,,6,-25.0%,,,,,6,-25.0%,
,Asian,,,4,-42.9%,,,,,4,-42.9%,
,American Indian,,,,,,,,,,,
,International,40,-4.8%,23,0.0%,9,200.0%,,,72,5.9%,
,Unknown/Other,,,2,-75.0%,,,,,2,-75.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,11,22.2%,,,,,,,11,22.2%,
,22-25,29,-12.1%,25,-16.7%,0,-100.0%,,,54,-15.6%,
,26-30,,,21,-41.7%,3,200.0%,,,24,-35.1%,
,31-39,,,10,-23.1%,7,600.0%,,,17,21.4%,
,40+,,,7,75.0%,,,,,7,75.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,14,-65.0%,,,,,14,-65.0%,
,1st Time Graduate,,,6,50.0%,0,-100.0%,,,6,20.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,40,-4.8%,43,10.3%,10,400.0%,,,93,12.0%,
Tuition,Resident Tuition,,,36,-28.0%,,,,,36,-28.0%,
Status,Non-Resident Tuition,39,-7.1%,7,-22.2%,1,100.0%,,,47,-7.8%,
,Tuition  Exemption/Waiver,1,100.0%,20,-16.7%,9,200.0%,,,30,11.1%,
Residency,Texas Resident,,,37,-26.0%,,,,,37,-26.0%,
Status,"Non-TX, US Resident",,,3,-70.0%,1,100.0%,,,4,-60.0%,
,"Non-TX, Non-US Resident",40,-4.8%,23,0.0%,9,200.0%,,,72,5.9%,
SCH,< 6 SCH,1,100.0%,30,-31.8%,,,,,31,-29.5%,
Categories,6-8 SCH,,,8,-52.9%,1,100.0%,,,9,-47.1%,
,9-11 SCH,,,14,27.3%,9,200.0%,,,23,64.3%,
,12-14 SCH,27,-18.2%,9,-10.0%,,,,,36,-16.3%,
,15-17 SCH,11,22.2%,2,100.0%,,,,,13,30.0%,
,>17 SCH,1,100.0%,,,,,,,1,100.0%,
Ft/Pt:,Less Than Half Time,,,26,-39.5%,,,,,26,-39.5%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,11,-38.9%,1,100.0%,,,12,-33.3%,
,Full-Time,40,-4.8%,26,18.2%,9,200.0%,,,75,11.9%,
"Prepared by OISP, 28 Mar 05",,,,,,,,,,,,
