Office of Institutional Studies and Planning,,,,,
Students Recepients of Century Scholars Award by Gender,,,,,
Spring 2005,,,,,
Official Certified 12th Class Day Data,,,,,
Spring 2005,,,,,
Gender              Grand,,,,,
Female      Male,,,,,
Total,,,,,
Headcount Total,,13,15,28,
Ethnicity,White,5,6,11,
,Black,5,5,10,
,Hispanic,3,2,5,
,Asian,,2,2,
TAMU Age Categories,18-21,13,15,28,
College,Agriculture,2,,2,
,Architecture,1,,1,
,Business Admin,5,2,7,
,Engineering,,8,8,
,Liberal Arts,3,,3,
,Science,1,3,4,
,Veterinary Medicine,,1,1,
,General Studies,1,1,2,
Enrollment Status,Continuing,13,15,28,
Tuition Status,Resident Tuition,13,15,28,
Residency Status,Texas Resident,13,15,28,
SCH Categories,12-14 SCH,9,11,20,
,15-17 SCH,3,4,7,
,>17 SCH,1,,1,
Ft/Pt: TAMU Status,Full-Time,13,15,28,
Top 10% Texas High,No,,2,2,
School,Yes,13,13,26,
First Generation,No,6,6,12,
Undergraduates,Yes,7,9,16,
"Prepared by OISP, 28 Mar 05",,,,,
