Top 10% Texas High School Students,,,,,
Spring 2005,,,,,
Spring 2005,,,,,
Freshman      Sophomore,,,,,
Grand,,,,,
Total,,,,,
Headcount Total,,24,1,25,
Gender,Female,15,,15,
,Male,9,1,10,
Ethnicity,White,16,1,17,
,Black,2,,2,
,Hispanic,6,,6,
TAMU Age Categories,18-21,24,1,25,
College,Architecture,2,,2,
,Business Admin,3,1,4,
,Education,5,,5,
,Engineering,6,,6,
,Liberal Arts,4,,4,
,Science,2,,2,
,Veterinary Medicine,2,,2,
Enrollment Status,1st Time in College,24,1,25,
Tuition Status,Resident Tuition,24,1,25,
Residency Status,Texas Resident,24,1,25,
SCH Categories,< 6 SCH,1,,1,
,12-14 SCH,22,1,23,
,15-17 SCH,1,,1,
Ft/Pt: TAMU Status,Less Than Half Time,1,,1,
,Full-Time,23,1,24,
"Prepared by OISP, 28 Mar 05",,,,,
